"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","objective","studyPlan","fromCode","projectName","uploadDate"
,"30970355"," Iron Deficiency Anemia in Chronic Kidney Disease. ","Gafter-Gvili A. et al.","Iron deficiency anemia is a common complication of chronic kidney disease (CKD). CKD patients suffer from both absolute and functional iron deficiency. Absolute iron deficiency is defined by severely reduced or absent iron stores, while functional iron deficiency is defined by adequate iron stores but insufficient iron availability for incorporation into erythroid precursors. This is due to increased levels of hepcidin. Anemia in CKD is associated with an increased risk of morbidity and mortality. The association between anemia and mortality may be related to the severity of anemia. All CKD patients should be screened for anemia during the initial evaluation for CKD. Criteria used to define iron deficiency are different among CKD compared to normal renal function. Among CKD patients, absolute iron deficiency is defined when the transferrin saturation (TSAT) is ≤20% and the serum ferritin concentration is ≤100 ng/mL among predialysis and peritoneal dialysis patients or ≤200 ng/mL among hemodialysis patients. Functional iron deficiency, also known as iron-restricted erythropoiesis, is characterized by TSAT ≤20% and elevated ferritin levels. Iron supplementation is recommended for all CKD patients with anemia. There is general agreement according to guidelines that intravenous (i.v.) iron supplementation is the preferred method for CKD patients on dialysis (CKD stage 5D) and either i.v. or oral iron is recommended for patients with CKD ND (CKD stages 3-5). In this review we discuss the evidence base for these recommendations.","2019","Acta haematologica",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"32041774"," Iron Deficiency in Chronic Kidney Disease: Updates on Pathophysiology, Diagnosis, and Treatment. ","Batchelor E. et al.","Anemia is a complication that affects a majority of individuals with advanced CKD. Although relative deficiency of erythropoietin production is the major driver of anemia in CKD, iron deficiency stands out among the mechanisms contributing to the impaired erythropoiesis in the setting of reduced kidney function. Iron deficiency plays a significant role in anemia in CKD. This may be due to a true paucity of iron stores (absolute iron deficiency) or a relative (functional) deficiency which prevents the use of available iron stores. Several risk factors contribute to absolute and functional iron deficiency in CKD, including blood losses, impaired iron absorption, and chronic inflammation. The traditional biomarkers used for the diagnosis of iron-deficiency anemia (IDA) in patients with CKD have limitations, leading to persistent challenges in the detection and monitoring of IDA in these patients. Here, we review the pathophysiology and available diagnostic tests for IDA in CKD, we discuss the literature that has informed the current practice guidelines for the treatment of IDA in CKD, and we summarize the available oral and intravenous (IV) iron formulations for the treatment of IDA in CKD. Two important issues are addressed, including the potential risks of a more liberal approach to iron supplementation as well as the potential risks and benefits of IV versus oral iron supplementation in patients with CKD.","2020","Journal of the American Society of Nephrology : JASN"," Here , we review the pathophysiology and available diagnostic tests for IDA in CKD , we discuss the literature that has informed the current practice guidelines for the treatment of IDA in CKD , and we summarize the available oral and intravenous ( IV ) iron formulations for the treatment of IDA in CKD","Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"33123967"," Burden of Anemia in Chronic Kidney Disease: Beyond Erythropoietin. ","Hanna R. et al.","Anemia is a frequent comorbidity of chronic kidney disease (CKD) and is associated with a considerable burden because of decreased patient health-related quality of life and increased healthcare resource utilization. Based on observational data, anemia is associated with an increased risk of CKD progression, cardiovascular events, and all-cause mortality. The current standard of care includes oral or intravenous iron supplementation, erythropoiesis-stimulating agents, and red blood cell transfusion. However, each of these therapies has its own set of population-specific patient concerns, including increased risk of cardiovascular disease, thrombosis, and mortality. Patients receiving dialysis or those who have concurrent diabetes or high blood pressure may be at greater risk of developing these complications. In particular, treatment with high doses of erythropoiesis-stimulating agents has been associated with increased rates of hospitalization, cardiovascular events, and mortality. Resistance to erythropoiesis-stimulating agents remains a therapeutic challenge in a subset of patients. Hypoxia-inducible factor transcription factors, which regulate several genes involved in erythropoiesis and iron metabolism, can be stabilized by a new class of drugs that act as inhibitors of hypoxia-inducible factor prolyl-hydroxylase enzymes to promote erythropoiesis and elevate hemoglobin levels. Here, we review the burden of anemia of chronic kidney disease, the shortcomings of current standard of care, and the potential practical advantages of hypoxia-inducible factor prolyl-hydroxylase inhibitors in the treatment of patients with anemia of CKD.","2021","Advances in therapy"," Here , we review the burden of anemia of chronic kidney disease , the shortcomings of current standard of care , and the potential practical advantages of hypoxia-inducible factor prolyl-hydroxylase inhibitors in the treatment of patients with anemia of CKD ","Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"29224999"," [Anemia of chronic kidney disease: Protocol of study, management and referral to Nephrology]. ","Cases A. et al.","The objective of this protocol is to know which test are needed to study an anaemia in a patient with chronic kidney disease, the differential diagnosis of renal anaemia, to know and correct other deficiency anaemias, and the criteria for referral to Nephrology or other specialties of the anaemic patient with chronic kidney disease.","2018","Atencion primaria","The objective of this protocol is to know which test are needed to study an anaemia in a patient with chronic kidney disease , the differential diagnosis of renal anaemia , to know and correct other deficiency anaemias , and the criteria for referral to Nephrology or other specialties of the anaemic","other",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34758368"," Recent and Emerging Therapies for Iron Deficiency in Anemia of CKD: A Review. ","Bazeley J. and Wish J.","Iron deficiency commonly contributes to the anemia affecting individuals with chronic kidney disease. This review describes diagnostic criteria for iron deficiency in chronic kidney disease, as well as mechanisms of functional and absolute iron deficiency and general treatment principles as delineated in the KDIGO (Kidney Disease: Improving Global Outcomes) guideline. Repletion of absolute iron deficits has progressed over time with the addition of better tolerated, more effective oral agents, including ferric citrate, ferric maltol, and sucrosomial iron. This article examines the structural characteristics and trial data enabling regulatory approval of these novel oral agents. Newer intravenous iron therapies, including ferric carboxymaltose and ferric derisomaltose, allow for fewer infusions and decreased risk of serious hypersensitivity reactions. Concerns about adverse effects such as cardiovascular events and infections are discussed. The potential risk of 6H syndrome (high FGF-23, hypophosphatemia, hyperphosphaturia, hypovitaminosis D, hypocalcemia, and secondary hyperparathyroidism) due to these intravenous agents is emphasized. The proposed pathophysiology of 6H syndrome and hypophosphatemia is described. Ferric pyrophosphate citrate enables administration of iron for repletion through dialysate. Relative merits, costs, and risks of various iron agents such as hypersensitivity and 6H syndrome/hypophosphatemia are summarized.","2022","American journal of kidney diseases : the official journal of the National Kidney Foundation",,"Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"33842503"," Anemia in Chronic Kidney Disease: From Pathophysiology and Current Treatments, to Future Agents. ","Portolés J. et al.","Anemia is a common complication in chronic kidney disease (CKD), and is associated with a reduced quality of life, and an increased morbidity and mortality. The mechanisms involved in anemia associated to CKD are diverse and complex. They include a decrease in endogenous erythropoietin (EPO) production, absolute and/or functional iron deficiency, and inflammation with increased hepcidin levels, among others. Patients are most commonly managed with oral or intravenous iron supplements and with erythropoiesis stimulating agents (ESA). However, these treatments have associated risks, and sometimes are insufficiently effective. Nonetheless, in the last years, there have been some remarkable advances in the treatment of CKD-related anemia, which have raised great expectations. On the one hand, a novel family of drugs has been developed: the hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs). These agents induce, among other effects, an increase in the production of endogenous EPO, improve iron availability and reduce hepcidin levels. Some of them have already received marketing authorization. On the other hand, recent clinical trials have elucidated important aspects of iron supplementation, which may change the treatment targets in the future. This article reviews the current knowledge of the pathophysiology CKD-related anemia, current and future therapies, the trends in patient management and the unmet goals.","2021","Frontiers in medicine"," This article reviews the current knowledge of the pathophysiology CKD-related anemia , current and future therapies , the trends in patient management and the unmet goals ","Clinical trial",1,"anemiaHbIronCkdLisa","2023-11-08"
,"35838489"," [Anemia in Chronic Kidney Disease: The State of the Art]. ","Farinha A. et al.","The aging of the population has led to an increased prevalence of chronic diseases such as chronic kidney disease. Anemia is one of the most frequent complications of chronic kidney disease, with an impact not only on the quality of life but also on the patient's prognosis and associated costs. Knowledge in this therapeutic area has increased significantly: from the appearance of recombinant erythropoietin in 1989, through the use of increasing doses of parenteral iron and, more recently, to new molecules such as hypoxia-inducible factor inhibitors. The aim of this article is to present a pragmatic review of the state of the art in the epidemiology, pathophysiology, diagnosis and treatment of anemia associated with chronic kidney disease.","2022","Acta medica portuguesa"," The aim of this article is to present a pragmatic review of the state of the art in the epidemiology , pathophysiology , diagnosis and treatment of anemia associated with chronic kidney disease ","Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"30150549"," Impact of Inflammation on Ferritin, Hepcidin and the Management of Iron Deficiency Anemia in Chronic Kidney Disease. LI","Ueda N. and Takasawa K.","Iron deficiency anemia (IDA) is a major problem in chronic kidney disease (CKD), causing increased mortality. Ferritin stores iron, representing iron status. Hepcidin binds to ferroportin, thereby inhibiting iron absorption/efflux. Inflammation in CKD increases ferritin and hepcidin independent of iron status, which reduce iron availability. While intravenous iron therapy (IIT) is superior to oral iron therapy (OIT) in CKD patients with inflammation, OIT is as effective as IIT in those without. Inflammation reduces predictive values of ferritin and hepcidin for iron status and responsiveness to iron therapy. Upper limit of ferritin to predict iron overload is higher in CKD patients with inflammation than in those without. However, magnetic resonance imaging studies show lower cutoff levels of serum ferritin to predict iron overload in dialysis patients with apparent inflammation than upper limit of ferritin proposed by international guidelines. Compared to CKD patients with inflammation, optimal ferritin levels for IDA are lower in those without, requiring reduced iron dose and leading to decreased mortality. The management of IDA should differ between CKD patients with and without inflammation and include minimization of inflammation. Further studies are needed to determine the impact of inflammation on ferritin, hepcidin and therapeutic strategy for IDA in CKD.","2018","Nutrients",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
,"29128260"," Anemia of chronic kidney disease: Protocol of study, management and referral to Nephrology. ","Cases A. et al.","The objective of this protocol is to know which test are needed to study an anaemia in a patient with chronic kidney disease, the differential diagnosis of renal anaemia, to know and correct other deficiency anaemias, and the criteria for referral to Nephrology or other specialties of the anaemic patient with chronic kidney disease.","2018","Nefrologia","The objective of this protocol is to know which test are needed to study an anaemia in a patient with chronic kidney disease , the differential diagnosis of renal anaemia , to know and correct other deficiency anaemias , and the criteria for referral to Nephrology or other specialties of the anaemic","other",1,"anemiaHbIronCkdLisa","2023-11-08"
,"28528999"," Clinical management of iron deficiency anemia in adults: Systemic review on advances in diagnosis and treatment. ","De F. et al.","Global burden disease studies point out that one of the top cause-specific anemias is iron deficiency (ID). Recent advances in knowledge of iron homeostasis have shown that fragile patients are a new target population in which the correction of ID might impact their morbidity, mortality and quality of life. We did a systematic review using specific search strategy, carried out the review of PubMed database, Cochrane Database of systemic reviews and international guidelines on diagnosis and clinical management of ID from 2010 to 2016. The International guidelines were limited to those with peer-review process and published in journal present in citation index database. The eligible studies show that serum ferritin and transferrin saturation are the key tests in early decision-making process to identify iron deficiency anemia (IDA). The clinician has to carefully consider fragile and high-risk subset of patients such as elders or individuals with chronic diseases (i.e chronic kidney disease, inflammatory bowel disease, chronic heart failure). Treatment is based on iron supplementation. Infusion route should be preferentially considered in frail patients especially in the view of new iron available formulations. The available evidences indicate that (i) recurrent IDA should always be investigated, considering uncommon causes; (ii) IDA might worse the performance and the clinical outcome of fragile and high-risk patients and require an intensive treatment.","2017","European journal of internal medicine",,"Review",1,"anemiaHbIronCkdLisa","2023-11-08"
