"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","fromCode","projectName","uploadDate"
,"38102596","Effect of iron administration on the aortic iron content and vascular calcification in phosphorus-loaded chronic kidney disease rats.","Nakanishi M","BACKGROUND: Cardiovascular disease (CVD) is a major cause of morbidity and mortality in patients with chronic kidney disease (CKD) and could be related to oxidative stress. Vascular calcification (VC) has been established as a critical risk factor for accelerated CVD. In CKD, phosphorus (Pi), iron (Fe) and Nrf2 are modulators of VC and important agonists and antagonists of oxidative stress. The aim of this study was to determine whether Fe administration, which is commonly used to treat renal anemia, affects aortic Fe overload and VC, and whether Nrf2 and its related genes, ferritin H and HIF-1α, are involved in the development of VC.
METHODS: A CKD model was created in rats by administering adenine and simultaneously feeding a high-Pi diet. In addition to control and CKD rats without Fe administration (No-Fe group), Fe was administered orally (PO-Fe group) or intraperitoneally (IP-Fe group) to CKD animals to clarify the effects of Fe administration on the aortic Fe and calcium (Ca) contents and the involvement of Nrf2 and its induced antioxidative proteins, ferritin H and HIF-1α, in VC.
RESULTS: The aortic Fe content increased significantly in the IP-Fe group, which was closely correlated with liver HAMP (hepcidin) expression in all animals. Fe administration had no significant effect on the aortic Ca and Pi contents regardless of the route of Fe administration. The aortic mRNA level of Nrf2 was significantly increased in the IP-Fe group and correlated with serum Pi levels and aortic Fe contents, which could respond to oxidative stress. Notably, the mRNA level of Nrf2 was also significantly correlated with the mRNA levels of ferritin H and HIF-1α. Since we could not measure Nrf2 protein levels in this study, we confirmed the upregulation of HMOX1 and NQO1 mRNA expression in parallel with Nrf2 mRNA.
CONCLUSION: Parenteral Fe administration increased aortic Fe in parallel with the liver HAMP mRNA level but did not affect VC. Aortic Nrf2 mRNA levels correlated significantly with aortic Fe and serum Pi levels and with aortic mRNA levels of ferritin H and HIF-1α as well as HMOX1 and NQO1.","2023",,"BMC Nephrol"," The aim of this study was to determine whether Fe administration , which is commonly used to treat renal anemia , affects aortic Fe overload and VC , and whether Nrf2 and its related genes , ferritin H and HIF-1α , are involved in the development of VC ","other",1,"ckdIronPub","2023-12-21"
,"38098876","Iron Supplements Concomitant within Hypoxia-Inducible Factor Prolyl Hydroxylase Domain Inhibitors in the Treatment of Chronic Kidney Disease Anemia.","Wang X","BACKGROUND: Anemia is a common and important complication in patients with chronic kidney disease (CKD). Accordingly, the current treatment is based on erythropoiesis-stimulating agents (ESAs) and iron. Hypoxia-inducible factor (HIF) prolyl hydroxylase domain inhibitors (HIF-PHIs) have been developed to treat renal anemia through a novel mechanism. HIF-PHIs increase erythropoietin at physiologic blood concentrations and also improve the supply of hematopoietic iron. Iron is the main component of hemoglobin, and ensuring efficient iron metabolism is essential in the treatment of anemia.
SUMMARY: HIF-PHIs may have advantages in improving iron utilization and mobilization compared to ESAs. Most HIF-PHI trials revealed a significant decline of hepcidin, increase in transferrin level and total iron binding capacity in patients. From a clinical point of view, improvements in iron metabolism should translate into reductions in iron supplementation. There are differences in the iron treatment regimentation currently used, so it is important to evaluate and timely iron supplementation across studies.
KEY MESSAGES: This review summarizes the mechanism of HIF-PHIs on improved iron metabolism and the route of iron usage in the trials for dialysis-dependent CKD and non-dialysis CKD. And this review also makes an interpretation of the clinical practice guidelines in China and recommendation by Asia Pacific Society of Nephrology.","2023",,"Kidney Dis (Basel)",," review",1,"ckdIronPub","2023-12-21"
,"38059456","Functional iron deficiency anemia was associated with higher mortality in chronic kidney disease patients: the NHANES III follow-up study.","Gong W","Anemia, a common complication of chronic kidney disease (CKD), is associated with poor prognosis. However, it is not completely clear whether this association is caused by anemia per se or other comorbidities. Whether different types of iron deficiency anemia can predict the outcomes of CKD remains unclear. The dataset from NHANES III was analyzed and Cox multivariate regression models and propensity score matching (PSM) method were used to evaluate the effect of anemia on mortality. Of 4103 patients with CKD, 14.6% had anemia. Among those with anemia, 38.8% had absolute iron deficiency (AID), and 19.8% had functional iron deficiency (FID). During the median follow-up time of 13.8 years, 2964 deaths and 804 cardiovascular deaths were observed. Anemia was robustly associated with a high risk of all-cause mortality in CKD patients after adjusting covariates by two multivariate regression models (Model 1: HR = 1.485, 95%CI:1.340-1.647, ","2023",,"Ren Fail",,"other",1,"ckdIronPub","2023-12-21"
,"38017482","Effects of dapagliflozin and dapagliflozin-saxagliptin on erythropoiesis, iron and inflammation markers in patients with type 2 diabetes and chronic kidney disease: data from the DELIGHT trial.","Koshino A","BACKGROUND: This post-hoc analysis of the DELIGHT trial assessed effects of the SGLT2 inhibitor dapagliflozin on iron metabolism and markers of inflammation.
METHODS: Patients with type 2 diabetes and albuminuria were randomized to dapagliflozin, dapagliflozin and saxagliptin, or placebo. We measured hemoglobin, iron markers (serum iron, transferrin saturation, and ferritin), plasma erythropoietin, and inflammatory markers (urinary MCP-1 and urinary/serum IL-6) at baseline and week 24.
RESULTS: 360/461 (78.1%) participants had available biosamples. Dapagliflozin and dapagliflozin-saxagliptin, compared to placebo, increased hemoglobin by 5.7 g/L (95%CI 4.0, 7.3; p < 0.001) and 4.4 g/L (2.7, 6.0; p < 0.001) and reduced ferritin by 18.6% (8.7, 27.5; p < 0.001) and 18.4% (8.7, 27.1; p < 0.001), respectively. Dapagliflozin reduced urinary MCP-1/Cr by 29.0% (14.6, 41.0; p < 0.001) and urinary IL-6/Cr by 26.6% (9.1, 40.7; p = 0.005) with no changes in other markers.
CONCLUSIONS: Dapagliflozin increased hemoglobin and reduced ferritin and urinary markers of inflammation, suggesting potentially important effects on iron metabolism and inflammation.
TRIAL REGISTRATION: ClinicalTrials.gov NCT02547935.","2023",,"Cardiovasc Diabetol",,"randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"37994409","Renal specific loss of Ferroportin disrupts iron homeostasis and attenuates recovery from acute kidney injury.","Soofi A","Chronic kidney disease is increasing at an alarming rate and correlates with the increase in diabetes, obesity, and hypertension that disproportionately impacts socioeconomically disadvantaged communities. Iron plays essential roles in many biological processes including oxygen transport, mitochondrial function, cell proliferation, and regeneration. However, excess iron induces the generation and propagation of reactive oxygen species, which lead to oxidative stress, cellular damage, and ferroptosis. Iron homeostasis is regulated in part by the kidney through iron resorption from the glomerular filtrate and export into the plasma by ferroportin (FPN). Yet the impact of iron overload in the kidney has not been addressed. To test more directly whether excess iron accumulation is toxic to kidneys, we generated a kidney proximal tubule specific knockout of FPN. Despite significant intracellular iron accumulation in FPN mutant tubules, basal kidney function was not measurably different from wild type kidneys. However, upon induction of acute kidney injury (AKI), FPN mutant kidneys exhibited significantly more damage and failed recovery, evidence for ferroptosis, and increased fibrosis. Thus, disruption of iron export in proximal tubules, leading to iron overload, can significantly impair recovery from AKI and can contribute to progressive renal damage indicative of chronic kidney disease (CKD). Understanding the mechanisms that regulation iron homeostasis in the kidney may provide new therapeutic strategies for progressive kidney disease and other ferroptosis-associated disorders.","2023",,"Am J Physiol Renal Physiol",,"other",1,"ckdIronPub","2023-12-21"
,"37940479","Reticulocyte hemoglobin content and iron therapy in chronic kidney disease: Reply of the Anemia group of the Spanish Society of Nephrology.","Cases A","NULL","2023",,"Nefrologia (Engl Ed)",,"other",1,"ckdIronPub","2023-12-21"
,"37936193","Effect of roxadustat on iron metabolism in patients with peritoneal dialysis: a real-world 24-week study.","Zhang X","BACKGROUND: Roxadustat is an oral hypoxia inducing factor-prolyl hydroxylase inhibitor (HIF-PHI) that regulates iron metabolism in patients with chronic kidney disease (CKD) primarily by reducing hepcidin levels and mobilizing internal iron stores. More data are needed to demonstrate the efficacy of roxadustat in regulating iron metabolism in patients with peritoneal dialysis (PD) compared with erythropoiesis stimulating agents (ESAs).
METHODS: This prospective cohort study enrolled PD patients with a mean hemoglobin level of 60-100 g/L. All subjects were randomized into two groups at a ratio of 2:1 the roxadustat group (106 cases), and the ESA group (53 cases). The primary endpoint was the change in the iron biomarker levels and the proportion of patients with absolute iron deficiency and functional iron deficiency.
RESULTS: Compared with ESAs, roxadustat significantly decreased hepcidin level (difference, - 20.09 ng/mL; 95% CI, - 30.26 to - 9.92), attenuated the increase in serum soluble transferrin receptor (sTFR) level (difference, - 7.87 nmol/L; 95% CI, - 12.11 to - 3.64), and reduced the proportion of patients with functional iron deficiency (roxadustat, 11.43%; ESA, 33.33%). There was no significant difference in safety of the two groups over the duration of the study.
CONCLUSIONS: Compared with ESA group, roxadustat group showed significant differences in all iron biomarker levels except serum ferritin (sFt) and transferrin saturation (TSAT). These results suggest that roxadustat was superior to ESAs as a therapy for iron metabolism in PD patients.
TRIAL REGISTRATION: This study completed Chinese Clinical Trial Registration on March 4, 2022 (registration number: ChiCTR2200057231).","2023",,"Eur J Med Res",,"randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"37915900","Association of oral iron replacement therapy with kidney failure and mortality in CKD patients.","Paul S","BACKGROUND: Oral iron is the predominant route of iron replacement (IRT) but its benefits and safety are unclear in patients with chronic kidney disease (CKD).
METHODS: We examined the association of oral IRT vs no IRT with end-stage kidney disease (ESKD) and mortality in a national cohort of US Veterans. We identified 17 413 incident new users of oral IRT with estimated glomerular filtration rates <60 mL/min/1.73 m
RESULTS: In the cohort of 49 943 patients, 1616 (3.2%) patients experienced ESKD and 28 711 (57%) patients died during a median follow-up of 1.9 years. Oral IRT was not associated with ESKD [subhazard ratio (HR) (95% confidence interval, CI) 1.00 (0.84-1.19), 
CONCLUSION: Oral IRT was associated with lower mortality only in patients with anemia. In patients without anemia, iron deficiency or CHF, the risk-benefit ratio of oral IRT should be further examined.","2023",,"Clin Kidney J",,"other",1,"ckdIronPub","2023-12-21"
,"37884522","Patient reported outcome measures and cardiovascular outcomes following high dose modern intravenous iron in non-dialysis dependent chronic kidney disease: secondary analysis of ExplorIRON-CKD.","Kassianides X","Intravenous iron is commonly used to treat iron deficiency anemia in non-dialysis chronic kidney disease (ND-CKD). There is a paucity of information on the potential impact of intravenous iron on patient reported outcome measures, functional status and markers of cardiovascular health. As part of the secondary analysis of this double-blind exploratory randomized controlled trial focusing on patients with iron deficiency (+ /- anemia) and ND-CKD (serum ferritin < 200 µg/L or transferrin saturation ≤ 20% and serum ferritin 200-299 µg/L; CKD stages: 3a-5), 26 patients were randomized in a 1:1 ratio to receive ferric derisomaltose or ferric carboxymaltose. Participants received 1000 mg at baseline and 500-1000 mg at one month to achieve iron repletion. Quality of life and fatigue status were assessed using the Short-Form (36) questionnaire and the fatigue severity scale. Functional status was evaluated using the Duke Activity Status Index and the 1-min-sit-to-stand test. Cardiac markers such as NT-proBNP, Troponin T and pulse wave velocity were monitored. Intravenous iron was associated with similar improvements in most domains of the Short-Form (36) questionnaire, fatigue status, and 1-min-sit-to-stand ability increased significantly by the end of the trial in both groups (p < 0.001). Markers of cardiac function remained stable, with no arterial stiffness impact. Longer term studies are required to further evaluate the impact of intravenous iron on quality of life and cardiac safety in patients with ND-CKD.","2023",,"Sci Rep",,"randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"37880328","Association between iron status markers and kidney outcome in patients with chronic kidney disease.","Fujisawa H","Several studies conducted in patients with various stages of chronic kidney disease (CKD) have investigated the association of iron status markers, such as transferrin saturation (TSAT) and serum ferritin, with kidney outcomes. However, the associations were inconsistent and remain strongly debated. Therefore, we aimed to investigate whether TSAT and serum ferritin levels were associated with kidney outcome in such a population. In this study, 890 patients who were admitted for the evaluation of and education for CKD were prospectively followed. Primary kidney outcome was a composite of doubling of serum creatinine, end-stage kidney disease, or death due to kidney failure. Participants were divided into quartiles (Q1-Q4) according to TSAT or serum ferritin levels. During a median follow-up period of 2.8 years, kidney events occurred in 358 patients. In the multivariable Cox analyses, compared with Q3 of TSAT, the hazard ratios (95% confidence intervals) for Q1, Q2, and Q4 were 1.20 (0.87, 1.66), 1.38 (1.01, 1.87), and 1.14 (0.82, 1.59), respectively. Compared with Q2 of serum ferritin, lower and higher quartiles had a significantly increased risk for kidney outcome; hazard ratios (95% confidence intervals) for Q1, Q3, and Q4 were 1.64 (1.18, 2.27), 1.71 (1.24, 2.37), and 1.52 (1.10, 2.10), respectively. A Fine-Gray model with death before kidney events as a competing risk showed results similar to the above. In CKD, lower and higher ferritin levels were independent risk factors for kidney disease progression.","2023",,"Sci Rep"," Therefore , we aimed to investigate whether TSAT and serum ferritin levels were associated with kidney outcome in such a population ","other",1,"ckdIronPub","2023-12-21"
