"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","keywords","mainIntervention","mainEndpoint","fromCode","projectName","uploadDate"
,"38261460","Pattern and trend of cancer in Saurashtra region in Gujarat state of India, a hospital-based study.","Saini SK","BACKGROUND: Cancer is growing concern for every country. Reliable data is a source to define the magnitude of the problem, which then helps to plan for necessary action. This epidemiological study involves the collection and analysis of hospital registry data to assess the quantum of the problem of cancer over a five-year period from 2012-16 and to plan priority action.
MATERIALS AND METHODS: Hospital-based data for five years from 2012-2016 was retrieved from the department of radiotherapy at M. P. Shah Government Medical College, Jamnagar, Gujarat, India, and analysed to define the magnitude of the problem. All data was studied using Microsoft Excel 2016.
RESULTS: A total of 7355 patients were registered between 2012 and 2016, out of which 62 percent were male. Cancers of the cervix and uterus were discernibly less common in the Saurashtra region and accounted for only 12.37% of all cancers in females. Lung cancer was the leading cancer as a single site in males (24.13% of all cancers in males) and breast cancer in females (37.36% of all cancers in females). Head and neck cancer, all sites clubbed, was most common in males (42%). Jamnagar taluka represented around 50% of all cases at the study center.
CONCLUSION: Tobacco-related cancers were most common in the male population, and stringent implementation of a national tobacco control program is the most appropriate measure to curtail incidences and hence mortality in this male population. Non-modifiable risk factors like gender-related cancer were more common in the female population, and resource-appropriate screening is a suitable option for these diseases. A population-based cancer registry is required to further define the pattern pertinently, or an epidemiological study is required to find causes of the noticeably lower incidence of cancer of the cervix,.","2024",,"J Cancer Res Ther",,"other","NULL",,,1,"projTutoBreastCan","2024-02-02"
,"38200428","Polygenic risk score model for renal cell carcinoma in the Korean population and relationship with lifestyle-associated factors.","Hong JY","BACKGROUND: The polygenic risk score (PRS) is used to predict the risk of developing common complex diseases or cancers using genetic markers. Although PRS is used in clinical practice to predict breast cancer risk, it is more accurate for Europeans than for non-Europeans because of the sample size of training genome-wide association studies (GWAS). To address this disparity, we constructed a PRS model for predicting the risk of renal cell carcinoma (RCC) in the Korean population.
RESULTS: Using GWAS analysis, we identified 43 Korean-specific variants and calculated the PRS. Subsequent to plotting receiver operating characteristic (ROC) curves, we selected the 31 best-performing variants to construct an optimal PRS model. The resultant PRS model with 31 variants demonstrated a prediction rate of 77.4%. The pathway analysis indicated that the identified non-coding variants are involved in regulating the expression of genes related to cancer initiation and progression. Notably, favorable lifestyle habits, such as avoiding tobacco and alcohol, mitigated the risk of RCC across PRS strata expressing genetic risk.
CONCLUSION: A Korean-specific PRS model was established to predict the risk of RCC in the underrepresented Korean population. Our findings suggest that lifestyle-associated factors influencing RCC risk are associated with acquired risk factors indirectly through epigenetic modification, even among individuals in the higher PRS category.","2024",,"BMC Genomics",,"other","Humans, FALSE, Carcinoma, Renal Cell, TRUE, genetics, Q000235, Genetic Risk Score, FALSE, Genome-Wide Association Study, FALSE, Life Style, FALSE, Kidney Neoplasms, TRUE, genetics, Q000235, Republic of Korea, FALSE, epidemiology, Q000453",,,1,"projTutoBreastCan","2024-02-02"
,"38195750","Health effects associated with exposure to secondhand smoke: a Burden of Proof study.","Flor LS","Despite a gradual decline in smoking rates over time, exposure to secondhand smoke (SHS) continues to cause harm to nonsmokers, who are disproportionately children and women living in low- and middle-income countries. We comprehensively reviewed the literature published by July 2022 concerning the adverse impacts of SHS exposure on nine health outcomes. Following, we quantified each exposure-response association accounting for various sources of uncertainty and evaluated the strength of the evidence supporting our analyses using the Burden of Proof Risk Function methodology. We found all nine health outcomes to be associated with SHS exposure. We conservatively estimated that SHS increases the risk of ischemic heart disease, stroke, type 2 diabetes and lung cancer by at least around 8%, 5%, 1% and 1%, respectively, with the evidence supporting these harmful associations rated as weak (two stars). The evidence supporting the harmful associations between SHS and otitis media, asthma, lower respiratory infections, breast cancer and chronic obstructive pulmonary disease was weaker (one star). Despite the weak underlying evidence for these associations, our results reinforce the harmful effects of SHS on health and the need to prioritize advancing efforts to reduce active and passive smoking through a combination of public health policies and education initiatives.","2024",,"Nat Med",,"other","Child, FALSE, Humans, FALSE, Female, FALSE, Tobacco Smoke Pollution, TRUE, adverse effects, Q000009, Diabetes Mellitus, Type 2, TRUE, Asthma, TRUE, Respiratory Tract Infections, TRUE, Breast Neoplasms, TRUE",,,1,"projTutoBreastCan","2024-02-02"
,"38190278","Prenatal Counseling on the Maternal Health Benefits of Lactation: A Randomized Trial.","Schwarz EB","NULL","2024",,"Breastfeed Med",,"randomized controlled trial","Infant, FALSE, Pregnancy, FALSE, Female, FALSE, Humans, FALSE, Breast Feeding, TRUE, psychology, Q000523, Maternal Health, TRUE, Lactation, FALSE, Postpartum Period, FALSE, Counseling, FALSE","Prenatal Counseling on the Maternal Health Benefits","Counseling on the Maternal Health Benefits",1,"projTutoBreastCan","2024-02-02"
,"38184557","The global, regional, and national disease burden of breast cancer attributable to tobacco from 1990 to 2019: a global burden of disease study.","Guo Q","OBJECTIVE: Tobacco has been identified as a significant contributory element to the development of breast cancer. Our objective was to evaluate the spatiotemporal trends of tobacco-related breast cancer at the global, regional, and national scales during 1990-2019.
METHODS: We extracted data on mortality, disability adjusted of life years (DALYs), age-standardized mortality rate (ASMR), and age-standardized DALYs rate (ASDR) from the Global Burden of Disease (GBD) study 2019. Estimated annual percentage change (EAPC) was computed to assess the temporal change in ASDR and ASMR.
RESULTS: In 2019, the deaths and DALYs attributed to tobacco-related breast cancer were estimated to be 35,439 (95% UI: 22,179-48,119) and 1,060,590 (95% UI: 622,550-1,462,580), respectively. These figures accounted for 5.1% and 5.2% of the total burden of breast cancer. ASMR and ASDR increased in low SDI regions, remained stable in low-middle and middle SDI regions and declined in high and high-middle SDI regions. The burden of breast cancer attributable to tobacco varied notably among regions and nations. Oceania, Southern Latin America, and Central Europe were the GBD regions with the highest number of ASMR and DALYs. There was a positive relationship between age-standardized rate and SDI value in 2019 across 204 nations or territories. A negative association was observed between the EAPC in ASMR or ASDR and the human development index (HDI) in 2019 (R = -0.55, p < 0.01 for ASMR; R = -0.56, p < 0.01 for ASDR).
CONCLUSION: Tobacco is one important and modifiable risk factor for breast cancer. The heterogeneity in both the spatial and temporal distribution can be attributed to factors such as aging, population growth, and SDI. These findings substantiate the necessity of expediting the enforcement of tobacco-free legislation in order to safeguard populations from the detrimental effects of tobacco.","2024",,"BMC Public Health"," OBJECTIVE : Tobacco has been identified as a significant contributory element to the development of breast cancer ","other","Humans, FALSE, Female, FALSE, Breast Neoplasms, TRUE, epidemiology, Q000453, Global Burden of Disease, FALSE, Nicotiana, FALSE, Cost of Illness, FALSE, Breast, FALSE",,,1,"projTutoBreastCan","2024-02-02"
,"38114492","Single-cell transcriptome sequencing of plant leaf expressing anti-HER2 VHH-FcK cancer therapeutic protein.","Kim MS","The transgenic plant is a promising strategy for the production of highly valuable biotherapeutic proteins such as recombinant vaccines and antibodies. To achieve an efficient level of protein production, codon sequences and expression cassette elements need to be optimized. However, the systematical expression of recombinant proteins in plant biomass can generally be controlled for the production of therapeutic proteins after the generation of transgenic plants. Without understanding the transgene expression patterns in plant tissue, it is difficult to enhance further production levels. In this study, single-cell RNA-sequencing (scRNA-seq) analysis of transgenic tobacco (Nicotiana tabacum) leaf, expressing an immunotherapeutic llama antibody against breast cancer, anti-HER2 VHH-Fc, was conducted to obtain data on the expression pattern of tissue-specific cells. These high-quality scRNA-seq data enabled the identification of gene expression patterns by cell types, which can be applied to select the best cell types or tissues for the high production of these recombinant antibodies. These data provide a foundation to elucidate the mechanisms that regulate the biosynthesis of recombinant proteins in N. tabacum.","2023",,"Sci Data",,"other","Female, FALSE, Humans, FALSE, Breast Neoplasms, TRUE, metabolism, Q000378, Plant Leaves, FALSE, genetics, Q000235, Plants, Genetically Modified, FALSE, genetics, Q000235, Recombinant Proteins, FALSE, genetics, Q000235, Transcriptome, TRUE",,,1,"projTutoBreastCan","2024-02-02"
,"38100647","Bridges and Mechanisms: Integrating Systems Science Thinking into Implementation Research.","Luke DA","We present a detailed argument for how to integrate, or bridge, systems science thinking and methods with implementation science. We start by showing how fundamental systems science principles of structure, dynamics, information, and utility are relevant for implementation science. Then we examine the need for implementation science to develop and apply richer theories of complex systems. This can be accomplished by emphasizing a causal mechanisms approach. Identifying causal mechanisms focuses on the ""cogs and gears"" of public health, clinical, and organizational interventions. A mechanisms approach focuses on how a specific strategy will produce the implementation outcome. We show how connecting systems science to implementation science opens new opportunities for examining and addressing social determinants of health and conducting equitable and ethical implementation research. Finally, we present case studies illustrating successful applications of systems science within implementation science in community health policy, tobacco control, health care access, and breast cancer screening. Expected final online publication date for the ","2023",,"Annu Rev Public Health",," review","NULL",,,1,"projTutoBreastCan","2024-02-02"
,"38060977","Cancer Risk Factors in Southern Brazil: Report of a Comprehensive, Matched Case-Control Study.","Giacomazzi J","PURPOSE: To evaluate cancer risk factors among cancer cases and controls from Southern Brazil, to analyze a multigene hereditary panel testing (MGPT, 26 genes) for breast cancer (BC) and colorectal cancer (CCR) cases diagnosed age younger than 50 years and to characterize them for hereditary cancer syndrome (HCS) phenotypes.
METHODS: A case-control (matched by age group and sex) study was conducted on regional cancer. Data on exposure factors and first-/second-degree family history of cancer (1/2FHC) were collected. The MGPT was performed using Illumina next-generation sequencing technology.
RESULTS: A total of 1,007 cases and 1,007 controls were included. The most frequent cancers were BC (n = 311), CCR (n = 147), prostate (n = 132), and lung cancers (n = 89). It was independently associated with cancer, 1/2FHC, tobacco consumption (TC), pesticide exposure (PE), solvent/glue exposure, and BMI <24. BC was associated with 1/2FHC, TC, and hormone replacement therapy use; CCR with 1/2FHC, TC, and BMI <24; prostate cancer with 1/2FHC, TC, and alcohol consumption; and lung cancer with 1/2FHC, TC, PE, and BMI <24. MGPT identified pathogenic/likely pathogenic mutations in 24 (32%) women with BC and in three (18%) women and four (24%) men diagnosed with CCR at under 50 years. Among the tested patients under 50 years with diagnosed BC and CCR, 98.6% and 97% present criteria for HCS, respectively.
CONCLUSION: This study confirmed the association of several factors associated with BC, CCR, prostate, and lung cancers and reinforced the importance of evaluating FHC and genetic testing, especially for patients under 50 years with diagnosed BC or CCR. A better understanding of population-specific cancer risk factors builds on sustainable data for developing prevention strategies. These efforts increase the commitment to early detection and surveillance.","2023",,"JCO Glob Oncol"," PURPOSE : To evaluate cancer risk factors among cancer cases and controls from Southern Brazil , to analyze a multigene hereditary panel testing ( MGPT , 26 genes ) for breast cancer ( BC ) and colorectal cancer ( CCR ) cases diagnosed age younger than 50 years and to characterize","other","Humans, FALSE, Female, FALSE, Middle Aged, FALSE, Male, FALSE, Case-Control Studies, FALSE, Brazil, FALSE, epidemiology, Q000453, Breast Neoplasms, TRUE, diagnosis, Q000175, Risk Factors, FALSE, Lung Neoplasms, TRUE",,,1,"projTutoBreastCan","2024-02-02"
,"38041401","Evaluation of an Early Individualized Integrated Rehabilitation Program versus Standard Rehabilitation Program for Smoking Cessation in 115 Smokers Among 467 Female Breast Cancer Patients 2019-2021 in Slovenia.","Cencelj Arnez R","BACKGROUND Cigarette smoking affects cancer risk and cardiovascular risk. Smoking cessation is very beneficial for health. This study aimed to evaluate an early individualized integrated rehabilitation program and standard rehabilitation program for smoking cessation in breast cancer patients. MATERIAL AND METHODS This prospective study included 467 breast cancer patients (29-65 (mean 52) years of age) treated at the Institute of Oncology Ljubljana from 2019 to 2021 and were followed longer than 1 year. The control group and intervention group included 282 and 185 patients, respectively. Three questionnaires were completed by patients before and 1 year after the beginning of oncological treatment. The intervention group received interventions according to the patient's needs, while the control group underwent standard rehabilitation. The data obtained from the survey were analyzed using the chi-square test and analysis of variance. RESULTS In total, 115 patients were tobacco smokers before the beginning of cancer treatment. There were no differences between the intervention and control group in the prevalence of smoking before the treatment. Before the cancer treatment, smoking was present in the intervention group in 22% and in control group in 27% (P=0.27). One year after the beginning of cancer treatment, smoking was present in the intervention group in only 10% of cases, while it was present in control group in 20% of cases. Smoking was significantly less common in the intervention group than in the control group (P=0.004). CONCLUSIONS Smoking cessation was more common after early integrated rehabilitation than after standard rehabilitation.","2023",,"Med Sci Monit"," This study aimed to evaluate an early individualized integrated rehabilitation program and standard rehabilitation program for smoking cessation in breast cancer patients ","other","Humans, FALSE, Female, FALSE, Smoking Cessation, TRUE, methods, Q000379, Smokers, FALSE, Breast Neoplasms, TRUE, Slovenia, FALSE, Prospective Studies, FALSE",,,1,"projTutoBreastCan","2024-02-02"
,"38034128","Smoking history and breast cancer risk by pathological subtype: MCC-Spain study.","Peñalver-Argüeso B","INTRODUCTION: The role of cigarette smoking on breast cancer risk remains controversial, due to its dual carcinogenic-antiestrogenic action.
METHODS: In the population-based multi-case-control study (MCC-Spain), we collected epidemiological and clinical information for 1733 breast cancer cases and 1903 controls, including smoking exposure. The association with breast cancer, overall, by pathological subtype and menopausal status, was assessed using logistic and multinomial regression models.
RESULTS: Smokers had higher risk of premenopausal breast cancer, particularly if they had smoked ≥30 years (AOR=1.75; 95% CI: 1.04-2.94), although most estimates did not achieve statistical significance. In contrast, among postmenopausal women, smoking was associated with lower risk of breast cancer, mainly in overweight and obese women. The strongest risk reductions were observed among postmenopausal women who had stopped smoking ≥10 years before cancer diagnosis, particularly for HER2+ tumors (AOR=0.28; 95% CI: 0.11-0.68); p for heterogeneity = 0.040). Also, those who had smoked <10 pack-years (AOR=0.68; 95% CI: 0.47-0.98) or 10-25 pack-years (AOR=0.62; 95% CI: 0.42-0.92) during their lifetime were at a reduced risk of all breast cancer subtypes (p for heterogeneity: 0.405 and 0.475, respectively); however, women who had smoked more than 25 pack-years showed no reduced risk.
CONCLUSIONS: Menopausal status plays a key role in the relationship between tobacco and breast cancer for all cancer subtypes. While smoking seems to increase the risk in premenopausal woman, it might be associated to lower risk of breast cancer among postmenopausal women with excess weight.","2023",,"Tob Induc Dis",,"other","NULL",,,1,"projTutoBreastCan","2024-02-02"
