"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","keywords","mainIntervention","mainEndpoint","fromCode","projectName","uploadDate"
,"37740580","Reducing chemotherapy dose intensity by 25% and adding rituximab improves survival in pediatric mature B-cell non-Hodgkin lymphoma in LMIC setting.","Radhakrishnan V","BACKGROUND AND OBJECTIVES: Pediatric B-cell non-Hodgkin lymphomas (NHL) in low- and middle-income countries (LMICs) have historically had inferior outcomes due to higher treatment-related mortality (TRM) and relapses. To address this issue, we evaluated the impact of reducing chemotherapy dose intensity by 25% and adding rituximab on outcomes in pediatric B-NHL.
PATIENTS AND METHODS: Patients, less than 18 years of age with group B and C disease as per the Lymphome Malin de Burkitt (LMB) risk stratification were enrolled between September 2017 and October 2022. The LMB-89 protocol, with a 25% reduction in all chemotherapy doses and the addition of rituximab, was administered. The response was assessed using positron emission tomography with computed tomography (PET/CT) after four cycles of chemotherapy (interim) and at the end of treatment.
RESULTS: The study included 25 patients with a median age of 6.9 years, among whom 20 (80%) were males. Twenty patients had group B and five had group C disease. Complete metabolic response (CMR) was achieved by 22/25 (88%) patients, and three (12%) achieved partial metabolic response (PMR) in the interim PET/CT. At the end of treatment, 22/24 (92%) patients achieved CMR, one had PMR, and one had progressive disease. The median follow-up was 45 months (range: 3-71 months). The 4-year event-free survival and overall survival were 88% and 92%, respectively. There were two deaths, one due to disease progression and the other due to sepsis.
CONCLUSION: Our study demonstrates a significant improvement in outcomes in pediatric B-NHL compared to previous reports from LMICs, achieved through a 25% reduction in chemotherapy dose intensity and the addition of rituximab.","2023",,"Pediatr Blood Cancer","BACKGROUND AND OBJECTIVES : Pediatric B-cell non-Hodgkin lymphomas ( NHL ) in low- and middle-income countries ( LMICs ) have historically had inferior outcomes due to higher treatment-related mortality ( TRM ) and relapses ","other","NULL",,,1,"projTutoLymphome","2024-02-06"
,"37247203","Thrombotic Risk Assessment in Patients with Lymphoid Neoplasm seen at the Nnamdi Azikiwe University Teaching Hospital, Nnewi, Anambra State.","Chilaka UJ","BACKGROUND: Venous thromboembolism (VTE) is a cause of increased morbidity and mortality in cancer patients. VTE is the second leading cause of death in cancer patients. Risk assessment models have been developed to identify patients at risk of VTE for thromboprophylaxis. Risk scores of patients in our environment have not been adequately investigated.
OBJECTIVE: The study evaluates the association of thrombotic risk assessment scores (using the modified Khorana risk assessment tool) and soluble P-selectin levels with thrombotic events in patients with lymphoid cancer.
METHODS: This is a comparative cross-sectional study conducted at Nnamdi Azikiwe University Teaching Hospital (NAUTH, Nnewi, Anambra State). Forty-five patients with lymphoid malignancy and 45 apparently healthy subjects participated in the study. The modified Khorana risk assessment score was used to assess cancer-associated thrombotic risk. Blood sample was collected for soluble P-selectin estimation. Data were analyzed with SPSS version 23.
RESULTS: The age of subjects with lymphoid neoplasm and controls were 49.1±15.8 years, and 49.6±11.1 years respectively (p = 0.548). Subjects with lymphoid neoplasm consist of 26 (57.8%) males and 19 (42.2%) females while the controls consist of 25 (55.6%) males and 20 (44.4%) females. Non-Hodgkin's lymphoma was the most frequent of lymphoid neoplasm (18, 40.0%), followed by multiple myeloma (10, 22%), CLL (9, 20%), ALL (6, 13.0%) and Hodgkin's lymphoma (2, 4.0%). Thirty-five (77.8%) subjects with lymphoid neoplasm had intermediate risk scores and 10 (22.2%) had high-risk scores. Nineteen (42.2%) of the controls had intermediate risk and 26 (57.8%) low risk. The differences in proportion were statistically significant (p < 0.001). The median (IQR) levels of soluble P-selectin were significantly higher in patients with lymphoid neoplasm (12.2 vs. 7.0ng/mL, p <0.001). Three (6.6%) patients with lymphoid malignancies had deep vein thrombosis confirmed by a Doppler ultrasound scan.
CONCLUSION: Les tumeurs malignes lymphoïdes sont associées à des scores de risque thrombotique, des taux de sP-sélectine et des événements thromboemboliques veineux relativement plus élevés.
CONTEXTE: La thromboembolie veineuse (TEV) est une cause de morbidité et de mortalité accrues chez les patients atteints de cancer. La TEV est la deuxième cause de décès chez les patients atteints de cancer. Des modèles d’évaluation des risques ont été mis au point pour identifier les patients présentant un risque de TEV en vue d’une thromboprophylaxie. Les scores de risque des patients dans notre environnement n’ont pas été étudiés de manière adéquate.
OBJECTIF: L’étude évalue l’association des scores d’évaluation du risque thrombotique (en utilisant l’outil modifié d’évaluation du risque de Khorana) et des niveaux de P-sélectine soluble avec les événements thrombotiques chez les patients atteints d’un cancer lymphoïde.
MÉTHODES: Il s’agit d’une étude transversale comparative menée au Nnamdi Azikiwe University Teaching Hospital (NAUTH, Nnewi, État d’Anambra). Quarante-cinq patients atteints d’un cancer lymphoïde et 45 sujets apparemment sains ont participé à l’étude. Le score modifié d’évaluation du risque de Khorana a été utilisé pour évaluer le risque thrombotique associé au cancer. Un échantillon de sang a été prélevé pour l’estimation de la P-sélectine soluble. Les données ont été analysées avec SPSS version 23.
RÉSULTATS: L’âge des sujets atteints de néoplasme lymphoïde et des témoins était respectivement de 49,1±15,8 ans et 49,6±11,1 ans (p = 0,548). Les sujets atteints de néoplasme lymphoïde sont 26 (57,8 %) hommes et 19 (42,2 %) femmes, tandis que les témoins sont 25 (55,6 %) hommes et 20 (44,4 %) femmes. Le lymphome non hodgkinien était le néoplasme lymphoïde le plus fréquent (18, 40 %), suivi du myélome multiple (10, 22 %), de la LLC (9, 20 %), de la LAL (6, 13 %) et du lymphome hodgkinien (2, 4 %). Trente-cinq (77,8 %) sujets atteints de néoplasmes lymphoïdes présentaient un score de risque intermédiaire et 10 (22,2 %) un score de risque élevé. Dix-neuf (42,2 %) des témoins présentaient un risque intermédiaire et 26 (57,8 %) un risque faible. Les différences de proportion étaient statistiquement significatives (p < 0,001). Les niveaux médians (IQR) de P-sélectine soluble étaient significativement plus élevés chez les patients atteints de néoplasme lymphoïde (12,2 vs. 7,0 ng/mL, p <0,001). Trois (6,6 %) patients atteints de tumeurs lymphoïdes ont présenté une thrombose veineuse profonde confirmée par une échographie Doppler.
MOTS-CLÉS: Malignité lymphoïde, Thrombose, P-sélectine soluble, Scores d’évaluation du risqué.","2023",,"West Afr J Med"," OBJECTIVE : The study evaluates the association of thrombotic risk assessment scores ( using the modified Khorana risk assessment tool ) and soluble P-selectin levels with thrombotic events in patients with lymphoid cancer ","other","Male, FALSE, Female, FALSE, Humans, FALSE, Adult, FALSE, Middle Aged, FALSE, P-Selectin, FALSE, Cross-Sectional Studies, FALSE, Anticoagulants, FALSE, Universities, FALSE, Venous Thromboembolism, TRUE, Hospitals, Teaching, FALSE, Lymphoma, TRUE, Risk Assessment, FALSE, Cyclophosphamide, FALSE, Thrombosis, TRUE, epidemiology, Q000453",,,1,"projTutoLymphome","2024-02-06"
,"37156711","Incidence, characteristics, management and outcome of patients with follicular lymphoma with tumor epidural compression, a study on 22 cases.","Gueiderikh A","PURPOSE: Follicular lymphoma (FL) is one of the most common lymphoma. Occasionally, FL is associated with tumoral epidural compression and management of these patients remain poorly codified. This study aims to report incidence, clinical characteristics, management and outcomes of patients with FL and tumoral epidural compression.
MATERIAL AND METHODS: Observational, retrospective cohort study of adult patients with FL and epidural tumor compression, treated in a French Institute over the last 20 years (2000-2021).
RESULTS: Between 2000 and 2021, 1382 patients with FL were followed by the haematological department. Of them, 22 (1.6%) patients (16 men and 6 women) had follicular lymphoma with epidural tumor compression. At epidural tumor compression occurrence, 8/22 (36%) patients had a neurological clinical deficit (motor, sensory or sphincter function) and 14/22 (64%) had tumor pain. All patients were treated with immuno-chemotherapy; the main regimen being used was R-CHOP plus high dose IV methotrexate in 16/22 (73%) patients. Radiotherapy for tumor epidural compression was performed in 19/22 (86%) patients. With a median follow-up of 60 months (range=[1-216]), 5 year local tumor relapse free survival was achieved in 65% (95% CI 47-90%) of patients. The median PFS was of 36 months (95% CI 24-NA) and 5 years OS estimate was 79% (95% CI 62-100%). Two patients developed a relapse at a second epidural site.
CONCLUSION: FL with tumoral epidural compression reached 1.6% of all FL patients. Management based on immuno-chemotherapy with radiotherapy appeared to produce comparable outcomes with the general FL population.","2023",,"Cancer Radiother"," PURPOSE : Follicular lymphoma ( FL ) is one of the most common lymphoma ","observational study","Adult, FALSE, Female, FALSE, Humans, FALSE, Male, FALSE, Antineoplastic Combined Chemotherapy Protocols, FALSE, therapeutic use, Q000627, Doxorubicin, FALSE, Epidural Neoplasms, TRUE, drug therapy, Q000188, Incidence, FALSE, Lymphoma, Follicular, TRUE, radiotherapy, Q000532, Neoplasm Recurrence, Local, FALSE, drug therapy, Q000188, Retrospective Studies, FALSE, Rituximab, FALSE, therapeutic use, Q000627, Treatment Outcome, FALSE",,,1,"projTutoLymphome","2024-02-06"
,"37062647","[Strategy of the French Society of Childhood Cancer (SFCE) for pediatric nodular lymphocyte predominant lymphoma].","Dourthe ME","Nodular Lymphocyte predominant Hodgkin lymphoma (NLPHL) are rare lymphomas in pediatric patients comprising less than 10 % of all Hodgkin lymphoma (HL). They are for the most part diagnosed at stage I or II and indolent with lymphadenopathy often preceding the diagnosis by many months/years. Survival is excellent. Historically, patients were treated according to classical HL protocols. Due to high toxicity and excellent prognosis, management of NLPHL shifted to de-escalation protocol with good results. No treatment beyond surgical resection was proposed for localized unique nodal disease completely resected. The closed European protocol (EuroNet PHL LP1) evaluated the efficacy of low intensity chemotherapy protocol based on CVP courses (cyclophosphamide vinblastine prednisone) for stage IA/IIA not fully resected. Final results are not yet available. Advanced stage NLPHL are rare and there is no clinical trial and no consensus treatment in children. The SFCE lymphoma committee recently established recommendations for staging and treatment of limited and advanced NLPHL in children based on current practices and published results. The goal was to allow homogeneous practice on a national scale. If incomplete resection for patients with stage I/IIA combination of low intensity chemotherapy (CVP) and rituximab is recommended. For intermediary and advanced stage intensification with AVD (adriamycine vinblastine dacarbazine) or CHOP courses (cyclophosphamide doxorubicine vincristine prednisone) combined with rituximab are advocated. In children, there is no indication for first-line local treatment with radiotherapy.","2023",,"Bull Cancer",,"other","Humans, FALSE, Child, FALSE, Hodgkin Disease, TRUE, drug therapy, Q000188, Vinblastine, FALSE, therapeutic use, Q000627, Rituximab, FALSE, therapeutic use, Q000627, Prednisone, FALSE, therapeutic use, Q000627, Cyclophosphamide, FALSE, therapeutic use, Q000627, Antineoplastic Combined Chemotherapy Protocols, FALSE, therapeutic use, Q000627, Lymphoma, Follicular, TRUE, drug therapy, Q000188, Lymphocytes, FALSE, pathology, Q000473",,,1,"projTutoLymphome","2024-02-06"
,"36894407","Risk factors analysis and establishment of predictive nomogram of extranodal B-cell lymphoma of mucosal-associated lymphoid tissue.","Hua J","PURPOSE: The role of radiation therapy in mucosa-associated lymphoid tissue (MALT) lymphoma is poorly defined. The objective of this study was to explore the factors associated with the performance of radiotherapy and to assess its prognostic impact in patients with MALT lymphoma.
PATIENTS AND METHODS: Patients with MALT lymphoma diagnosed between 1992 and 2017 were identified in the US Surveillance, Epidemiology, and End Results database (SEER). Factors associated with the delivery of radiotherapy were assessed by chi-square test. Overall survival (OS) and lymphoma-specific survival (LSS) were compared between patients with and without radiotherapy, using Cox proportional hazard regression models, in patients with early stage as well as those with advanced stage.
RESULTS: Of the 10,344 patients identified with a diagnosis of MALT lymphoma, 33.6% had received radiotherapy; this rate was 38.9% for stage I/II patients and 12.0% for stage III/IV patients, respectively. Older patients and those who already received primary surgery or chemotherapy had a significantly lower rate of receiving radiotherapy, regardless of lymphoma stage. After univariate and multivariate analysis, radiotherapy was associated with improved OS and LSS in patients with stage I/II (HR=0.71 [0.65-0.78]) and (HR=0.66 [0.59-0.74]), respectively, but not in patients with stage III/IV (HR=1.01 [0.80-1.26]) and (HR=0.93 [0.67-1.29]). The nomogram built from the significant prognostic factors associated with overall survival of stage I/II patients had a good concordance (C-index=0.749±0.002).
CONCLUSION: This cohort study shows that radiotherapy is significantly associated with a better prognosis in patients with early but not advanced MALT lymphoma. Prospective studies are needed to confirm the prognostic impact of radiotherapy in patients with MALT lymphoma.","2023",,"Cancer Radiother"," PURPOSE : The role of radiation therapy in mucosa-associated lymphoid tissue ( MALT ) lymphoma is poorly defined ","other","Humans, FALSE, Lymphoma, B-Cell, Marginal Zone, TRUE, radiotherapy, Q000532, Cohort Studies, FALSE, Nomograms, FALSE, Prognosis, FALSE, Risk Factors, FALSE, Lymphoid Tissue, FALSE, pathology, Q000473, Retrospective Studies, FALSE",,,1,"projTutoLymphome","2024-02-06"
,"36820443","[News treatments and survival in lung cancer].","Lamkhioued M","NEW TREATMENTS AND SURVIVAL IN LUNG CANCER. Treatment paradigm for non-squamous cell lung cancer (NSCLC) has evolved dramatically in the early 2000s, mainly because of the identification of targetable oncogenes such as EGFR (epidermal growth factor receptor) and ALK (anaplasic lymphome kinase). Incidence and mortality have both declined thanks to the development of novel therapies. Since major diagnosis and therapeutics were made, and immune-based therapies are the new corner stone of non-small cell lung cancer's treatment. Systemic drugs are no longer limited to advanced stages, as they are now standing alongside surgery and radiotherapy. Recent major therapeutic advances have improved survival and quality of life among lung cancer patients.","2023",,"Rev Prat",,"other","Humans, FALSE, Lung Neoplasms, TRUE, Carcinoma, Non-Small-Cell Lung, TRUE, Quality of Life, FALSE, Mutation, FALSE, Protein Kinase Inhibitors, FALSE, therapeutic use, Q000627",,,1,"projTutoLymphome","2024-02-06"
,"35791974","[Role of allogeneic hematopoietic cell transplantation after anti-CD19 CAR T-cell treatment: Guidelines from the SFGM-TC].","Beauvais D","The role of allogeneic hematopoietic cell transplantation (allo-HCT) after CAR T- treatment cells in hematologic malignancies is currently controversial. Prolonged remissions after several years of follow-up suggest that there is a curative effect of CAR T-cells therapy, whereas allo-HCT was previously considered the only curative treatment in relapse situation. The aim of this harmonization workshop is to detail the existing data in the literature on the feasibility of allo-HCT after CAR T-cells and to propose to consider allograft in selected patients with B-acute lymphoblastic leukemia (B-ALL) and diffuse large B-cell lymphoma (DLBCL). In B-ALL, various intrinsic factors (inherent to the patient, to the disease, to the type of CAR T-cells) and especially various post CAR T-cells criteria (early expansion kinetics, residual disease at D28, early loss of B-cell aplasia) should lead to consider performing allo-HCT before the occurrence of a relapse. In DLBCL, although there are risk factors for relapse at diagnosis and prior to CAR T-cells therapy, response assessed by PET-CT at three months is critical and allo-HCT cannot currently be recommended in cases of complete or partial remission. In any case, if the age is appropriate for allogeneic transplantation, HLA typing should be performed before CAR T-cells treatment in order not to delay the allo-HCT project if needed.","2023",,"Bull Cancer"," The aim of this harmonization workshop is to detail the existing data in the literature on the feasibility of allo-HCT after CAR T-cells and to propose to consider allograft in selected patients with B-acute lymphoblastic leukemia ( B-ALL ) and diffuse large B-cell lymphoma ( DLBCL ) ","other","Humans, FALSE, Positron Emission Tomography Computed Tomography, FALSE, Hematopoietic Stem Cell Transplantation, TRUE, adverse effects, Q000009, Hematologic Neoplasms, TRUE, therapy, Q000628, Immunotherapy, Adoptive, FALSE, Precursor Cell Lymphoblastic Leukemia-Lymphoma, TRUE, therapy, Q000628, Precursor B-Cell Lymphoblastic Leukemia-Lymphoma, TRUE, T-Lymphocytes, FALSE, transplantation, Q000637, Recurrence, FALSE",,,1,"projTutoLymphome","2024-02-06"
,"35789106","Isolated intraocular relapses of primary cerebral lymphomas: An LOC network study.","Younan N","Most relapses of primary central nervous system lymphoma (PCNSL) occur in the brain and are associated with a poor prognosis. Isolated intraocular relapses (IIORs) are rare and poorly described. We retrospectively selected from the French Lymphome Oculo-Cérébral database PCNSL patients who initially presented with cerebral localization and who experienced IIOR during the course of the disease. Of the 1472 patients included in the database, 55 patients presented an IIOR. Their median age was 68 years, and median Karnofsky Performance Status 80. IL-10 levels in the aqueous humor and/or in the vitreous were increased in 42/46 patients. 45/55 patients received systemic chemotherapy, and 11/55 received high-dose chemotherapy with autologous stem cell transplantation (HCT-ASCT) as consolidation treatment. After a median follow-up of 69 months, 42/55 patients had relapsed, including 90% of the patients who did not receive HCT-ASCT at IIOR and 40% of the patients who received HCT-ASCT at IIOR (p < 0.001). The first relapse after the initial IIOR was exclusively in the eye in 23/42 patients, and 29/42 patients had a subsequent brain relapse during the course of the disease. The median progression-free survival, brain-free survival and overall survival from IIOR were 12.2, 48.6 and 57.1 months, respectively. Isolated intraocular relapse is not exceptional in the course of PCNSL and deserves systematic ophthalmological follow-up. Its prognosis is much better than the prognosis of brain relapse, with an evolution close to that of primary vitreoretinal lymphoma. With the exception of patients who received HCT-ASCT at IIOR, almost all patients subsequently relapsed, often with other IIORs.","2022",,"Hematol Oncol",,"other","Humans, FALSE, Aged, FALSE, Transplantation, Autologous, FALSE, Hematopoietic Stem Cell Transplantation, TRUE, Retinal Neoplasms, TRUE, Retrospective Studies, FALSE, Vitreous Body, FALSE, Lymphoma, TRUE",,,1,"projTutoLymphome","2024-02-06"
,"35197647","Hip pain in an elite cyclist with Non-Hodgkin's Follicular Lymphoma: a case report.","Belchos M","OBJECTIVE: We present a case of an elite cyclist that hesitated to follow the medical advice from her practitioners, as she was determined to train and compete resulting in delayed diagnosis and management of a rare hip pathology.
CASE PRESENTATION: A 51-year old elite female cyclist had a history of years of hip pain with insidious onset. The chiropractor in this case observed a lack of response to treatment, and advised the patient to get an MRI with suspicion of a labral tear. She eventually agreed to further investigations and was diagnosed with Non-Hodgkin's follicular lymphoma and a labral tear.
SUMMARY: Elite athletes are not immune to serious pathology. Chiropractors should be vigilant and ensure to investigate any patients with a lack of response to conservative management. Chiropractors should be aware of the risk of athletic patients that continue to train and compete when advised not to.","2021",,"J Can Chiropr Assoc"," OBJECTIVE : We present a case of an elite cyclist that hesitated to follow the medical advice from her practitioners , as she was determined to train and compete resulting in delayed diagnosis and management of a rare hip pathology ","other","NULL",,,1,"projTutoLymphome","2024-02-06"
,"34955421","Radiation therapy of cutaneous cancers.","Hennequin C","We present the update of the recommendations of the French society of oncological radiotherapy on radiotherapy of cutaneous cancers. The indications of radiotherapy for skin cancers are not clearly defined because of the lack of randomized trials or prospective studies. For basal cell carcinomas, radiotherapy frequently offers a good local control, but a randomized trial showed that surgery is more efficient and less toxic. Indications of radiotherapy are contra-indications of surgery for patients older than 60, non-sclerodermiform histology and located in non-sensitive areas. Adjuvant radiotherapy could be proposed to squamous cell carcinomas, in case of poor prognostic factors. Dose of 60 to 70Gy are usually required, and must be modulated to the size of the lesions. Adjuvant radiotherapy seems beneficial for desmoplastic melanomas but not for the other histological types. Prophylactic nodal irradiation (45 to 50Gy), for locally advanced tumors (massive nodal involvement), decreases the locoregional failure rate but do not increase survival. Adjuvant radio- therapy (50 to 56Gy) for Merkel cell carcinomas increases also the local control rate, as demonstrated by meta-analysis and a large epidemiological study. Nodal areas must be included, if there is no surgical exploration (sentinel lymph node dissection). Kaposi sarcomas are radiosensitive and could be treated with relatively low doses (24 to 30Gy). Also, cutaneous lymphomas are good indications for radiotherapy: B lymphomas are electively treated with limited fields. The role of total skin electron therapy for T-lymphomas is still discussed; but palliative radiotherapy is very efficient in case of cutaneous nodules.","2022",,"Cancer Radiother",,"other","Carcinoma, Basal Cell, FALSE, radiotherapy, Q000532, Carcinoma, Merkel Cell, FALSE, radiotherapy, Q000532, Carcinoma, Squamous Cell, FALSE, radiotherapy, Q000532, France, FALSE, Humans, FALSE, Lymphoma, T-Cell, Cutaneous, FALSE, radiotherapy, Q000532, Melanoma, FALSE, pathology, Q000473, Palliative Care, FALSE, Prognosis, FALSE, Radiation Oncology, FALSE, Radiotherapy Dosage, FALSE, Radiotherapy, Adjuvant, FALSE, Sarcoma, Kaposi, FALSE, radiotherapy, Q000532, Skin Neoplasms, FALSE, pathology, Q000473",,,1,"projTutoLymphome","2024-02-06"
