"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","keywords","mainIntervention","mainEndpoint","fromCode","projectName","uploadDate"
,"38290838","The MOG antibody non-P42 epitope is predictive of a relapsing course in MOG antibody-associated disease.","Liyanage G","BACKGROUND: Myelin oligodendrocyte glycoprotein (MOG) IgG seropositivity is a prerequisite for MOG antibody-associated disease (MOGAD) diagnosis. While a significant proportion of patients experience a relapsing disease, there is currently no biomarker predictive of disease course. We aim to determine whether MOG-IgG epitopes can predict a relapsing course in MOGAD patients.
METHODS: MOG-IgG-seropositive confirmed adult MOGAD patients were included (n=202). Serum MOG-IgG and epitope binding were determined by validated flow cytometry live cell-based assays. Associations between epitopes, disease course, clinical phenotype, Expanded Disability Status Scale and Visual Functional System Score at onset and last review were evaluated.
RESULTS: Of 202 MOGAD patients, 150 (74%) patients had MOG-IgG that recognised the immunodominant proline42 (P42) epitope and 115 (57%) recognised histidine103/serine104 (H103/S104). Fifty-two (26%) patients had non-P42 MOG-IgG and showed an increased risk of a relapsing course (HR 1.7; 95% CI 1.15 to 2.60, p=0.009). Relapse-freedom was shorter in patients with non-P42 MOG-IgG (p=0.0079). Non-P42 MOG-IgG epitope status remained unchanged from onset throughout the disease course and was a strong predictor of a relapsing course in patients with unilateral optic neuritis (HR 2.7, 95% CI 1.06 to 6.98, p=0.038), with high specificity (95%, 95% CI 77% to 100%) and positive predictive value (85%, 95% CI 45% to 98%).
CONCLUSIONS: Non-P42 MOG-IgG predicts a relapsing course in a significant subgroup of MOGAD patients. Patients with unilateral optic neuritis, the most frequent MOGAD phenotype, can reliably be tested at onset, regardless of age and sex. Early detection and specialised management in these patients could minimise disability and improve long-term outcomes.","2024",,"J Neurol Neurosurg Psychiatry"," We aim to determine whether MOG-IgG epitopes can predict a relapsing course in MOGAD patients ","other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38290377","Deep vein thrombosis and its risk factors in neurodegenerative diseases: A markedly higher incidence in Parkinson's disease.","Takeda T","BACKGROUND: Information on the incidence and risk factors of deep vein thrombosis (DVT) in neurodegenerative diseases is limited. We aimed to determine the incidence of DVT among neurodegenerative disorders (amyotrophic lateral sclerosis [ALS], Parkinson's disease [PD], multiple system atrophy [MSA], and progressive supranuclear palsy [PSP]-corticobasal syndrome [CBS]) and the risk factors for the development of DVT.
METHODS: Overall, 229 hospitalized patients with neurodegenerative diseases (65 patients with ALS, 61 with PD, 53 with MSA, and 50 with PSP-CBS) were included in this study. D-dimer value and ultrasonography of the leg vein were assessed to determine the presence or absence of leg DVT. We compared the DVT incidence among each disease group. To identify the risk factors for DVT, a multivariate analysis was performed.
RESULTS: Of 229 patients, 34 had leg DVT; the incidence was significantly higher in patients with PD (38%) than in those with ALS (2%), MSA (5%), or PSP-CBS (4%). Patients with DVT were older, had a smaller waist circumference, had a longer disease duration, and had a high blood pressure (BP) variability. Multivariate analysis revealed that a PD diagnosis and female sex, with a high BP variability were predictive of leg DVT.
CONCLUSIONS: Among the neurodegenerative diseases, the DVT incidence was markedly higher in PD than in ALS, MSA, and PSP-CBS. Several risk factors have been identified in patients with leg DVT. Recognition of these risk factors will improve patient care and guide the appropriate use of anticoagulants.","2024",,"J Neurol Sci"," We aimed to determine the incidence of DVT among neurodegenerative disorders ( amyotrophic lateral sclerosis [ ALS ] , Parkinson's disease [ PD ] , multiple system atrophy [ MSA ] , and progressive supranuclear palsy [ PSP ] -corticobasal syndrome [ CBS ] ) and the risk factors for the development","other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38263489","Does Spinocerebellar ataxia 27B mimic cerebellar multiple system atrophy?","Wirth T","BACKGROUND: Whether spinocerebellar ataxia 27B (SCA27B) may present as a cerebellar multiple system atrophy (MSA-C) mimic remains undetermined.
OBJECTIVES: To assess the prevalence of FGF14 (GAA)
METHODS: FGF14 expansion screening combined with longitudinal deep-phenotyping in a prospective cohort of 195 patients with sporadic late-onset cerebellar ataxia.
RESULTS: After a mean disease duration of 6.4 years, 111 patients were not meeting criteria for MSA-C while 24 and 60 patients had a final diagnosis of possible and probable MSA-C, respectively. 16 patients carried an FGF14 (GAA)
CONCLUSIONS: FGF14 (GAA)","2024",,"J Neurol"," OBJECTIVES : To assess the prevalence of FGF14 ( GAA ) METHODS : FGF14 expansion screening combined with longitudinal deep-phenotyping in a prospective cohort of 195 patients with sporadic late-onset cerebellar ataxia ","other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38255208","Comparative Study between the Diagnostic Effectiveness of Brain SPECT with [<sup>123</sup>I]Ioflupane and [<sup>123</sup>I]MIBG Scintigraphy in Multiple System Atrophy.","Villena-Salinas J","BACKGROUND: Multiple system atrophy (MSA) is a neurodegenerative disease. It has a fast progression, so early diagnosis is decisive. Two functional imaging tests can be involved in its diagnosis: [
METHODS: 46 patients (24 males and 22 females) with MSA underwent [
RESULTS: SPECT visual assessment was positive in 93.5% of subjects (S = 95.24%; PPV = 93.02%). A cut-off of 1.363 was established for overall S/O index (S = 85.7%, E = 100%). Visual assessment of scintigraphy was positive in 73.1% (S = 78.57%, PPV = 94.29%). For the delayed heart/medistinum ratio (HMR) a cut-off of 1.43 (S = 85.3, E = 100%) was obtained. For each unit increase in delayed HMR, the suspicion of MSA increased by 1.58 (OR = 1.58, 
CONCLUSIONS: Both tests are useful in MSA diagnosis. Comparatively, we did not observe a clear superiority of either. Striatal and myocardial deterioration do not evolve in parallel. Qualitative assessment is crucial in both techniques, together with the support of quantitative analysis. Delayed HMR shows a direct relationship with the risk of MSA.","2024",,"Biomedicines",,"other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38216420","Unveiling autonomic failure in synucleinopathies: Significance in diagnosis and treatment.","Clement G","Autonomic failure is frequently encountered in synucleinopathies such as multiple system atrophy (MSA), Parkinson's disease (PD), Lewy body disease, and pure autonomic failure (PAF). Cardiovascular autonomic failure affects quality of life and can be life threatening due to the risk of falls and the increased incidence of myocardial infarction, stroke, and heart failure. In PD and PAF, pathogenic involvement is mainly post-ganglionic, while in MSA, the involvement is mainly pre-ganglionic. Cardiovascular tests exploring the autonomic nervous system (ANS) are based on the analysis of continuous, non-invasive recordings of heart rate and digital blood pressure (BP). They assess facets of sympathetic and parasympathetic activities and provide indications on the integrity of the baroreflex arc. The tilt test is widely used in clinical practice. It can be combined with catecholamine level measurement and analysis of baroreflex activity and cardiac variability for a detailed analysis of cardiovascular damage. MIBG myocardial scintigraphy is the most sensitive test for early detection of autonomic dysfunction. It provides a useful measure of post-ganglionic sympathetic fiber integrity and function and is therefore an effective tool for distinguishing PD from other parkinsonian syndromes such as MSA. Autonomic cardiovascular investigations differentiate between certain parkinsonian syndromes that would otherwise be difficult to segregate, particularly in the early stages of the disease. Exploring autonomic failure by gathering information about residual sympathetic tone, low plasma norepinephrine levels, and supine hypertension can guide therapeutic management of orthostatic hypotension (OH).","2024",,"Rev Neurol (Paris)",," review","NULL",,,1,"projTutoMSA","2024-02-05"
,"38202163","Management and Treatment for Dysphagia in Neurodegenerative Disorders.","Ueha R","Patients with neurodegenerative disorders (NDDs) often experience functional dysphagia, which may involve dysfunction in a specific phase of swallowing or in the entire process. This review outlines the approach to dysphagia in the setting of NDDs. Distinguishing the etiology of dysphagia can be difficult, and it is important to always look out for signs pointing to NDD as the cause. Thorough diagnostic work-up is essential, and it includes a comprehensive history and physical examination, alongside swallowing function tests, such as fiberoptic endoscopic evaluation of swallowing, videofluoroscopic swallowing study, and high-resolution manometry. Management requires a multidisciplinary approach with a treatment plan tailored to each patient. This involves dietary guidance, swallowing rehabilitation, and surgery in cases in which improvement with rehabilitation is inadequate. Surgery may involve altering certain pharyngolaryngeal structures to facilitate swallowing and reduce the risk of aspiration (swallowing improvement surgery) or separating the airway and digestive tract while sacrificing laryngeal function, with the main goal of preventing aspiration (aspiration prevention surgery). Proper management stems from recognizing the impact of these disorders on swallowing and consistently finding ways to improve the quality of life of patients.","2023",,"J Clin Med",," review","NULL",,,1,"projTutoMSA","2024-02-05"
,"38171500","Smooth Pursuit and Reflexive Saccade in Discriminating Multiple-System Atrophy With Predominant Parkinsonism From Parkinson's Disease.","Yu Y","BACKGROUND AND PURPOSE: Performing the differential diagnosis of Parkinson's disease (PD) and multiple-system atrophy of parkinsonian type (MSA-P) is challenging. The oculomotor performances of patients with PD and MSA-P were investigated to explore their potential role as a biomarker for this differentiation.
METHODS: Reflexive saccades and smooth pursuit were examined in 56 patients with PD and 34 with MSA-P in the off-medication state.
RESULTS: Patients with PD and MSA-P had similar oculomotor abnormalities of prolonged and hypometric reflexive saccades. The incidence rates of decreased reflexive saccadic velocity and saccadic smooth pursuit were significantly higher in MSA-P than in PD (
CONCLUSIONS: The distinctive oculomotor abnormalities of saccadic smooth pursuit and slowed reflexive saccades in MSA-P may serve as useful biomarkers for discriminating MSA-P from PD.","2024",,"J Clin Neurol","BACKGROUND AND PURPOSE : Performing the differential diagnosis of Parkinson's disease ( PD ) and multiple-system atrophy of parkinsonian type ( MSA-P ) is challenging ","other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38162907","Association of cardiovascular disease management drugs with Lewy body dementia: a case-control study.","Scholz SW","Lewy body dementia is the second most common neurodegenerative dementia after Alzheimer's disease. Disease-modifying therapies for this disabling neuropsychiatric condition are critically needed. To identify drugs associated with the risk of developing Lewy body dementia, we performed a population-based case-control study of 148 170 US Medicare participants diagnosed with Lewy body dementia between 1 January 2008 and 31 December 2014 and of 1 253 043 frequency-matched controls. We estimated odds ratios and 95% confidence intervals for the association of Lewy body dementia risk with 1017 prescription drugs overall and separately for the three major racial groups (Black, Hispanic and White Americans). We identified significantly reduced Lewy body dementia risk associated with drugs used to treat cardiovascular diseases (anti-hypertensives: odds ratio = 0.72, 95% confidence interval = 0.70-0.74, ","2024",,"Brain Commun",,"other","NULL",,,1,"projTutoMSA","2024-02-05"
,"38143372","Orthostatic Hypotension in Multiple System Atrophy: Related Factors and Disease Prognosis.","Jiang Q","BACKGROUND: Multiple system atrophy (MSA) is a rare neurodegenerative disease characterized by Parkinsonism, ataxia, and autonomic nervous failure. Orthostatic hypotension (OH) is the main feature of central vascular autonomic failure in MSA.
OBJECTIVE: The study aimed elucidate the effects of OH on cognitive function, disease milestones, and survival.
METHODS: A total of 444 patients with clinically established MSA were enrolled. Mild and severe OH were defined as a decrease in systolic blood pressure (SBP)/diastolic blood pressure (DBP) >20/10 mmHg and SBP/DBP ≥30/15 mmHg, respectively.
RESULTS: In this study, 215 MSA patients presented without OH, 88 had mild OH, and 141 had severe OH. The proportion of MSA-C in the severe OH subgroup was significantly higher than that in the subgroup without OH (95/46 vs. 113/102, p = 0.021). The UMSARS I score and the frequency of supine hypertension (SH) in patients with OH were significantly higher than those in patients without OH (16.22 vs. 16.89 vs. 14.60, p < 0.001; 77/64 vs. 29/59 vs. 32/183, p < 0.001). Factors related to the severity of OH included sex (OR, 0.65; p = 0.031), onset age (OR, 0.98; p = 0.029), and SH (OR, 0.21; p < 0.001). The median survival time of patients with severe OH was significantly lower than that of patients without OH (6.79 vs. 8.13 years, p = 0.001). Consistently, Cox survival analysis found that compared with patients without OH, patients with severe OH had a significantly increased risk of death (OR, 2.22; p < 0.001).
CONCLUSION: Our large cohort study of MSA provides additional evidence for the negative impact of severe OH on survival.","2023",,"J Parkinsons Dis"," OBJECTIVE : The study aimed elucidate the effects of OH on cognitive function , disease milestones , and survival ","other","Humans, FALSE, Hypotension, Orthostatic, TRUE, Multiple System Atrophy, TRUE, complications, Q000150, Cohort Studies, FALSE, Parkinson Disease, TRUE, complications, Q000150, Hypertension, TRUE, complications, Q000150, Prognosis, FALSE",,,1,"projTutoMSA","2024-02-05"
,"38131057","Predictors of persistence and adherence to deutetrabenazine among patients with Huntington disease or tardive dyskinesia.","Claassen DO","INTRODUCTION: Deutetrabenazine is approved for treatment of Huntington disease (HD)-related chorea and tardive dyskinesia (TD) in adults. Factors associated with deutetrabenazine persistence and adherence are not well understood.
METHODS: Claims data from the Symphony Health Solutions Integrated Dataverse (2017-2019) were analyzed to identify real-world predictors of deutetrabenazine persistence and adherence in adults with HD or TD in the United States. Predictive models for persistence and adherence that considered patient demographics, payer type, comorbidities, treatment history, and health care resource use were developed.
RESULTS: In HD, use of anticonvulsants (HR = 2.00 [95% CI = 1.03, 3.85]; 
DISCUSSION: Identifying factors predictive of discontinuation and/or nonadherence to deutetrabenazine may facilitate the development of personalized support programs that seek to improve outcomes in patients with HD or TD.","2023",,"Ment Health Clin",,"other","NULL",,,1,"projTutoMSA","2024-02-05"
