"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","keywords","fromCode","projectName","uploadDate"
,"38147328","Risk Factors for Young-Onset Dementia in the UK Biobank.","Hendriks S","IMPORTANCE: There is limited information on modifiable risk factors for young-onset dementia (YOD).
OBJECTIVE: To examine factors that are associated with the incidence of YOD.
DESIGN, SETTING, AND PARTICIPANTS: This prospective cohort study used data from the UK Biobank, with baseline assessment between 2006 and 2010 and follow-up until March 31, 2021, for England and Scotland, and February 28, 2018, for Wales. Participants younger than 65 years and without a dementia diagnosis at baseline assessment were included in this study. Participants who were 65 years and older and those with dementia at baseline were excluded. Data were analyzed from May 2022 to April 2023.
EXPOSURES: A total of 39 potential risk factors were identified from systematic reviews of late-onset dementia and YOD risk factors and grouped into domains of sociodemographic factors (education, socioeconomic status, and sex), genetic factors (apolipoprotein E), lifestyle factors (physical activity, alcohol use, alcohol use disorder, smoking, diet, cognitive activity, social isolation, and marriage), environmental factors (nitrogen oxide, particulate matter, pesticide, and diesel), blood marker factors (vitamin D, C-reactive protein, estimated glomerular filtration rate function, and albumin), cardiometabolic factors (stroke, hypertension, diabetes, hypoglycemia, heart disease, atrial fibrillation, and aspirin use), psychiatric factors (depression, anxiety, benzodiazepine use, delirium, and sleep problems), and other factors (traumatic brain injury, rheumatoid arthritis, thyroid dysfunction, hearing impairment, and handgrip strength).
MAIN OUTCOME AND MEASURES: Multivariable Cox proportional hazards regression was used to study the association between the risk factors and incidence of YOD. Factors were tested stepwise first within domains and then across domains.
RESULTS: Of 356 052 included participants, 197 036 (55.3%) were women, and the mean (SD) age at baseline was 54.6 (7.0) years. During 2 891 409 person-years of follow-up, 485 incident YOD cases (251 of 485 men [51.8%]) were observed, yielding an incidence rate of 16.8 per 100 000 person-years (95% CI, 15.4-18.3). In the final model, 15 factors were significantly associated with a higher YOD risk, namely lower formal education, lower socioeconomic status, carrying 2 apolipoprotein ε4 allele, no alcohol use, alcohol use disorder, social isolation, vitamin D deficiency, high C-reactive protein levels, lower handgrip strength, hearing impairment, orthostatic hypotension, stroke, diabetes, heart disease, and depression.
CONCLUSIONS AND RELEVANCE: In this study, several factors, mostly modifiable, were associated with a higher risk of YOD. These modifiable risk factors should be incorporated in future dementia prevention initiatives and raise new therapeutic possibilities for YOD.","2023",,"JAMA Neurol"," OBJECTIVE : To examine factors that are associated with the incidence of YOD ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"38145191","Plasma p-tau217, p-tau181, and NfL as early indicators of dementia risk in a community cohort: The Shanghai Aging Study.","Xiao Z","INTRODUCTION: Blood biomarkers showed values for predicting future cognitive impairment. Evidence from the community-based cohort was limited only in high-income countries.
METHODS: This study included 1857 dementia-free community residents recruited in 2009-2011 and followed up in waves 2014-2016 and 2019-2023 in the Shanghai Aging Study. We intended to explore the relationships of baseline plasma ALZpath phosphorylated tau 217 (p-tau217), p-tau181, neurofilament light chain (NfL) with follow-up incident dementia, Alzheimer's disease (AD), and amyloidosis.
RESULTS: Higher concentrations of plasma p-tau217, p-tau181, and NfL were correlated to higher decline speed of Mini-Mental State Examination score, and higher risk of incident dementia and AD. The p-tau217 demonstrated a significant correlation with longitudinal neocortical amyloid-beta (Aβ) deposition (
DISCUSSION: Plasma p-tau217 may be an early predictive marker of AD and Aβ pathology in older community-dwelling individuals.","2023",,"Alzheimers Dement (Amst)",,"other","NULL",1,"projTutoParkinson","2023-12-28"
,"38143366","Blood Markers in Relation to a History of Traumatic Brain Injury Across Stages of Cognitive Impairment in a Diverse Cohort.","LoBue C","BACKGROUND: Traumatic brain injury (TBI) has been linked to multiple pathophysiological processes that could increase risk for Alzheimer's disease and related dementias (ADRD). However, the impact of prior TBI on blood biomarkers for ADRD remains unknown.
OBJECTIVE: Using cross-sectional data, we assessed whether a history of TBI influences serum biomarkers in a diverse cohort (approximately 50% Hispanic) with normal cognition, mild cognitive impairment, or dementia.
METHODS: Levels of glial fibrillary acidic protein (GFAP), neurofilament light (NFL), total tau (T-tau), and ubiquitin carboxy-terminal hydrolase-L1 (UCHL1) were measured for participants across the cognitive spectrum. Participants were categorized based on presence and absence of a history of TBI with loss of consciousness, and study samples were derived through case-control matching. Multivariable general linear models compared concentrations of biomarkers in relation to a history of TBI and smoothing splines modelled biomarkers non-linearly in the cognitively impaired groups as a function of time since symptom onset.
RESULTS: Each biomarker was higher across stages of cognitive impairment, characterized by clinical diagnosis and Mini-Mental State Examination performance, but these associations were not influenced by a history of TBI. However, modelling biomarkers in relation to duration of cognitive symptoms for ADRD showed differences by history of TBI, with only GFAP and UCHL1 being elevated.
CONCLUSIONS: Serum GFAP, NFL, T-tau, and UCHL1 were higher across stages of cognitive impairment in this diverse clinical cohort, regardless of TBI history, though longitudinal investigation of the timing, order, and trajectory of the biomarkers in relation to prior TBI is warranted.","2023",,"J Alzheimers Dis"," OBJECTIVE : Using cross-sectional data , we assessed whether a history of TBI influences serum biomarkers in a diverse cohort ( approximately 50 % Hispanic ) with normal cognition , mild cognitive impairment , or dementia ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"38105011","Elevated Homocysteine Level And Brain Atrophy Changes As Markers To Screen The Alzheimer's Disease- Case Series.","Sah RP","Alzheimer's disease (AD) is the most common cause of dementia worldwide. Its clinical manifestations include a progressive loss of memory and other cognitive domains, as well as brain atrophy. An elevated homocysteine level (>15 µmol/L), known as hyperhomocysteinemia, is also an attributing risk factor for AD, vascular pathologies, and brain atrophy. Neuroimaging studies including T2-weighted magnetic resonance imaging (MRI) scans revealed white matter hyperintensities (WMHs) in the periventricular and deep white matter, enlarged ventricles, widened sulci, and decreased white matter mass, which are features of aging, as well as cerebrovascular changes. This case series investigated changes in biochemical marker levels including serum homocysteine, folate, and vitamin B12, and the degree of atrophic variations in cortical-subcortical white matter in AD. The present study hypothesized that serum homocysteine levels in the brain might be used as a surrogate marker to screen for AD at an earlier stage.","2023",,"Ann Geriatr Med Res",,"other","NULL",1,"projTutoParkinson","2023-12-28"
,"38104147","Prediction of dyskinesia in Parkinson's disease patients using machine learning algorithms.","Leal DAB","Dyskinesias are non preventable abnormal involuntary movements that represent the main challenge of the long term treatment of Parkinson's disease (PD) with the gold standard dopamine precursor levodopa. Applying machine learning techniques on the data extracted from the Parkinson's Progression Marker Initiative (PPMI, Michael J. Fox Foundation), this study was aimed to identify PD patients who are at high risk of developing dyskinesias. Data regarding clinical, behavioral and neurological features from 697 PD patients were included in our study. Our results show that the Random Forest was the classifier with the best and most consistent performance, reaching an area under the receiver operating characteristic (ROC) curve of up to 91.8% with only seven features. Information regarding the severity of the symptoms, the semantic verbal fluency, and the levodopa treatment were the most important for the prediction, and were further used to create a Decision Tree, whose rules may guide the pharmacological management of PD symptoms. Our results contribute to the identification of PD patients who are prone to develop dyskinesia, and may be considered in future clinical trials aiming at developing new therapeutic approaches for PD.","2023",,"Sci Rep"," Fox Foundation ) , this study was aimed to identify PD patients who are at high risk of developing dyskinesias ","other","Humans, FALSE, Parkinson Disease, TRUE, complications, Q000150, Levodopa, FALSE, adverse effects, Q000009, Dyskinesias, TRUE, etiology, Q000209, Algorithms, FALSE, Dopamine, FALSE, therapeutic use, Q000627",1,"projTutoParkinson","2023-12-28"
,"38097502","Joint associations of sleep duration and physical activity with cognitive impairment among rural elderly over 65 years old: a cross-sectional study.","Wu J","BACKGROUND: During the long preclinical phase of dementia, accelerated cognitive impairment is regarded as a cardinal marker. Thus, the identification of risk factors for cognitive impairment is of great significance for dementia prevention. This study aims to examine the joint associations of sleep duration and physical activity with cognitive impairment among rural elderly over 65 years old, and provide suggestions for improving the cognitive function in rural elderly over 65 years old.
METHODS: A cross-sectional study was conducted in rural Nanjing by recruiting 1147 individuals aged above 65 years. Cognitive function was assessed using the brief community screening instrument for dementia. Physical activity was assessed using the Global Physical Activity Questionnaire. Data were analyzed by multivariate logistic regression models, and a significant difference was set at P < 0.05.
RESULTS: Compared with participants with proper sleep duration and sufficient physical activity, participants with short sleep duration and insufficient physical activity (odds ratio (OR): 1.820; 95% CI: 1.265 ~ 2.618), long sleep duration and sufficient physical activity (OR: 2.428; 95% CI: 1.137 ~ 5.183) showed an increased likelihood of cognitive impairment.
CONCLUSIONS: Inappropriate sleep duration combined with insufficient physical activity was associated with a significantly higher likelihood of cognitive impairment in rural elderly over 65 years old.","2023",,"Psychogeriatrics"," This study aims to examine the joint associations of sleep duration and physical activity with cognitive impairment among rural elderly over 65 years old , and provide suggestions for improving the cognitive function in rural elderly over 65 years old ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"38094641","The Increasing Prevalence of REM Sleep Behavior Disorder with Parkinson's Disease Progression: A Polysomnography-Supported Study.","Sixel-Döring F","OBJECTIVES: Rapid eye movement (REM) sleep behavior disorder (RBD) is proposed as an early diagnostic marker in Parkinson's disease (PD). We investigated the frequency of RBD during the progression of PD in the advanced stages and identified potential risk factors for developing RBD earlier or later.
PATIENTS AND METHODS: We performed a retrospective analysis and determined the frequency of RBD in all PD in-patients (Hoehn and Yahr stages ≥3) with motor fluctuations who had undergone video-polysomnography (vPSG) for a sleep complaint or daytime sleepiness. To correct for selection bias, we analyzed the prevalence of RBD in PD patients from the DeNoPa cohort. PD patients with RBD were compared with PD without RBD. To identify potential risk factors, we performed multiple regression modeling.
RESULTS: A total of 504 PD patients had vPSG. 37 were excluded due to missing REM or artifacts during REM. RBD was present in 406/467 (86.9%) PD patients. PD + RBD patients were older than PDnonRBD (69 ± 7.7 vs. 64 ± 9.2 years, 
CONCLUSION: The prevalence of RBD in patients with advanced PD is high and increases with disease severity, motor deficits, postural instability, orthostatic symptoms, and age. This suggests RBD is a progression marker of PD in patients with sleep complaints.","2023",,"Mov Disord Clin Pract"," OBJECTIVES : Rapid eye movement ( REM ) sleep behavior disorder ( RBD ) is proposed as an early diagnostic marker in Parkinson's disease ( PD ) ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"38086580","Independent and joint associations of cardiorespiratory fitness and BMI with dementia risk: the Cooper Center Longitudinal Study.","Gafni T","OBJECTIVE: This study aimed to examine the association of midlife fitness and body mass index (BMI) with incident dementia later in life.
DESIGN AND PARTICIPANTS: A cohort study of 6428 individuals (mean age 50.9±7.6 years) from the Cooper Center Longitudinal Study.
MEASURES: Cardiorespiratory fitness and BMI were assessed twice (1970-1999) during visits to the Cooper Clinic, a preventive medicine clinic in Dallas, Texas. These measures were examined as continuous and categorical variables. As continuous variables, fitness and BMI were examined at baseline (averaged of two examinations) and as absolute change between exams (mean time 2.1±1.8 years). Variables were categorised: unfit versus fit and normal versus overweight/obese. Medicare claims data were used to obtain all-cause dementia incidence (1999-2009). Mean follow-up between midlife examinations and Medicare surveillance was 15.7 ((SD=6.2) years. Multivariable models were used to assess the associations between fitness, BMI and dementia.
RESULTS: During 40 773 person years of Medicare surveillance, 632 cases of dementia were identified. After controlling for BMI and covariates, each 1-metabolic equivalent increment in fitness was associated with 5% lower (HR 0.95; 95% CI 0.90 to 0.99) dementia risk. In comparison, after controlling for fitness and covariates, each 1 kg/m
CONCLUSION: Lower midlife fitness is a risk marker for dementia irrespective of weight status. Being unfit coupled with overweight/obese status might increase one's risk for dementia even further.","2023",,"BMJ Open"," OBJECTIVE : This study aimed to examine the association of midlife fitness and body mass index ( BMI ) with incident dementia later in life ","other","Humans, FALSE, Aged, FALSE, United States, FALSE, epidemiology, Q000453, Adult, FALSE, Middle Aged, FALSE, Cardiorespiratory Fitness, TRUE, Longitudinal Studies, FALSE, Body Mass Index, FALSE, Cohort Studies, FALSE, Overweight, FALSE, complications, Q000150, Risk Factors, FALSE, Prospective Studies, FALSE, Medicare, FALSE, Obesity, FALSE, complications, Q000150, Dementia, TRUE, epidemiology, Q000453, Physical Fitness, FALSE",1,"projTutoParkinson","2023-12-28"
,"38060035","Development and internal validation of a prognostic model for loss of balance and falls in mid- to late-stage Parkinson's disease.","Juwara L","BACKGROUND: Mid- to late-stage Parkinson's disease (PD) is often linked with worsened and significant impairment of motor activities, but existing prognostic markers do not adequately capture the risk of loss of balance in PD patients. This study aims to develop a risk prognostic model for mid- to late-stage PD and identify prognostic factors that are indicative of impending loss of balance and falls.
METHODS: The study included 307 participants of which 75 were diagnosed with idiopathic PD and 232 were neurological or non-neurological controls. Among the PD group, 46 were early-stage (Hoehn and Yahr [H&Y] = 1,2) with no significant loss of balance while 29 were mid- to late-stage (H&Y = 3,4,5) which is characterized by loss of balance and falls. Multivariable logistic regression (MLR) was used to develop a prognostic model for mid- to late-stage PD. Model discrimination was assessed by ROC curves. The model was internally validated through bootstrapping and calibration plots.
RESULTS: The relevant factors identified and included in the final MLR model were shortness of breath, age, swollen joints, heme oxygenase-1 (HO-1) protein, and total salivary protein. The model had an AUC of 0.82 (95% CI = 0.71-0.92) and was well calibrated (calibration slope = 0.77, intercept = 0.03). The likelihood of shortness of breath (OR = 7.91, 95% CI = 1.63-45.12) was significantly higher among mid- to late-stage PD than early-stage. Age and total salivary protein were also significantly higher among mid- to late-stage PD.
CONCLUSION: The MLR prognostic model for mid- to late-stage PD may assist physicians in identifying patients at high risk for loss of balance and falls.","2023",,"Neurol Sci"," This study aims to develop a risk prognostic model for mid- to late-stage PD and identify prognostic factors that are indicative of impending loss of balance and falls ","other","NULL",1,"projTutoParkinson","2023-12-28"
,"38003389","The Unfolded Protein Response in a Murine Model of Alzheimer's Disease: Looking for Predictors.","Sita G","Alzheimer's disease (AD) represents the most frequent type of dementia worldwide, and aging is the most important risk factor for the sporadic form of the pathology. The endoplasmic reticulum (ER), the main cellular actor involved in proteostasis, appears significantly compromised in AD due to the accumulation of the β-amyloid (Aβ) protein and the phosphorylated Tau protein. Increasing protein misfolding activates a specific cellular response known as Unfolded Protein Response (UPR), which orchestrates the recovery of ER function. The aim of the present study was to investigate the role of UPR in a murine model of AD induced by intracerebroventricular (i.c.v.) injection of Aβ","2023",,"Int J Mol Sci"," The aim of the present study was to investigate the role of UPR in a murine model of AD induced by intracerebroventricular ( i","other","Mice, FALSE, Animals, FALSE, Alzheimer Disease, TRUE, genetics, Q000235, Protein Serine-Threonine Kinases, FALSE, metabolism, Q000378, Endoribonucleases, FALSE, metabolism, Q000378, Disease Models, Animal, FALSE, Phosphatidylinositol 3-Kinases, FALSE, metabolism, Q000378, Unfolded Protein Response, FALSE, Endoplasmic Reticulum Stress, FALSE, genetics, Q000235",1,"projTutoParkinson","2023-12-28"
