"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"23062157",,,"",,,,,,,,,,,,"chronic fatigue syndrome, sore throat, headaches, depression, anxiety",,1,"allChronicFatigue","2023-12-05"
,"7978722",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"32739782",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"37248110",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"22608645",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"10624375",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"9171712",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"9174726",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"9875054",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"7747645",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"30741357",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"20150199",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"24618308",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"30722945",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"9082378",,,"united states",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"10721549",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"8870557",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"28235209",,,"",,,,,,,,,"1",,,"chronic fatigue syndrome, multiple sclerosis, depression",,1,"allChronicFatigue","2023-12-05"
,"18638162",,,"mali",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"12562565",,,"mali",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"11346319",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"11126312",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"31073713",,,"",,,,,,,,,,,,"chronic fatigue syndrome, neuromuscular disease",,1,"allChronicFatigue","2023-12-05"
,"22455228",,,"",,,,,,,,,,,,"chronic fatigue syndrome, professionals",,1,"allChronicFatigue","2023-12-05"
,"9122005",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"9456063",,,"united kingdom",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"35707836",,,"",,,,,,,,,,,,"chronic fatigue syndrome, ",,1,"allChronicFatigue","2023-12-05"
,"16908905",,,"",,,,,,,,,,,,,,1,"allChronicFatigue","2023-12-05"
,"34381339",,,"",,,,,,,,,,,,"sarcoidosis, ",,1,"allChronicFatigue","2023-12-05"
