"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38102596",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"38098876",,,"china",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"38059456",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"38017482",,"360","",,,,,,,,,,,,"type 2 diabetes and chronic kidney disease",,1,"ckdIronPub","2023-12-21"
,"37994409",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37940479",,,"spain",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37936193",,"106","china",,,,,,,,,,,,"functional iron deficiency",,1,"ckdIronPub","2023-12-21"
,"37915900",,"17413","",,,,,,,,,,,,"chronic kidney disease",,1,"ckdIronPub","2023-12-21"
,"37884522",,"26","",,,,,,,,,,,,"iron deficiency anemia",,1,"ckdIronPub","2023-12-21"
,"37880328",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37760860",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37742162",,,"nepal",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37701608",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37668586",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37547514",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37445252",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37415621",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37408484",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37387946",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37376162",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37349056",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37202214",,,"japan",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37151072",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37101846",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37088234",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37068600",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37015198",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"37008953",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36990212",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36983703",,"781","",,,,,,,,,,,,"Iron Deficiency",,1,"ckdIronPub","2023-12-21"
,"36982393",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36910473",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36910371",,,"nigeria",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36855344",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36842856",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36745046",,"50","iran",,,,,,,,,,,,"iron deficiency",,1,"ckdIronPub","2023-12-21"
,"36704598",,,"indonesia",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36688811",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36673114",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36617559",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36599872",,"80","",,,,,,,,,,,,"percentage transferrin saturation",,1,"ckdIronPub","2023-12-21"
,"36555659",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36526688",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36435741",,,"france",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36394951",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36325260",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36266621",,,"italy",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36245647",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36233688",,,"italy",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36166104",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36156567",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36128477",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36106879",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"36060352",,,"india",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35956351",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35896969",,"75","",,,,,,,,,,,,"iron deficiency",,1,"ckdIronPub","2023-12-21"
,"35871036",,"4976","china",,,,,,,,,,,,"chronic kidney disease",,1,"ckdIronPub","2023-12-21"
,"35831434",,,"united states",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35821366",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35795277",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35726771",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35656701",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35644772",,,"algeria",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35496960",,,"sri lanka",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35482713",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35477731",,"50","",,,,,,,,,,,,"Iron deficiency",,1,"ckdIronPub","2023-12-21"
,"35386917",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35339349",,,"china",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35295041",,,"nigeria",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35268014",,,"france",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35241379",,,"france",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35155871",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35135490",,,"china",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35090061",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35058395",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35050181",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"35046130",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34898913",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34861126",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34816550",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34805628",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34758368",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34640466",,,"united states",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34629085",,"186","china",,,,,,,,,,,,"chronic kidney disease",,1,"ckdIronPub","2023-12-21"
,"34590458",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34534345",,,"india",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34514189",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34345192",,,"",,,,,,,,,,,,,,1,"ckdIronPub","2023-12-21"
,"34339746",,"3747","",,,,,,,,,,,,"Iron status",,1,"ckdIronPub","2023-12-21"
