"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38261460",,,"india",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38200428",,,"south korea",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38195750",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38190278",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38184557",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38114492",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38100647",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38060977",,,"brazil",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38041401",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"38034128",,,"spain",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37967297",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37967292",,,"united states",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37950787",,"445","united states",,"cardiovascular",,,,,,,,,,"breast cancer",,1,"projTutoBreastCan","2024-02-02"
,"37857978",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37835370",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37799951",,,"south africa",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37768420",,,"australia",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37694090",,,"mali, india",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37682795",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37663950",,,"costa rica",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37653535",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37636797",,,"india",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37599285",,"1146","india",,"obesity",,,,,,,,,,"breast cancer",,1,"projTutoBreastCan","2024-02-02"
,"37594060",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37593096",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
,"37584880",,,"",,,,,,,,,,,,,,1,"projTutoBreastCan","2024-02-02"
