"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38290838",,,,,"",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoMSA","2024-02-05"
,"38290377",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38263489",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38255208",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38216420",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38202163",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38171500",,,,,"mali",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38162907",,,,,"united states",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38143372",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38131057",,,,,"united states",," ANSWERNOTFOUND",,,,,,,,,," Huntington disease or tardive dyskinesia.",,1,"projTutoMSA","2024-02-05"
,"38129276",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38128498",,"69",,,"",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoMSA","2024-02-05"
,"38094640",,,,,"united kingdom",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38075229",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38035215",,,,,"united states",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"38026693",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37996211",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37989566",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37888900",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37810618",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37790746",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37790494",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37784132",,,,,"brazil",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37772304",,,,,"austria",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37771450",,,,,"china",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37753809",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37752324",,,,,"morocco",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37726343",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37662256",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37647745",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37620069",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37614106",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37581647",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37577533",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37567063",,"580",,,"china",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoMSA","2024-02-05"
,"37560452",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37542734",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37542297",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37531984",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37522217",,,,,"china",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoMSA","2024-02-05"
,"37498611",,,,,"italy",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37494757",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37477834",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37476315",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37461227",,,,,"france",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37454237",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
,"37452800",,,,,"",,,,,,,,,,,,,,1,"projTutoMSA","2024-02-05"
