"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38146546",,,"",,"poliomyelitis, polio ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38143422",,,"sudan",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38133433",,,"mali",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38131021",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38128489",,"2758","china",,"",,,,,,,,,,"famine exposure",,1,"projTutoNutrition","2023-12-28"
,"38110265",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38101136",,,"united states",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38099563",,,"nigeria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38098932",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38082458",,,"",,"anorexia nervosa, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38074243",,,"india",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38070935",,,"peru",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38068780",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38068757",,,"italy",,"celiac disease, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38053131",,,"kenya, zambia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38051002",,,"nigeria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38050535",,"340","vietnam",,"",,,,,,,,,,"Nutritional status",,1,"projTutoNutrition","2023-12-28"
,"38044442",,,"ethiopia",,"meningitis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38034439",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38024152",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"38014243",,"65","mali",,"malaria, ",,,,,,,,,,"malaria",,1,"projTutoNutrition","2023-12-28"
,"38002866",,,"mexico",,"epilepsy, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37992134",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37986567",,"62","",,"",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37974930",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37960244",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"29083644",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37936182",,,"italy",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37932856",,,"bangladesh",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37931699",,"366","kenya, south africa",,"",,,,,,,,,,"VA deficiency",,1,"projTutoNutrition","2023-12-28"
,"37929834",,"133","chile",,"malnutrition, ",,,,,,,,,,"malnutrition",,1,"projTutoNutrition","2023-12-28"
,"37919487",,,"india",,"tuberculosis, malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37916186",,,"china",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37909941",,,"panama",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37900541",,,"bulgaria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37890890",,,"kenya, italy",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37880752",,,"south africa",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37865756",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37856736",,,"indonesia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37851439",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37850923",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37849986",,,"saudi arabia",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37842430",,,"india",,"urinary tract infection , malnutrition",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37841413",,,"ethiopia",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37836589",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37832981",,,"laos",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37808985",,,"kenya",,"",,,,,,,,,,"children",,1,"projTutoNutrition","2023-12-28"
,"37805548",,,"india",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37799767",,,"",,"cirrhosis, liver disease",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37783459",,,"bangladesh",,"",,,,,,,,,,"Poor sanitation and hygiene practices and inadequate diets",,1,"projTutoNutrition","2023-12-28"
,"37781871",,"57","united kingdom",,"",,,,,,,,,,"undernutrition",,1,"projTutoNutrition","2023-12-28"
,"37780840",,,"",,"",,,,,,,,,,"Undernutrition",,1,"projTutoNutrition","2023-12-28"
,"37774227",,,"",,"cirrhosis, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37771788",,,"turkey, syria",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37761457",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37753712",,,"philippines",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37753494",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37744449",,,"",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37739737",,,"",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37739733",,,"egypt",,"malnutrition, ",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
,"37736957",,,"chile",,"",,,,,,,,,,,,1,"projTutoNutrition","2023-12-28"
