"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38147328",,,"scotland, wales",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38145191",,,"",,"dementia, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38143366",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38105011",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38104147",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38097502",,"1147","",,"cognitive impairment, dementia",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"38094641",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38086580",,"6428","united states",,"dementia, ",,,,,,,,,,"cardiorespiratory fitness and BMI with dementia",,1,"projTutoParkinson","2023-12-28"
,"38060035",,"307","",,"parkinson's disease, shortness of breath",,,,,,,,,,"shortness of breath",,1,"projTutoParkinson","2023-12-28"
,"38003389",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"38001022",,,"austria",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37991083",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37978183",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37970318",,,"india",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37969915",,,"",,"cognitive impairment, dementia, diabetes, memory problems",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37954035",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37953886",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37950256",,,"south korea",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37939982",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37902879",,,"",,"parkinson's disease, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37891792",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37886845",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37880775",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37876876",,,"",,"dementia, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"37874264",,"75","denmark",,"dementia, ",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"37861301",,,"",,"obesity, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
