"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"26952224",,"75","75","75","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"26388067",,,,,"brazil",," ",,,,,,,,,," TITLE:High weight standard and removal of third molars:",,1,"projTutoTrialRisk","2024-02-06"
,"26269135",,"200","200","200","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"26158157",,"60","60","30","japan",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"26098483",,"88","88","44","",," low-density lipoprotein cholesterol",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"26073396",,,,,"american",," ",,,,,,,,,," metabolic dyslipidemia.",,1,"projTutoTrialRisk","2024-02-06"
,"26037995",,,"96","96","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"26021535",,"100","100",,"turkey",," ",,,,,,,,,," TITLE:Interleukin-10",,1,"projTutoTrialRisk","2024-02-06"
,"25952121",,,"40","40","china",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25895202",,"200","200","200","bangladesh",," ",,,,,,,,,," hypovitaminosis D.",,1,"projTutoTrialRisk","2024-02-06"
,"25868831",,"64589","64589","64589","",," ",,,,,,,,,," reduced kidney function:",,1,"projTutoTrialRisk","2024-02-06"
,"25865966",,"25","25","25","",," ",,,,,,,,,," hypercholesterolemic",,1,"projTutoTrialRisk","2024-02-06"
,"25837216",,"36","36","36","",," ",,,,,,,,,," inflammation",,1,"projTutoTrialRisk","2024-02-06"
,"25837207",,"24","24","24","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25831695",,"172","472","472","",," oncological diseases.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25826729",,"49","22","22","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25812762",,,,,"",," ",,,,,,,,,," critical limb ischemia.",,1,"projTutoTrialRisk","2024-02-06"
,"25811824",,"21752","21752","21752","",," diabetes mellitus or atherosclerotic cardiovascular disease,",,,,,,,,,," cardiovascular disease",,1,"projTutoTrialRisk","2024-02-06"
,"25799733",,"16","16","16","",," hypogonadism.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25798518",,,,,"romania",," internalizing disorders, externalizing disorders,",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25787057",,"3151","3151","2049","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25772106",,"701","873","873","china",," ",,,,,,,,,," coronary artery disease",,1,"projTutoTrialRisk","2024-02-06"
,"25760048",,,,,"",," ",,,,,,,,,," Risk of Thrombosis.",,1,"projTutoTrialRisk","2024-02-06"
,"25747294",,"1276","1276","1276","",," non-welfare interests",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25744754",,,,"11","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25737192",,"422","422","110","japanese",," bleeding",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25733637",,,,,"china",," ",,,,,,,,,," anemia",,1,"projTutoTrialRisk","2024-02-06"
,"25733627",,"3982","3982","3982","spain",," ",,,,,,,,,," high cardiovascular risk?",,1,"projTutoTrialRisk","2024-02-06"
,"25721182",,"66","66","66","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25720616",,"107","107","56","",," cardiovascular disease.",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25714215",,"30","30","30","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25714213",,"200","200","200","",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25711249",,,,,"",," ",,,,,,,,,," ",,1,"projTutoTrialRisk","2024-02-06"
,"25701337",,"47","47","24","",," ",,,,,,,,,," coronary artery disease",,1,"projTutoTrialRisk","2024-02-06"
