"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"33693939",,,"",,,,,,,,,,,,"sleep apnea, , ",,1,"stridorIah2010","2023-11-11"
,"30272383",,"1208","germany",,,,"year",54,,,,"33",,,"obstructive sleep apnea , ",,1,"stridorIah2010","2023-11-11"
,"37741085",,,"belgium",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"31868987",,,"",,,,"years",57,,,,,,,"obstructive sleep apnea , sleep apnea, hypertension ",,1,"stridorIah2010","2023-11-11"
,"31699470",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"30941829",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"24741336",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"27101593",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"34736011",,,"",,,,"years",,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"32406974",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"37196510",,,"mali",,,,"years",4.1,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"36045914",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea",,1,"stridorIah2010","2023-11-11"
,"29490151",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"27864041",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"29361189",,,"",,,,,,,,,,,,"obstructive sleep apnea , ",,1,"stridorIah2010","2023-11-11"
,"32670495",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"35095190",,,"",,,,"years",52.6,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"31588866",,,"united states",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"23794206",,,"united kingdom",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"35199843",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"30354751",,"229","",,,,"year",58.3,,,,"37",,,"cardiovascular diseases","OSA syndrome",1,"stridorIah2010","2023-11-11"
,"27157221",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"36642368",,,"",,,,"years",66,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"33064338",,"280","",,,,,1.6,,,,,,,"sleep apnea, ","apnea-hypopnea index",1,"stridorIah2010","2023-11-11"
,"23686755",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"26999552",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"36782081",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"31946014",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"33667996",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"32297565",,"555","",,,,,1,,,14.5,,,,"obstructive sleep apnea , sleep apnea, atrial fibrillation","obstructive HCM",1,"stridorIah2010","2023-11-11"
,"34118579",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"31354515",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea, obesity",,1,"stridorIah2010","2023-11-11"
,"31236490",,,"",,,,"years",62.1,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"30745935",,"2099","",,,,,1,,,4,,,,"insomnia",,1,"stridorIah2010","2023-11-11"
,"36473324",,,"germany",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"35879028",,,"",,,,,,,,,,,,"cardiovascular disease, sleep apnea, diabetes",,1,"stridorIah2010","2023-11-11"
,"29796201",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"30092904",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"32532260",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"26182150",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"26181884",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"26564135",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"36556255",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"37176501",,,"",,,,"years",5.8,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"35929587",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"33131666",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"30981553",,,"",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"34873453",,,"",,,,,,,,,,,,"chronic obstructive pulmonary disease, ",,1,"stridorIah2010","2023-11-11"
,"35832389",,"808","",,,,,1,,,6.7,,,,"sleep apnea, hypertension ",,1,"stridorIah2010","2023-11-11"
,"34713075",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"34246581",,,"",,,,,,,,,,,,"sleep apnea, hypertension , ",,1,"stridorIah2010","2023-11-11"
,"23363404",,,"united states",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
,"23077154",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIah2010","2023-11-11"
,"24906620",,,"germany",,,,,,,,,,,,,,1,"stridorIah2010","2023-11-11"
