"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"16282178",,,"",,,,,,,,,,,,"obstructive sleep apnea , stroke",,1,"stridorIahMortality","2023-11-13"
,"15298493",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"8973516",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"23074483",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIahMortality","2023-11-13"
,"12776412",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"14717876",,,"mali",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"14532320",,,"mali",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIahMortality","2023-11-13"
,"18496162",,,"united states",,,,,,,,,,,,"recurrent respiratory papillomatosis, cough, pneumonia, asthma, croup, allergies, bronchitis",,1,"stridorIahMortality","2023-11-13"
,"16888274",,"394","spain",,,,"year",77.2,,,,"42.9",,,"sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"15289750",,,"",,,,,15,,,,"4",,,"sleep apnea, cardiovascular disease, stroke",,1,"stridorIahMortality","2023-11-13"
,"17938499",,,"mali",,,,,,,,,"55",,,"sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"8404114",,,"",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIahMortality","2023-11-13"
,"19329267",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"16100147",,"871","",,,,"year",,,,,"19.1",,,"obstructive sleep apnea , sleep apnea, cardiovascular disease",,1,"stridorIahMortality","2023-11-13"
,"15166843",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"10230929",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"17218564",,"316","united states",,,,"year",55,,,,,,,"coronary artery disease, sleep apnea, cardiovascular disease","Demographics, comorbidities, family history of cardiovascular disease",1,"stridorIahMortality","2023-11-13"
,"18575711",,"89","",,,,,3.9,,,,,,,"heart failure, ",,1,"stridorIahMortality","2023-11-13"
,"8610303",,,"",,,,"year",61.6,8.8,,8.8,,,,"stroke, obstructive sleep apnea ","obstructive sleep apnea",1,"stridorIahMortality","2023-11-13"
,"11347781",,"13","",,,,"year",77.1,7.7,,7.7,,,,"sleep apnea, stroke","obesity",1,"stridorIahMortality","2023-11-13"
,"16380551",,"133","",,,,,19.9,,,,,,,"heart failure, ",,1,"stridorIahMortality","2023-11-13"
,"17878721",,,"",,,,,,,,,,,,"stroke, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"17565197",,"214","",,,,,,,,,,,,"atherosclerosis, sleep apnea, stroke, hypertension ",,1,"stridorIahMortality","2023-11-13"
,"12749548",,,"",,,,,,,,,,,,"sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"18268171",,,"",,,,,,,,,,,,"obstructive sleep apnea , stroke, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"17433953",,,"",,,,,,,,,,,,"obstructive sleep apnea , heart failure, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"16543515",,"152","",,,,"year",56,13,,13,,,,"ischemic stroke, stroke",,1,"stridorIahMortality","2023-11-13"
,"20017891",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"18483473",,,"united states",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"9914356",,"97","",,,,"year",4,,,,,,,"Secondary pneumonia","inhalation burns",1,"stridorIahMortality","2023-11-13"
,"19406983",,"166","spain",,,,"year",73.3,11,,11,"41",,,"ischemic stroke, sleep apnea, stroke","obstructive events",1,"stridorIahMortality","2023-11-13"
,"16607489",,,"united kingdom",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea, cardiovascular disease, coronary artery disease, heart failure, stroke, atrial fibrillation, obesity, atherosclerosis, hypertension , stroke",,1,"stridorIahMortality","2023-11-13"
,"9085518",,,"",,,,,,,,,,,,"central sleep apnea , heart failure",,1,"stridorIahMortality","2023-11-13"
,"19688045",,,"",,,,"years",,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"15611893",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea, diabetes, asthma, heart failure",,1,"stridorIahMortality","2023-11-13"
,"9119592",,,"",,,,,,,,,,,,"epiglottitis, ",,1,"stridorIahMortality","2023-11-13"
,"18925322",,"5","brazil",,,,,5,,,,,,,"obstructive sleep apnea , ischemic stroke",,1,"stridorIahMortality","2023-11-13"
,"10796213",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"11279696",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"2012438",,,"",,,,,,,,,,,,"relapsing polychondritis, cough",,1,"stridorIahMortality","2023-11-13"
,"8536488",,"3","united states",,,,"month",4,,,,,,,"Gastroesophageal reflux",,1,"stridorIahMortality","2023-11-13"
,"8909424",,"59","",,,,"year",61,,,,,,,"sleep apnea, stroke","sleep apnea",1,"stridorIahMortality","2023-11-13"
,"18697817",,"392","",,,,,,,,15,,,,"stroke, sleep apnea","symptomatic coronary artery disease",1,"stridorIahMortality","2023-11-13"
,"16141444",,,"",,,,,,,,,,,,"stroke, ",,1,"stridorIahMortality","2023-11-13"
,"19291432",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"18516275",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"8231269",,,"mali",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"1474046",,,"",,,,,,,,,,,,"stroke, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"16282549",,,"",,,,,,,,,,,,"ischemic stroke, hypertension , stroke",,1,"stridorIahMortality","2023-11-13"
,"9914459",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"10637925",,,"",,,,,,,,,,,,"sleep apnea, stroke, insomnia",,1,"stridorIahMortality","2023-11-13"
,"19840581",,,"",,,,,,,,,,,,"hypertension , sleep apnea, obesity",,1,"stridorIahMortality","2023-11-13"
,"16141681",,,"",,,,"years",63.6,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"19213979",,,"",,,,,,,,,,,,"laryngomalacia, ",,1,"stridorIahMortality","2023-11-13"
,"16580533",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"17904204",,,"",,,,,,,,,,,,"obstructive sleep apnea , sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"19175381",,,"",,,,,52.6,,,,,,,"obstructive sleep apnea , sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"14531161",,,"",,,,,,,,,,,,,,1,"stridorIahMortality","2023-11-13"
,"11914407",,"50","",,,,"year",66.8,9.5,,9.5,,,,"sleep apnea, ischemic stroke, stroke",,1,"stridorIahMortality","2023-11-13"
,"16408413",,"60","",,,,,10,,,,,,,"atrial fibrillation, central sleep apnea , heart failure, sleep apnea, sleep apnea, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"18713905",,"33","mali",,,,,5,,,,,,,"Upper airway abnormalities",,1,"stridorIahMortality","2023-11-13"
,"14557568",,,"",,,,,,,,,,,,"stroke, ",,1,"stridorIahMortality","2023-11-13"
,"15788497",,,"mali",,,,,,,,,,,,"sleep apnea, ",,1,"stridorIahMortality","2023-11-13"
,"18204171",,,"poland",,,,,,,,,,,,"ischemic stroke, stroke",,1,"stridorIahMortality","2023-11-13"
,"17524602",,,"united kingdom",,,,,,,,,"52",,,"septic shock, ","adrenal insufficiency",1,"stridorIahMortality","2023-11-13"
,"9674801",,,"",,,,,,,,,,,,"obstructive sleep apnea , stroke",,1,"stridorIahMortality","2023-11-13"
,"17072068",,"43","poland",,,,,68.5,11,,11,,,,"sleep apnea, stroke","cerebrovascular disorders",1,"stridorIahMortality","2023-11-13"
,"19968008",,,"united states",,,,,,,,,,,,"obstructive sleep apnea , obesity, cardiovascular disease",,1,"stridorIahMortality","2023-11-13"
,"17512359",,,"united states",,,,,,,,,,,,"sleep apnea, heart failure",,1,"stridorIahMortality","2023-11-13"
,"18670754",,"124","",,,,"year",,5,,5,,,,"obesity, pressure ulcers",,1,"stridorIahMortality","2023-11-13"
,"18617656",,"30","",,,,,67,,,,,,,"ischemic stroke, stroke, sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"18927265",,"48","",,,,,41,2.3,,2.3,,,,"sleep apnea, stroke, hypertension , coronary artery disease",,1,"stridorIahMortality","2023-11-13"
,"15829165",,,"",,,,,,,,,,,,"sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
,"19365641",,"29","",,,,"year",65,,,,,,,"sleep apnea, rheumatoid arthritis","sleep apnea",1,"stridorIahMortality","2023-11-13"
,"18923370",,,"italy",,,,"year",55,,,65,"77",,,"thyroid cancer, ","local compressive symptoms",1,"stridorIahMortality","2023-11-13"
,"7836175",,,"",,,,,,,,,,,,"stroke, obstructive sleep apnea , sleep apnea",,1,"stridorIahMortality","2023-11-13"
,"16855994",,,"",,,,,,,,,,,,"croup, cough, influenza , ",,1,"stridorIahMortality","2023-11-13"
,"16021359",,"34","",,,,"year",64.5,13.7,,13.7,,,,"sleep apnea, stroke",,1,"stridorIahMortality","2023-11-13"
