"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"38420250",,"57",,,"",," chronic Baxter neuropathy.",,,,,,,,,," Chronic Baxter's Neuropathy Causing Hindfoot Pain",,1,"vacNemus2","2024-03-08"
,"38411938",,,,,"",," chronic obstructive pulmonary disease.CONTEXT:",,,,,,,,,," chronic obstructive pulmonary disease.",,1,"vacNemus2","2024-03-08"
,"38410855",,"9",,,"",," extravasation of NMBDs.",,,,,,,,,," neuromuscular",,1,"vacNemus2","2024-03-08"
,"38409184",,"19",,"9","iranian",," sarcopenia.",,,,,,,,,," sarcopenia:",,1,"vacNemus2","2024-03-08"
,"38406125",,"44",,,"",," CTS. Methods A total of 44 patients with CTS",,,,,,,,,," Carpal Tunnel Syndrome:",,1,"vacNemus2","2024-03-08"
,"38401644",,,,,"china",," SMA",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38400192",,"80",,,"",," ",,,,,,,,,," Diabetic Peripheral Neuropathy",,1,"vacNemus2","2024-03-08"
,"38396973",,,,,"",," non-neuropathic conditions,",,,,,,,,,," TITLE:Autoimmune Autonomic Neuropathy:",,1,"vacNemus2","2024-03-08"
,"38395902",,,,,"",," ANSW",,,,,,,,,," ARDS:",,1,"vacNemus2","2024-03-08"
,"38394420",,"48",,,"",," membranous nephropathy",,,,,,,,,," membranous nephropathy",,1,"vacNemus2","2024-03-08"
,"38390125",,"103",,,"china",," diabetic ulcers.",,,,,,,,,," diabetic ulcers:",,1,"vacNemus2","2024-03-08"
,"38386502",,,,,"",," inherited kidney diseases.",,,,,,,,,," kidney diseases.",,1,"vacNemus2","2024-03-08"
,"38386252",,"66",,,"",," ",,,,,,,,,," Myocardial Fibrosis after Ischemia-Reperfusion",,1,"vacNemus2","2024-03-08"
,"38384322",,"6",,,"",," myasthenia gravis",,,,,,,,,," myasthenia gravis and COVID-19.",,1,"vacNemus2","2024-03-08"
,"38382928",,"44",,,"chinese",," chronic renal failure.",,,,,,,,,," Chronic Renal Failure.",,1,"vacNemus2","2024-03-08"
,"38374451",,,,,"",," tuberculosis, skin infection and general sepsis.",,,,,,,,,," TITLE:Diabetes and infection:",,1,"vacNemus2","2024-03-08"
,"38372282",,"60",,,"",," ",,,,,,,,,," Intra-abdominal Mesenchymal Tumor.",,1,"vacNemus2","2024-03-08"
,"38371092",,,,,"",," recurrent pneumothorax",,,,,,,,,," TITLE:Recurrent Spontaneous Pneumothorax",,1,"vacNemus2","2024-03-08"
,"38370359",,,,,"",," diabetes and neuropathy.CONTEXT:",,,,,,,,,," neuropathy.",,1,"vacNemus2","2024-03-08"
,"38369439",,,,,"",," ",,,,,,,,,," hypertrophic scar fibrosis",,1,"vacNemus2","2024-03-08"
,"38366546",,,,,"",," TITLE:Autoimmune Optic Neuropathy and COVID-19 Vaccine.CONTEXT:",,,,,,,,,," TITLE:Autoimmune Optic Neuropathy",,1,"vacNemus2","2024-03-08"
,"38362256",,"112",,,"",," patients with CRPS.",,,,,,,,,," neuropathic pain:",,1,"vacNemus2","2024-03-08"
,"38360255",,,,,"",," TITLE:Small fibre neuropathy",,,,,,,,,," TITLE:Small fibre neuropathy",,1,"vacNemus2","2024-03-08"
,"38357833",,"50",,,"",," male Wistar rats",,,,,,,,,," pulmonary fibrosis",,1,"vacNemus2","2024-03-08"
,"38355209",,,,,"",," bilateral posterior ischaemic optic neuropathy",,,,,,,,,," ischaemic optic neuropathy",,1,"vacNemus2","2024-03-08"
,"38352818",,,,,"",," Dysphagia",,,,,,,,,," Dysphagia",,1,"vacNemus2","2024-03-08"
,"38352138",,"47",,,"",," GBS.",,,,,,,,,," TITLE:Guillain-Barré syndrome",,1,"vacNemus2","2024-03-08"
,"38348438",,"4",,,"",," pediatric spinal deformities",,,,,,,,,," spinal care:",,1,"vacNemus2","2024-03-08"
,"38346770",,"170",,,"canada",," right hemiplegia and dysarthria.",,,,,,,,,," TITLE:Recurrent nocturnal hypoglycemic hemiplegia:",,1,"vacNemus2","2024-03-08"
,"38345443",,,,,"",," diabetic cardiomyopathy",,,,,,,,,," myocardial fibrosis",,1,"vacNemus2","2024-03-08"
,"38344645",,,,,"",," neuritis and multiple sclerosis,",,,,,,,,,," TITLE:Non-arteritic Anterior Ischemic Optic Neuropathy",,1,"vacNemus2","2024-03-08"
,"38337364",,,,,"",," NULL",,,,,,,,,," Supraglottic Airway",,1,"vacNemus2","2024-03-08"
,"38320756",,"45",,,"",," co-morbid diseases",,,,,,,,,," persistent dyspnea",,1,"vacNemus2","2024-03-08"
,"38334900",,,,,"",," hepatic fibrosis",,,,,,,,,," hepatic fibrosis",,1,"vacNemus2","2024-03-08"
,"38334594",,,,,"",," ischemic axonopathy.",,,,,,,,,," Nonarteritic Anterior Ischemic Optic Neuropathy.",,1,"vacNemus2","2024-03-08"
,"38334217",,"373",,,"",," MN.",,,,,,,,,," Morton's neuroma.",,1,"vacNemus2","2024-03-08"
,"38333271",,"1141",,,"",," MS.",,,,,,,,,," multiple sclerosis and COVID-19:",,1,"vacNemus2","2024-03-08"
,"38317144",,,,,"syrian",," pulmonary arterial hypertension (PAH), right ventricular dysfunction",,,,,,,,,," cardiopulmonary disease.",,1,"vacNemus2","2024-03-08"
,"38316432",,,,,"",," non-COVID ALI/ARDS",,,,,,,,,," ARDS.",,1,"vacNemus2","2024-03-08"
,"38316204",,,,,"",," Corneal endothelial dysfunction",,,,,,,,,," corneal endothelial cells",,1,"vacNemus2","2024-03-08"
,"38314748",,"23",,,"",," suspected COVID-19 vaccine hepatitis",,,,,,,,,," Liver injury",,1,"vacNemus2","2024-03-08"
,"38314683",,"59",,,"",," intractable hypophosphatemia and hypokalemia",,,,,,,,,," Guillain-Barré Syndrome and Encephalitis",,1,"vacNemus2","2024-03-08"
,"38311527",,,,,"",," neuromuscular disorders",,,,,,,,,," neuromuscular disorders",,1,"vacNemus2","2024-03-08"
,"38309092",,,,,"chinese",," chronic hepatitis B and liver injury.",,,,,,,,,," liver fibrosis.",,1,"vacNemus2","2024-03-08"
,"38308795",,"360",,,"",," spinal muscular atrophy",,,,,,,,,," spinal muscular atrophy",,1,"vacNemus2","2024-03-08"
,"38308604",,,,,"",," Neuromuscular diseases",,,,,,,,,," hereditary myopathy",,1,"vacNemus2","2024-03-08"
,"38307674",,,,,"",," CM",,,,,,,,,," chronic migraine",,1,"vacNemus2","2024-03-08"
,"38306172",,,,,"",," Botulinum Toxin",,,,,,,,,," Facial Rejuvenation:",,1,"vacNemus2","2024-03-08"
,"38303017",,"45",,,"",," (without SCI and treatment),",,,,,,,,,," spinal cord contusion",,1,"vacNemus2","2024-03-08"
,"38299967",,,,,"",," ",,,,,,,,,," Choline Acetyltransferase-Deficient",,1,"vacNemus2","2024-03-08"
,"38299767",,"6",,,"",," ",,,,,,,,,," Liver Cirrhosis.",,1,"vacNemus2","2024-03-08"
,"38293977",,,,,"",," ",,,,,,,,,," pulmonary fibrosis",,1,"vacNemus2","2024-03-08"
,"38292031",,"22",,,"",," prolonged exertional dyspnea",,,,,,,,,," COVID-19.",,1,"vacNemus2","2024-03-08"
,"38291116",,"2627",,,"",," between",,,,,,,,,," dysautonomia.",,1,"vacNemus2","2024-03-08"
,"38286157",,,,,"",," pulmonary diseases.",,,,,,,,,," pulmonary fibrosis",,1,"vacNemus2","2024-03-08"
,"38276651",,"209",,,"",," mechanical allodynia",,,,,,,,,," Chronic Oxaliplatin-Induced Neuropathy",,1,"vacNemus2","2024-03-08"
,"38276509",,"2",,,"",," neuropathic pain",,,,,,,,,," Peripheral Neuropathy.",,1,"vacNemus2","2024-03-08"
,"38275049",,,,,"",," neurological complications",,,,,,,,,," Nervous System.",,1,"vacNemus2","2024-03-08"
,"38272015",,"1542300",,,"",," neuromuscular disorders,",,,,,,,,,," post-COVID-19 neurological manifestations:",,1,"vacNemus2","2024-03-08"
,"38271813",,,,,"",," diabetic neuropathy:",,,,,,,,,," diabetic neuropathy:",,1,"vacNemus2","2024-03-08"
,"38269219",,,,,"",," inflammation and oxidative stress.",,,,,,,,,," Post-COVID Syndrome",,1,"vacNemus2","2024-03-08"
,"38262642",,"80",,,"danish",," DNP of both lower extremities.",,,,,,,,,," diabetic neuropathic pain of the lower extremities:",,1,"vacNemus2","2024-03-08"
,"38259866",,"48",,,"",," neuropathy and positive ANCA",,,,,,,,,," neuropathy",,1,"vacNemus2","2024-03-08"
,"38259143",,"1837",,,"spain",," severe hypoxemia",,,,,,,,,," Tracheal Intubation in Critically Ill",,1,"vacNemus2","2024-03-08"
,"38254301",,,,,"",," neuropathy",,,,,,,,,," Diabetic Peripheral Neuropathic Rats:",,1,"vacNemus2","2024-03-08"
,"38253146",,"10",,,"",," acute myocardial infarction.CONTEXT:",,,,,,,,,," acute myocardial infarction.",,1,"vacNemus2","2024-03-08"
,"38248362",,,,,"",," neuromuscular degenerative pathologies.",,,,,,,,,," Neuromotor Deficit",,1,"vacNemus2","2024-03-08"
,"38244315",,,,,"",," ",,,,,,,,,," acute muscle atrophy",,1,"vacNemus2","2024-03-08"
,"38241622",,"6",,,"",," active thyroid eye disease and restrictive strabismus",,,,,,,,,," Thyroid Eye Disease-Associated Ophthalmopathy and Myopathy",,1,"vacNemus2","2024-03-08"
,"38234719",,,,,"",," contribute to inflammatory and neuropathic pain.",,,,,,,,,," Inflammatory and Neuropathic Pain.",,1,"vacNemus2","2024-03-08"
,"38234083",,,,,"",," right hip and leg pain",,,,,,,,,," Isolated Myositis",,1,"vacNemus2","2024-03-08"
,"38233151",,,,,"",," optic neuropathies",,,,,,,,,," Inner Retina Injuries.",,1,"vacNemus2","2024-03-08"
,"38233122",,,,,"",," diabetic peripheral neuropathy,",,,,,,,,,," diabetic peripheral neuropathy.",,1,"vacNemus2","2024-03-08"
,"38227584",,"24",,,"",," diabetic cardiomyopathy,",,,,,,,,,," cardiomyopathy,",,1,"vacNemus2","2024-03-08"
,"38226877",,"50",,,"",," small fiber neuropathy",,,,,,,,,," Small Fiber Neuropathy.",,1,"vacNemus2","2024-03-08"
,"38225959",,"15",,,"",," orthostatic intolerance,",,,,,,,,,," COVID-19",,1,"vacNemus2","2024-03-08"
,"38218752",,"213",,,"netherlands",," COVID-19 infection rate, and COVID-19 symptoms",,,,,,,,,," facioscapulohumeral muscular dystrophy",,1,"vacNemus2","2024-03-08"
,"38216296",,"195",,"195","",," DFUs.",,,,,,,,,," diabetic foot ulcers",,1,"vacNemus2","2024-03-08"
