"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName","uploadDate"
,"10473312_1_OR","10473312","depression",,"NULL","NULL",,,"prolonged fatigue",0.95,0.2,3.6,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10473312_2_OR","10473312","depression",,"NULL","NULL",,,"prolonged fatigue",1.4,0.6,3.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_1_OR","10699536","age",,"NULL","NULL",,,"fatigue",1.04,1.02,1.06,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_2_OR","10699536","fatigue",,"NULL","NULL",,,"psychiatric morbidity",1.2,1.2,95,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_3_OR","10699536","fatigue",,"NULL","NULL",,,"chronic fatigue",2.3,1.3,4.2,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"11071579_1_HR","11071579","lower",,"NULL","NULL",,,"chronic fatigue syndrome",2,2,2,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"11513371_1_RR","11513371","somatization symptoms",,"NULL","NULL",,,"major depression",28.4,11.7,68,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"12542563_3_OR","12542563","serum ferritin concentration",,"NULL","NULL",,,"haemochromatosis",103,22.9,469.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12542563_1_oddsratio","12542563","undiagnosed haemochromatosis",,"NULL","NULL",,,"diabetes",40.1,8,202.1,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"12593133_1_HR","12593133","cbfv",,"NULL","NULL",,,"abnormal cerebral blood flow velocity",2,2,2,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_5_OR","12912720","frontal headache",,"NULL","NULL",,,"sore throat",13.6,6.5,28.5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_6_OR","12912720","facial pressure",,"NULL","NULL",,,"rhinosinusitis symptoms",2.8,1.6,5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
