"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName"
,"11023623_1","11023623","serum ferritin level","lower than","NULL","NULL","microg/l",,"",3.1,1.5,6.5,"relative risk (RR)",,,1,"ckdIron"
,"11136685_1","11136685",,,"NULL","NULL",,,,30,1.2,95,"relative risk (RR)",,,1,"ckdIron"
,"11471308_1","11471308","nutritional status",,"NULL","NULL",,,"mortality",2.32,1.54,3.48,"odd ratio (OR)",,,1,"ckdIron"
,"11471308_2","11471308","cardiovascular diseases",,"NULL","NULL",,,"",2.07,1.06,4.06,"odd ratio (OR)",,,1,"ckdIron"
,"11471308_3","11471308","nutritional indices",,"NULL","NULL",,,"",0.96,0.93,0.99,"odd ratio (OR)",,,1,"ckdIron"
,"11925473_1","11925473","oxidative balance score",,"NULL","NULL",,,"",1.44,1.13,1.82,"relative risk (RR)",,,1,"ckdIron"
,"11925473_2","11925473","oxidative balance score of vitamin c, beta carotene and iron intakes",,"NULL","NULL",,,"",1.44,1.13,1.82,"relative risk (RR)",,,1,"ckdIron"
,"11925473_3","11925473","smoking",,"NULL","NULL",,,"",1.62,1.07,2.45,"relative risk (RR)",,,1,"ckdIron"
,"11925473_4","11925473",,,"NULL","NULL",,,,1.31,0.86,2,"relative risk (RR)",,,1,"ckdIron"
,"12214547_1","12214547","iron deficiency anemia",,"NULL","NULL",,,"increased risks for delivery before full term and low birth weight babies",1.95,1.28,2.97,"odd ratio (OR)",,,1,"ckdIron"
,"12450906_1","12450906","taking","greater than","30","NULL","mg",,"high iron stores",4.32,1.63,11.47,"odd ratio (OR)",,,1,"ckdIron"
,"12450906_2","12450906","high iron stores",,"NULL","NULL",,,"heart",2.88,1.26,6.61,"odd ratio (OR)",,,1,"ckdIron"
,"12450906_3","12450906","whole grain intake","greater than","7","NULL","servings/wk",,"high iron stores",0.23,0.07,0.75,"odd ratio (OR)",,,1,"ckdIron"
,"15083853_1","15083853","serum transferrin saturation","greater than","55","NULL","%",,"",1.6,1.17,2.21,"hazard ratio (HR)",,,1,"ckdIron"
,"15173787_1","15173787","male gender",,"NULL","NULL",,,"iron deficiency anemia",7.5,1.7,31.9,"odd ratio (OR)",,,1,"ckdIron"
,"15173787_4","15173787","lower mean corpuscular volume",,"NULL","NULL",,,"gi malignancies",1.1,1.1,95,"odd ratio (OR)",,,1,"ckdIron"
,"15173787_5","15173787","greater age",,"NULL","NULL",,,"bleeding related disease are associated with the exposure greater age",4.7,1.3,16.6,"odd ratio (OR)",,,1,"ckdIron"
,"15173787_6","15173787","positive fecal occult blood test",,"NULL","NULL",,,"bleeding related diseases",4.1,1.2,14.3,"odd ratio (OR)",,,1,"ckdIron"
,"15173787_7","15173787","negative fecal occult blood test",,"NULL","NULL",,,"non bleeding",4.5,1.16,20,"odd ratio (OR)",,,1,"ckdIron"
,"15173787_8","15173787",,,"NULL","NULL",,,,1.4,1.1,1.8,"odd ratio (OR)",,,1,"ckdIron"
,"15465752_1","15465752","moderate anemia",,"NULL","NULL",,,"moderate anemia",6.5,1.6,26.7,"odd ratio (OR)",,,1,"ckdIron"
,"15465752_2","15465752","anemia",,"NULL","NULL",,,"fetal growth restriction",4.6,1.5,13.5,"odd ratio (OR)",,,1,"ckdIron"
,"15465752_3","15465752","elevated ferritin",,"NULL","NULL",,,"low birthweight (low birthweight) and fetal growth restriction",2.2,0.9,5.7,"odd ratio (OR)",,,1,"ckdIron"
,"15465752_4","15465752","elevated ferritin",,"NULL","NULL",,,"fetal growth restriction",2.7,1.3,5.6,"odd ratio (OR)",,,1,"ckdIron"
,"15482700_1","15482700","high level of functional dependence",,"NULL","NULL",,,"",6.1,1.4,26.3,"odd ratio (OR)",,,1,"ckdIron"
,"15482700_2","15482700","diminished levels of serum transferrin",,"NULL","NULL",,,"",8.3,3.4,20,"odd ratio (OR)",,,1,"ckdIron"
,"15482700_3","15482700","decreased lymphocyte cell count",,"NULL","NULL",,,"",2.3,1.5,3.5,"odd ratio (OR)",,,1,"ckdIron"
,"15575912_1","15575912","percentage of hypochromic red blood cells",,"NULL","NULL",,,"",2.06,1.12,3.79,"hazard ratio (HR)",,,1,"ckdIron"
