"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName","uploadDate"
,"20866165_5_OR","20866165","intravenous iron therapy",,"NULL","NULL",,"chronic kidney disease","chronic kidney disease",0.44,0.32,0.61,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_3_OR","20866165","intravenous iron therapy.context: ) received iv iron without esa",,"NULL","NULL",,"iv iron without esa","death",0.55,0.38,0.79,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_7_OR","20866165","intravenous iron therapy.context: ) , iv iron without esa",,"NULL","NULL",,"iv iron without esa","chronic kidney disease",0.56,0.47,0.67,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_6_OR","20866165","intravenous iron therapy",,"NULL","NULL",,"intravenous iron therapy","chronic kidney disease",0.57,0.36,0.88,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_1_OR","20866165","neither iv iron nor esa",,"NULL","NULL",,"death","death",0.62,0.42,0.9,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_2_OR","20866165","intravenous iron therapy",,"NULL","NULL",,"death","death",0.66,0.5,0.87,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"20866165_4_OR","20866165","intravenous iron therapy",,"NULL","NULL",,"intravenous iron","death",0.73,0.62,0.87,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"24891437_1_OR","24891437","high",,"NULL","NULL",,"high","iron deficiency anaemia",0.65,0.44,0.95,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"24891437_3_OR","24891437","high",,"NULL","NULL",,"high","adverse events",2.04,1.52,2.72,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_6_OR","25550190","blood transfusion",,"NULL","NULL",,"blood transfusion","requiring blood transfusion",0.61,0.24,1.58,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_3_OR","25550190","haemoglobin levels",,"NULL","NULL",,"blood transfusion","blood transfusion",0.74,0.55,0.99,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_7_OR","25550190","blood transfusion",,"NULL","NULL",,"inactive control","requiring blood transfusion",0.84,0.66,1.06,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_5_OR","25550190","inactive control",,"NULL","NULL",,"inactive control","mortality",1.04,0.63,1.69,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_2_OR","25550190","mortality",,"NULL","NULL",,"mortality","chronic kidney disease",1.05,0.68,1.61,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25550190_4_OR","25550190","parenteral iron",,"NULL","NULL",,"oral iron group than in the inactive control","mortality",1.49,0.56,3.94,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"25829323_1_OR","25829323","iron supplementation",,"NULL","NULL",,"non","cause death",0.85,0.8,0.9,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"25829323_3_OR","25829323","iron supplementation",,"NULL","NULL",,"non","hospitalizations",0.97,0.94,0.99,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"25829323_4_OR","25829323","iron supplementation",,"NULL","NULL",,"non","end-stage renal disease",1.05,1.01,1.08,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"26243782_2_OR","26243782","erythropoiesis",,"NULL","NULL",,"swedish chronic kidney disease patients","decreased",0.95,0.93,0.97,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"26416943_1_OR","26416943","length of stay",,"NULL","NULL",,"hemodialysis patients","mortality",0.86,0.74,1,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"26416943_2_OR","26416943","intravenous iron",,"NULL","NULL",,"higher mortality","mortality",0.92,0.85,1,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"26416943_3_OR","26416943","no receipt of intravenous iron",,"NULL","NULL",,"no receipt of intravenous iron","infection or death",1.08,0.96,1.22,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"27121474_1_OR","27121474","haemoglobin levels",,"NULL","NULL",,"inactive control","mortality",0.66,0.48,0.9,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27121474_2_OR","27121474","parenteral iron significantly reduced the proportion of patients requiring blood transfusion",,"NULL","NULL",,"blood transfusion","mortality",0.84,0.73,0.97,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27321965_2_OR","27321965","iv iron replacement",,"NULL","NULL",,"gastrointestinal adverse events","hypotension",0.43,0.28,0.67,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27321965_1_OR","27321965","iv iron replacement",,"NULL","NULL",,"hypotension","hypotension",3.71,1.74,7.94,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_4_OR","27651467","calcium",,"NULL","NULL",,"hypercalcemia","hypercalcemia",0.12,0.05,0.32,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_3_OR","27651467","calcium",,"NULL","NULL",,"hypercalcemia","hypercalcemia",0.27,0.17,0.42,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_5_OR","27651467","hospitalizations",,"NULL","NULL",,"hospitalizations","hypercalcemia",0.5,0.31,0.81,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_1_OR","27651467","calcium",,"NULL","NULL",,"calcium","cause mortality",0.62,0.35,1.08,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_2_OR","27651467","calcium",,"NULL","NULL",,"chronic kidney disease","cause mortality",0.73,0.18,3,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27651467_6_OR","27651467","calcium",,"NULL","NULL",,"calcium","hospitalizations",0.8,0.34,1.93,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"27994861_1_OR","27994861","low molecular weight iron dextran",,"NULL","NULL",,"low molecular weight","anaemia",0.68,0.19,1.7,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"28135334_3_OR","28135334","non",,"NULL","NULL",,"non","hospitalizations",0.83,0.71,0.95,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"28135334_1_OR","28135334","hypersensitivity symptoms",,"NULL","NULL",,"hypersensitivity symptoms","hospitalizations",1.04,0.94,1.16,"hazard ratio (HR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_3_OR","28885736","moderate chronic kidney disease",,"NULL","NULL",,"moderate chronic kidney disease","active cancer",1.65,1.12,2.43,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_5_OR","28885736","heart failure",,"NULL","NULL",,"heart failure","active cancer",1.65,1.16,2.37,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_1_OR","28885736","anemia",,"NULL","NULL",,"anemia","active cancer",1.76,1.15,2.7,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_7_OR","28885736","anemia",,"NULL","NULL",,"mortality","mortality",1.82,1.21,2.74,"relative risk (RR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_4_OR","28885736","female gender",,"NULL","NULL",,"female gender","active cancer",2.29,1.64,3.22,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_2_OR","28885736","active cancer",,"NULL","NULL",,"active cancer","anemia",2.44,1.42,4.39,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"28885736_6_OR","28885736","moderate ckd",,"NULL","NULL",,"moderate ckd","active cancer",2.95,2.04,4.3,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"29227972_1_OR","29227972","tsat",,"NULL","NULL",,"hemoglobin <","hemoglobin <",0.628,0.515,0.765,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"29227972_3_OR","29227972","hemoglobin","lower than","NULL","NULL",,"hemoglobin <","anemia status",0.672,0.476,0.95,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"29227972_5_OR","29227972","serum hepcidin",,"NULL","NULL",,"hemoglobin <","anemia status",1.36,1.115,1.659,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
,"29227972_4_OR","29227972","serum hepcidin",,"NULL","NULL",,"hemoglobin <","hemoglobin <",1.379,1.173,1.62,"odd ratio (OR)",,,1,"ckdIronPub","2023-12-21"
