"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"12089390_7_OR","12089390","hematocrit between 30 and 35%;",,"NULL","NULL","%"," ","1-yr death rates",1.17,"0.89","1.54","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12089390_2_OR","12089390","and without chronic kidney disease",,"NULL","NULL",," ","1-yr death rates",1.43,"1.17","1.75","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12089390_8_OR","12089390","hematocrit","lower than","NULL","NULL","%"," ","risk of death",1.6,"1.19","2.16","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12535495_8_OR","12535495","lower hb targets reached   placebo",,"NULL","NULL",," ","risk for hypertensive episodes",0.5,"0.33","0.76","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12535495_6_OR","12535495","low erythropoietin doses)",,"NULL","NULL",," ","lower mortality",0.82,"0.68","0.99","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12535495_7_OR","12535495","lower targets obtained   placebo",,"NULL","NULL",," ","risk for seizures",5.25,"1.13","24.34","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12846757_7_OR","12846757","when anemia  not present, chronic kidney disease",,"NULL","NULL",," ","elevation in stroke risk",1.41,"0.93","2.14","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12846757_5_OR","12846757",", chronic kidney disease",,"NULL","NULL",," ","increase in stroke risk",1.81,"1.26","2.02","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12846757_6_OR","12846757","in the presence of anemia, chronic kidney disease",,"NULL","NULL",,"to no CKD","higher risk of stroke",5.43,"2.04","14.41","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12969159_3_OR","12969159","hematocrit 36% to 39%;",,"NULL","NULL","%"," ","the mortality at one year",1.35,"0.78","2.32","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12969159_4_OR","12969159","hematocrit between 30% and 35%;",,"NULL","NULL","%"," ","mortality at one year",1.94,"1.12","3.34","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12969159_5_OR","12969159","hematocrit","lower than","NULL","NULL","%"," ","risk of death",3.16,"1.35","7.4","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"12969159_2_OR","12969159","and without chronic kidney disease",,"NULL","NULL",," ","1-year death rates",4,"2.34","6.91","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15579519_7_OR","15579519","hb values of 100 g/l or less",,"NULL","NULL","g/l"," ","risk of hypertension",0.5,"0.33","0.76","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15579519_6_OR","15579519","hb values of","lower than","NULL","NULL","g/l"," ","lower all-cause mortality",0.84,"0.71","1","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15579519_8_OR","15579519","hb values of 100 g/l or less",,"NULL","NULL","g/l"," ","risk of seizures",5.25,"1.13","24.34","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15857925_6_OR","15857925","anemia",,"NULL","NULL",," ","risk for the only composite outcome",1.51,"1.27","1.81","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15857925_5_OR","15857925","left ventricular hypertrophy",,"NULL","NULL",," ","risk for composite and cardiac outcomes",1.62,"1.18","2.24","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15857925_2_OR","15857925","left ventricular hypertrophy",,"NULL","NULL",," ","risk for composite and cardiac outcomes",1.67,"1.34","2.07","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15857925_8_OR","15857925","of anemia and left ventricular hypertrophy",,"NULL","NULL",,"individuals  neither risk factor","risk for both study outcomes",3.92,"2.05","7.48","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"15857925_7_OR","15857925","of anemia and left ventricular hypertrophy",,"NULL","NULL",,"individuals  neither risk factor","risk for both study outcomes",4.15,"2.62","6.56","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16162813_3_OR","16162813","term, anemia",,"NULL","NULL",," ","for myocardial infarction/fatal chd,",1.64,"1.03","2.61","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16162813_2_OR","16162813","term, anemia",,"NULL","NULL",," ","for the composite outcome,",1.7,"1.24","2.34","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16162813_4_OR","16162813","term, anemia",,"NULL","NULL",," ","for stroke,",1.81,"0.99","3.29","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16162813_5_OR","16162813","term, anemia",,"NULL","NULL",," ","all-cause mortality.",1.88,"1.33","2.66","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16207824_4_OR","16207824","hba(1c)",,"NULL","NULL",," ","classified as cardiovascular mortality",1.53,"0.96","2.43","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16207824_3_OR","16207824","hba(1c)",,"NULL","NULL",," ","all-cause mortality",1.73,"1.24","2.41","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16207824_1_OR","16207824","hba(1c)",,"NULL","NULL",," ","all-cause mortality",1,"1.73","95","hazard ratio (HR)","P = 0.001",,,1,"ironAnemiaLisa1","2024-03-23"
,"16395253_4_OR","16395253","lower time-averaged hgb",,"NULL","NULL",,"to >130 g/l:","hazard of the composite end point",1.19,"0.86","1.63","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16395253_3_OR","16395253","lower time-averaged hgb",,"NULL","NULL",,"to >130 g/l:","hazard of the composite end point",1.97,"1.45","2.66","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16395253_2_OR","16395253","lower time-averaged hgb",,"NULL","NULL",,"to >130 g/l:","hazard of the composite end point",2.57,"1.85","3.58","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_2_OR","16754803","hemoglobin levels of 12.0 to 12.9 g/dl;",,"NULL","NULL","g/dl"," ","risk of death",1.16,"1.11","1.21","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_8_OR","16754803","gfr","lower than","NULL","NULL",," ","mortality risk:",1.39,"1.34","1.44","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_12_OR","16754803","hemoglobin levels",,"NULL","NULL",," ","risk of death",1.42,"1.24","1.63","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_3_OR","16754803","hemoglobin levels of 12.0 to 12.9 g/dl;",,"NULL","NULL","g/dl"," ","risk of death",1.5,"1.44","1.57","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_4_OR","16754803","gfr","lower than","NULL","NULL",," ","risk of death",1.89,"1.8","1.98","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_9_OR","16754803","gfr","lower than","NULL","NULL",," ","mortality risk:",2.28,"2.19","2.39","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_5_OR","16754803","gfr","lower than","NULL","NULL",," ","risk of death",2.31,"2.18","2.45","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_11_OR","16754803","on dialysis.",,"NULL","NULL",,"on dialysis.","mortality risk:",2.44,"2.28","2.61","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_10_OR","16754803","gfr","lower than","NULL","NULL",," ","mortality risk:",3.26,"3.05","3.49","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"16754803_6_OR","16754803","gfr","lower than","NULL","NULL",," ","risk of death",3.48,"3.25","3.73","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17054191_8_OR","17054191","lower hb targets",,"NULL","NULL",," ","risk of hypertensive episodes",0.5,"0.33","0.76","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17054191_6_OR","17054191","hb","lower than","NULL","NULL","g/l"," ","risk of end-stage kidney disease (end stage kidney disease)",1.05,"0.5","2.22","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17054191_7_OR","17054191","lower hb targets",,"NULL","NULL",," ","risk for seizures",5.25,"1.13","24.34","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17108342_2_OR","17108342","complete correction of anemia",,"NULL","NULL",," ","likelihood of  first cardiovascular event",0.78,"0.53","1.14","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17108343_2_OR","17108343","high-hemoglobin group,",,"NULL","NULL",,"low-hemoglobin group","97 events in the low-hemoglobin group",1.34,"1.03","1.74","hazard ratio (HR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17427112_4_OR","17427112","highest quartile of glycosylated hemoglobin",,"NULL","NULL",," ","incident chronic kidney disease and esrd,",21.87,"2.84","168.39","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17427112_3_OR","17427112","comparing the highest quartile of glycosylated hemoglobin",,"NULL","NULL",,"the lowest quartile","incident chronic kidney disease and esrd,",6.44,"3.61","11.51","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17486947_4_OR","17486947","emergency room visit (rr",,"NULL","NULL",,"control group.","risk of an emergency room visit",0.18,"0.05","0.67","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17486947_5_OR","17486947","treatment group",,"NULL","NULL",,"control group.","hospitalization",0.2,"0.06","0.67","relative risk (RR)",,,,1,"ironAnemiaLisa1","2024-03-23"
,"17727646_5_OR","17727646","presence of chronic kidney disease",,"NULL","NULL",," ","risk of anemia",1.35,"1.15","1.57","odd ratio (OR)",,,,1,"ironAnemiaLisa1","2024-03-23"
