"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"10782655_5_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",1.2,0.8,1.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_6_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",1.4,0.9,2.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_7_OR","10782655","smoking",,"NULL","NULL",,"premenopausal","breast cancer",1.5,1,2.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_8_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",1.7,1.1,2.7,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_4_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",2.3,1.2,4.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_1_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",2.3,1.2,4.6,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782655_3_OR","10782655","passive residential",,"NULL","NULL",,"premenopausal women","breast cancer",2.9,1.3,6.6,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782661_4_OR","10782661","adolescent cigarette smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.1,0.6,1.8,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782661_3_OR","10782661","adolescent cigarette smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.1,0.9,1.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782661_1_OR","10782661","adolescent cigarette smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.5,0.9,2.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10782661_2_OR","10782661","adolescent cigarette smoking",,"NULL","NULL",,"breast cancer","breast cancer",1.6,0.5,2.5,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10933269_5_OR","10933269","active smoking",,"NULL","NULL",,"premenopausal women","breast cancer",1.3,0.5,3.3,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10933269_2_OR","10933269","active",,"NULL","NULL",,"postmenopausal women","breast cancer",11.6,2.2,62.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10933269_3_OR","10933269","active smoking",,"NULL","NULL",,"premenopausal women","breast cancer",2.5,1,6.2,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"10933269_1_OR","10933269","active smoking",,"NULL","NULL",,"premenopausal women","breast cancer",3.2,1.2,8.7,"odd ratio (OR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11036112_1_OR","11036112","passive smoking exposure",,"NULL","NULL",,"breast cancer mortality","breast cancer mortality",1,0.8,1.2,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
,"11036112_2_OR","11036112","passive smoking exposure",,"NULL","NULL",,"smokers","breast cancer mortality",1,0.2,95,"relative risk (RR)",,,,1,"projTutoBreastCan","2024-02-02"
