"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"30843638_1_OR","30843638","plasmodium falciparum malaria prevalence",,"NULL","NULL",," answernotfound"," pfpr.",39.5,31.5,47.5,"odd ratio (OR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_1_OR","31283408","epilepsy",,"NULL","NULL",," non-lmb survivors:"," chronic health conditions,",15.2,3.1,73.4,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_8_OR","31283408","worse functional status",,"NULL","NULL",," compared with non-lmb survivors."," adverse health status or socioeconomic outcomes",2.7,1.2,5.8,"odd ratio (OR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_6_OR","31283408","severe headaches",,"NULL","NULL",," severe headaches"," adverse health status or socioeconomic outcomes",3.2,1.6,6.3,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_7_OR","31283408","prolonged arm, leg, or back pain",,"NULL","NULL",," prolonged arm, leg, or back pain"," adverse health status or socioeconomic outcomes",4,2.2,7.1,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_4_OR","31283408","tremors",,"NULL","NULL",," compared with non-lmb survivors."," risk of having any chronic health conditions,",7.5,1.9,29.9,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_5_OR","31283408","weakness in legs",,"NULL","NULL",," compared with non-lmb survivors."," adverse health status or socioeconomic outcomes",8.1,2.5,26.4,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"31283408_3_OR","31283408","balance problems",,"NULL","NULL",," balance problems"," risk of having any chronic health conditions,",8.9,2.3,34.8,"relative risk (RR)",,,,1,"projTutoLymphome","2024-02-06"
,"36894407_2_OR","36894407","stage i/ii",,"NULL","NULL",," answernotfound"," survival",0.66,0.59,0.74,"hazard ratio (HR)",,,,1,"projTutoLymphome","2024-02-06"
,"36894407_1_OR","36894407","stage i/ii",,"NULL","NULL",," answernotfound"," improved os and lss",0.71,0.65,0.78,"hazard ratio (HR)",,,,1,"projTutoLymphome","2024-02-06"
,"36894407_4_OR","36894407","stage iii/iv",,"NULL","NULL",," stage iii/iv"," survival",0.93,0.67,1.29,"hazard ratio (HR)",,,,1,"projTutoLymphome","2024-02-06"
,"36894407_3_OR","36894407","stage iii/iv",,"NULL","NULL",," stage iii/iv"," survival",1.01,0.8,1.26,"hazard ratio (HR)",,,,1,"projTutoLymphome","2024-02-06"
