"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"11125625_1_OR","11125625","presence of wasting",,"NULL","NULL",,"wasting","length of hospital stay","0.07","0.01","0.55","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11125625_3_OR","11125625","length of stay",,"NULL","NULL",,"brazilian children","malnutrition","4.68","2","10.95","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_1_OR","11752733","lack of breastfeeding",,"NULL","NULL",,"lack of breastfeeding","severe acute lower respiratory tract infection","1.64","1.23","2.17","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_4_OR","11752733","severe malnutrition",,"NULL","NULL",,"severe malnutrition","severe acute lower respiratory tract infection","1.85","1.14","3","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_5_OR","11752733","cooking fuel",,"NULL","NULL",,"severe acute lower respiratory tract infection","severe acute lower respiratory tract infection","2.5","1.51","4.16","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_6_OR","11752733","inappropriate immunization",,"NULL","NULL",,"severe malnutrition","severe malnutrition","2.85","1.59","5","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_3_OR","11752733","upper respiratory infection",,"NULL","NULL",,"upper respiratory infection in siblings","severe acute lower respiratory tract infection","24","7.8","74.4","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_7_OR","11752733","lrti",,"NULL","NULL",,"lower respiratory tract infection","severe acute lower respiratory tract infection","5.15","3","8.8","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11752733_2_OR","11752733","upper respiratory infection",,"NULL","NULL",,"upper respiratory infection","severe acute lower respiratory tract infection","6.53","2.73","15.63","odd ratio (OR)",,,,1,"projTutoNutrition","2023-12-28"
,"11849406_1_OR","11849406","hypoalbuminemia",,"NULL","NULL",,"pediatric patients with end-stage renal disease","death","1.54","1.15","1.85","relative risk (RR)",,,,1,"projTutoNutrition","2023-12-28"
