"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"10604507_3_OR","10604507","delirium",,"NULL","NULL",,"dementia","death","1.8","1.11","2.92","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"10604507_2_OR","10604507","unadjustedrelative",,"NULL","NULL",,"dementia","dementia","3.23","1.86","5.63","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"15138623_2_OR","15138623","plasma opg levels",,"NULL","NULL",,"dementia","dementia","2.17","1.18","3.99","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"15138623_1_OR","15138623","plasma opg levels",,"NULL","NULL",,"plasma osteoprotegerin as a biochemical marker for vascular dementia","dementia","2.51","1.46","4.32","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"15619154_1_OR","15619154","cholesterol",,"NULL","NULL",,"cholesterol","ad","75","3.19","95","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"15642856_2_OR","15642856","women in the lowest quartile",,"NULL","NULL",,"women in the lowest quartile","dementia","2.01","1.16","3.49","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"15642856_1_OR","15642856","bone mineral density",,"NULL","NULL",,"women in the lowest quartile","alzheimer disease","2.04","1.11","3.75","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"16108937_3_OR","16108937","activity levels",,"NULL","NULL",,"activity levels in youth","cognitive impairment","0.32","0.12","0.84","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16108937_1_OR","16108937","high adolescent iq",,"NULL","NULL",,"high adolescent iq","dementia","1","0.51","95","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16278861_1_OR","16278861","lipoprotein",,"NULL","NULL",,"age","dementia","1.19","0.78","1.81","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"16465461_2_OR","16465461","apoe varepsilon4 allele",,"NULL","NULL",,"apoe varepsilon4 allele","alzheimer's disease and vascular dementia","3.73","2.38","5.98","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16465461_3_OR","16465461","alzheimer's disease",,"NULL","NULL",,"alzheimer","ad","4.29","1.96","10.23","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16495472_1_OR","16495472","sleep duration",,"NULL","NULL",,"sleep duration","parkinson's disease","1.84","0.99","3.42","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"16583352_1_OR","16583352","head circumference",,"NULL","NULL",,"head circumference","dementia","2","1.1","3.6","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16583352_2_OR","16583352","head circumference",,"NULL","NULL",,"head circumference","dementia","3.59","1.44","8.97","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16696741_1_OR","16696741","low abi",,"NULL","NULL",,"low abi","lower scoring","1.6","1","2.6","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16696741_3_OR","16696741","verbal fluency",,"NULL","NULL",,"low abi","lower scoring","1.8","1.1","3","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16696741_4_OR","16696741","low abi",,"NULL","NULL",,"adult reading test","lower scoring","2.3","1.3","4.2","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16807921_1_OR","16807921","shorter telomeres",,"NULL","NULL",,"mortality","mortality","4.8","1.7","13.8","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16807921_3_OR","16807921","leukocyte telomere length",,"NULL","NULL",,"mortality","mortality","5.8","1.3","26.4","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16807921_5_OR","16807921","leukocyte telomere length",,"NULL","NULL",,"dementia","mortality","9","1.9","41","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16857570_2_OR","16857570","high plasma concentrations",,"NULL","NULL",,"plasma abeta","dementia","0.74","0.53","1.02","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"16857570_1_OR","16857570","high concentrations",,"NULL","NULL",,"age and sex","dementia","1.07","0.72","1.58","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_2_OR","16886099","age",,"NULL","NULL",,"women","dementia","1.4","1.08","1.83","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_6_OR","16886099","age",,"NULL","NULL",,"age","dementia","1.42","0.89","2.28","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_1_OR","16886099","hemoglobin level",,"NULL","NULL",,"women","dementia","1.5","1.14","1.97","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_5_OR","16886099","age",,"NULL","NULL",,"diabetes","dementia","1.59","1.01","2.5","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_4_OR","16886099","diabetes",,"NULL","NULL",,"women","dementia","2.86","1.17","6.98","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"16886099_3_OR","16886099","age",,"NULL","NULL",,"age","dementia","3.7","1.51","9.09","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"17011077_2_OR","17011077","hyperhomocysteinemia",,"NULL","NULL",,"hyperhomocysteinemia","dementia","1.91","1.02","3.56","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"17011077_1_OR","17011077","high crp",,"NULL","NULL",,"italian population","alzheimer's disease","2.56","1.21","5.5","hazard ratio (HR)",,,,1,"projTutoParkinson","2023-12-28"
,"17181866_1_OR","17181866","diabetes",,"NULL","NULL",,"diabetes","myocardial infarction","1.67","1.05","2.65","odd ratio (OR)",,,,1,"projTutoParkinson","2023-12-28"
,"17215578_3_OR","17215578","disability",,"NULL","NULL",,"severe alzheimer's disease","death","2.6","1.4","5","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"17215578_1_OR","17215578","severest deterioration",,"NULL","NULL",,"severest deterioration","severe dementia","3.8","2.1","6.8","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
,"17372126_1_OR","17372126","urinary deoxypyridinoline",,"NULL","NULL",,"placebo","hip fracture","0.33","0.09","1.2","relative risk (RR)",,,,1,"projTutoParkinson","2023-12-28"
