"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"22404704_5_OR","22404704","bipolar ii patients",,"NULL","NULL",," bipolar ii patients"," recurrence of mood events",0.33,0.18,0.6,"hazard ratio (HR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"22404704_2_OR","22404704","quetiapine",,"NULL","NULL",," answernotfound"," recurrence of depressive events",0.43,0.3,0.62,"hazard ratio (HR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"22404704_1_OR","22404704","quetiapine",,"NULL","NULL",," answernotfound"," recurrence of a mood event",0.51,0.38,0.69,"hazard ratio (HR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"22404704_4_OR","22404704","recurrence of mood events",,"NULL","NULL",," answernotfound"," recurrence of mood events",0.58,0.41,0.82,"hazard ratio (HR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"22404704_3_OR","22404704","quetiapine",,"NULL","NULL",," answernotfound"," recurrence of manic/hypomanic events",0.75,0.45,1.24,"hazard ratio (HR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_3_OR","23474641","alcohol",,"NULL","NULL",," answernotfound"," sexual risk behaviors,",1.43,1.22,1.68,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_5_OR","23474641","drug use",,"NULL","NULL",," answernotfound"," ever being hurt by a partner",1.65,1.38,1.97,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_4_OR","23474641","0.001)-women)",,"NULL","NULL",," answernotfound"," hiv infection.",1.83,1.5,2.24,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_7_OR","23474641","two forms of partner violence-recent forced sex",,"NULL","NULL",," answernotfound"," ever being hurt by a partner",2.22,1.66,2.95,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_8_OR","23474641","two forms of partner violence-recent forced sex",,"NULL","NULL",," answernotfound"," ever being hurt by a partner",2.76,2.09,3.64,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
,"23474641_10_OR","23474641","ever being hurt by a partner",,"NULL","NULL",," answernotfound"," hiv infection.",3.06,2.48,3.76,"odd ratio (OR)",,,,1,"projTutoTrialRisk","2024-02-06"
