"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"11034724_4_OR","11034724","local corticosteroid injection",,"NULL","NULL",," compared to placebo injection."," clinical improvement of carpal tunnel syndrome",3.62,"1.94","6.73","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"12137643_3_OR","12137643","recombinant human insulin-like growth factor i",,"NULL","NULL",," "," risk of injection site reactions/inflammation",2.53,"1.4","4.59","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"12519560_5_OR","12519560","local steroid injection",,"NULL","NULL",," "," helium -neon laser treatment",0.27,"0.09","0.83","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"12519560_6_OR","12519560","local steroid injection",,"NULL","NULL",," "," improved clinical outcome",0.76,"0.48","1.21","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"12519560_3_OR","12519560","systemic corticosteroid injection",,"NULL","NULL",," "," rate of improvement after one month",3.17,"1.02","9.87","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"12519560_2_OR","12519560","local steroid injection",,"NULL","NULL",," "," carpal tunnel syndrome",3.83,"1.82","8.05","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"16264160_6_OR","16264160","chronic pulmonary disease,",,"NULL","NULL",," "," respiratory failure",4.8,"1.5","15.1","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"16264160_7_OR","16264160","cardiac disease,",,"NULL","NULL",," "," respiratory failure",4,"1.6","10.2","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"16264160_3_OR","16264160","nnmd,",,"NULL","NULL",," "," respiratory failure,",6,"2.7","13.5","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"16707588_3_OR","16707588","dexamethasone",,"NULL","NULL",," "," time to progression",0.55,"0.44","0.69","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"16707588_4_OR","16707588","bortezomib",,"NULL","NULL",," "," for patients",0.57,"0.4","0.81","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"17443508_4_OR","17443508","local corticosteroid",,"NULL","NULL",," "," carpal tunnel syndrome",2.58,"1.72","3.87","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"17443508_5_OR","17443508","systemic corticosteroid injection",,"NULL","NULL",," "," rate of improvement after one month",3.17,"1.02","9.87","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"17715833_5_OR","17715833","insulin injection",,"NULL","NULL",," "," high risk of lower extremity amputation",1.9,"1.1","3.2","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"17715833_4_OR","17715833","diabetic retinopathy",,"NULL","NULL",," "," high risk of lower extremity amputation",2.2,"1.3","3.8","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"17715833_3_OR","17715833","peripheral vascular disease",,"NULL","NULL",," "," high risk of lower extremity amputation",5.3,"3.1","9.2","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"17715833_2_OR","17715833","history of ulcer",,"NULL","NULL",," "," high risk of lower extremity amputation",59.2,"32.8","106.8","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"17943766_2_OR","17943766","rhigf-i",,"NULL","NULL",," "," risk of injection site reactions",2.53,"1.4","4.59","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18628451_3_OR","18628451","ixabepilone plus capecitabine",,"NULL","NULL",," "," progression-free survival",0.69,"0.58","0.83","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"18628451_2_OR","18628451","ixabepilone plus capecitabine",,"NULL","NULL",," "," progression-free survival",4.1,"3.1","4.3","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_5_OR","18843618","favouring surgery,",,"NULL","NULL",," "," risk of re-operation",0.04,"0.01","0.17","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_8_OR","18843618","245 participants",,"NULL","NULL",," "," favouring surgery (rr",1.19,"1.02","1.39","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_7_OR","18843618","favoured surgery",,"NULL","NULL",," "," favouring surgery,",1.23,"1.04","1.46","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_9_OR","18843618","favouring surgery",,"NULL","NULL",," "," favouring surgery (rr",1.27,"1.05","1.53","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_11_OR","18843618","incidence of complications",,"NULL","NULL",," "," complications of surgery",1.38,"1.08","1.76","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"18843618_10_OR","18843618","changes in neurophysiological parameters",,"NULL","NULL",," "," favoured surgery (rr",1.44,"1.05","1.97","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"20351334_4_OR","20351334","stable disease,",,"NULL","NULL",," "," included response rate, stable disease, median os,",0.973,"0.805","1.176","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"20351334_3_OR","20351334","vinflunine and docetaxel.",,"NULL","NULL",," "," median progression free survival was 2.3 months",1.004,"0.841","1.199","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"21148615_2_OR","21148615","receiving placebo",,"NULL","NULL",," "," placebo,",0.79,"0.65","0.95","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"21148615_5_OR","21148615","squamous histology receiving pemetrexed",,"NULL","NULL",," placebo,"," placebo,",0.7,"0.56","0.88","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"21148615_6_OR","21148615","patients with squamous histology receiving pemetrexed",,"NULL","NULL",," those receiving placebo"," placebo",1.07,"0.77","1.5","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"21689279_2_OR","21689279","isolated obstructed defecation symptoms",,"NULL","NULL",," "," sustained response and required no further treatment.",19.2,"7","30.4","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"21689279_1_OR","21689279","isolated obstructed defecation symptoms",,"NULL","NULL",," "," predicted response on logistic regression analysis.",7.8,"NULL","NULL","odd ratio (OR)","P = 0.008",,,1,"vacNemus2","2024-03-08"
,"21724462_2_OR","21724462","bortezomib plus rituximab groups,",,"NULL","NULL",," "," median progression-free survival",0.82,"0.68","0.99","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
,"23045477_2_OR","23045477","fcγriiia -176v/tlr9",,"NULL","NULL",," "," developing severe malarial anemia",0.36,"0.2","0.64","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"23045477_4_OR","23045477","fcγriiia -176v/tlr9",,"NULL","NULL",," "," susceptible to severe malarial anemia",2.04,"1.19","3.5","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"25520865_1_OR","25520865","high α-sma+hscs infiltration",,"NULL","NULL",," "," worse survival,",2.2,"NULL","NULL","odd ratio (OR)","p = 0.0434",,,1,"vacNemus2","2024-03-08"
,"26086278_2_OR","26086278","age of onset of myasthenia gravis",,"NULL","NULL",," "," increased response to rocuronium",0.87,"0.77","0.98","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"26086278_3_OR","26086278","age of onset of myasthenia gravis",,"NULL","NULL",," "," increased response to rocuronium",0.92,"0.86","0.99","odd ratio (OR)",,,,1,"vacNemus2","2024-03-08"
,"26109961_1_OR","26109961","treated with nerve growth factor",,"NULL","NULL",," control group"," total effective rate",1.35,"1.3","1.4","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"26109961_2_OR","26109961","pain or scleroma at the injection site",,"NULL","NULL",," control group"," pain or scleroma at the injection site",6.3,"3.53","11.27","relative risk (RR)",,,,1,"vacNemus2","2024-03-08"
,"26813298_2_OR","26813298","93% for placebo",,"NULL","NULL","%"," "," primary fascial closure",1,"0.5","1.8","hazard ratio (HR)",,,,1,"vacNemus2","2024-03-08"
