"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName"
,"10025428",,,,,"pd",,"9 %","%",1,"MSA"
,"10025428",,,,,"psp",,"40 %","%",1,"MSA"
,"10025428",,,,,"msa",,"36 %","%",1,"MSA"
,"10212741",,,,,"depressive symptoms",,"85.7 %","%",1,"MSA"
,"10212741",,,,,"sds patients",,"28.6 %","%",1,"MSA"
,"10349344",,,,,"phenomenon",,"70 %","%",1,"MSA"
,"10349344",,,,,"snout reflex",,"80 %","%",1,"MSA"
,"10349344",,,,,"slowness verbal response",,"88 %","%",1,"MSA"
,"10534244",,,,,"nat slow acetylators",,"50 %","%",1,"MSA"
,"10577638",,,,,"per",,"84 %","%",1,"MSA"
,"10648440",,,,,"male",,"87 %","%",1,"MSA"
,"10648440",,,,,"assaulted spouses",,"64 %","%",1,"MSA"
,"10648440",,,,,"mri ct head scans",,"56 %","%",1,"MSA"
,"10648440",,,,,"neurological disorders",,"57 %","%",1,"MSA"
,"10648440",,,,,"neurological disorders",,"14 %","%",1,"MSA"
,"10648440",,,,,"parkinsons disease",,"52 %","%",1,"MSA"
,"10656512",,,,,"stimulus contrast",,"80 %","%",1,"MSA"
,"10828652",,,,,"abnormal nerve conduction",,"24 %","%",1,"MSA"
,"10828652",,,,,"msa p",,"43 %","%",1,"MSA"
,"10828652",,,,,"msa c",,"14 %","%",1,"MSA"
,"10828652",,,,,"motor nerve conduction velocities",,"4 %","%",1,"MSA"
,"10828652",,,,,"msa p patients",,"7 %","%",1,"MSA"
,"11030803",,,,,"isca patients parkinsonism",,"50 %","%",1,"MSA"
,"11244687",,,,,"idiopathic parkinsons disease",,"43.7 %","%",1,"MSA"
,"11244687",,,,,"idiopathic parkinsons disease",,"19.9 %","%",1,"MSA"
,"11244687",,,,,"idiopathic parkinsons disease",,"2.6 %","%",1,"MSA"
,"11244687",,,,,"onset parkinsons disease",,"3.3 %","%",1,"MSA"
,"11244687",,,,,"juvenile parkinsons disease",,"0.3 %","%",1,"MSA"
,"11244687",,,,,"familial parkinsons disease",,"1.7 %","%",1,"MSA"
,"11244687",,,,,"na",,"5.4 %","%",1,"MSA"
,"11244687",,,,,"vascular disease cases",,"8 %","%",1,"MSA"
,"11244687",,,,,"local lesion cases",,"3 %","%",1,"MSA"
,"11244687",,,,,"medications",,"5.3 %","%",1,"MSA"
,"11244687",,,,,"sample",,"1.5 %","%",1,"MSA"
,"11244687",,,,,"monotherapy",,"23.2 %","%",1,"MSA"
,"11244687",,,,,"two medications",,"46.7 %","%",1,"MSA"
,"11244687",,,,,"three",,"23.5 %","%",1,"MSA"
,"11244687",,,,,"levodopa",,"70.9 %","%",1,"MSA"
,"11244687",,,,,"anticholinergic",,"51.3 %","%",1,"MSA"
,"11244687",,,,,"mao b i",,"33.4 %","%",1,"MSA"
,"11244687",,,,,"amantadine",,"33.1 %","%",1,"MSA"
,"11244687",,,,,"d stimulants",,"18.5 %","%",1,"MSA"
,"11374094",,,,,"ms patients",,"84 %","%",1,"MSA"
,"11374094",,,,,"ms patients",,"56 %","%",1,"MSA"
,"11481685",,,,,"na <",,"0 %","%",1,"MSA"
,"11481685",,,,,"synucleinopathy",,"91.7 %","%",1,"MSA"
,"11481685",,,,,"synucleinopathy",,"94.3 %","%",1,"MSA"
,"11482743",,,,,"symptomatic orthostatic hypotension",,"20 %","%",1,"MSA"
,"11861684",,,,,"dystonia",,"46 %","%",1,"MSA"
,"11861684",,,,,"cervical dystonia",,"25 %","%",1,"MSA"
,"11861684",,,,,"unilateral limb dystonia",,"21 %","%",1,"MSA"
,"12013580",,,,,"encephalopathy occurred procedures",,"62 %","%",1,"MSA"
,"12013580",,,,,"slow recovery eight",,"18 %","%",1,"MSA"
,"12013580",,,,,"intermittent confusion agitation full recovery",,"6.6 %","%",1,"MSA"
,"12013580",,,,,"focal generalized seizures",,"11 %","%",1,"MSA"
,"12013580",,,,,"patients  died discharge",,"29 %","%",1,"MSA"
,"12013580",,,,,"encephalopathy",,"92 %","%",1,"MSA"
,"12023429",,,,,"patients pd",,"51 %","%",1,"MSA"
,"12023429",,,,,"sleep fragmentation",,"52.5 %","%",1,"MSA"
,"12023429",,,,,"vocalisation",,"60 %","%",1,"MSA"
,"12023429",,,,,"rem sleep behaviour disorder",,"47.5 %","%",1,"MSA"
,"12023429",,,,,"nocturnal stridor",,"19 %","%",1,"MSA"
,"12023429",,,,,"patients pd",,"30 %","%",1,"MSA"
,"12242540",,,,,"pd snd",,"5 %","%",1,"MSA"
,"12360556",,,,,"fog",,"24 %","%",1,"MSA"
,"12360556",,,,,"cbd",,"8 %","%",1,"MSA"
,"12360556",,,,,"dlb",,"21 %","%",1,"MSA"
,"12360556",,,,,"cbd",,"25 %","%",1,"MSA"
