"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName","uploadDate"
,"10344482",,"CFS",,,"allergy nickel",,"36 %","%",1,"allChronicFatigue","2023-12-05"
,"10344482",,"allergy to nickel",,,"subjects control group",,"19 %","%",1,"allChronicFatigue","2023-12-05"
,"10344482",,"24 %",,,"females",,"52 %","%",1,"allChronicFatigue","2023-12-05"
,"10344482",,"controls",,,"females",,"24 %","%",1,"allChronicFatigue","2023-12-05"
,"10344482",,"9 %",,,"males",,"9 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"Somatic or psychic diagnoses",,,"the episode care lasted weeks",,"86 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"Somatic or psychic diagnoses",,,"least months",,"4 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"fatigue",,,"physical examination",,"63 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"GPs",,,"conversation",,"35 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"GPs",,,"prescription medication",,"24 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"GPs",,,"referral specialist",,"3 %","%",1,"allChronicFatigue","2023-12-05"
,"10347643",,"fatigue",,,"chronic disease psychic problems",,"61 %","%",1,"allChronicFatigue","2023-12-05"
,"10367610",,"CFS",,,"women",,"77 %","%",1,"allChronicFatigue","2023-12-05"
,"10380143",,"chronic fatigue syndrome",,,"fatigue",,"37,55 %","%",1,"allChronicFatigue","2023-12-05"
,"10380143",,"fatigue",,,"neurasthenia",,"3,25 %","%",1,"allChronicFatigue","2023-12-05"
,"10380143",,"2 subjects",,,"chronic fatigue syndrome criteria",,"0,72 %","%",1,"allChronicFatigue","2023-12-05"
,"10473312",,"psychological distress",,,"prevalence rates prolonged fatigue",,"7 %","%",1,"allChronicFatigue","2023-12-05"
,"10473312",,"19 %",,,"prolonged fatigue + psychological distress  disorder",,"19 %","%",1,"allChronicFatigue","2023-12-05"
,"10473312",,"prolonged fatigue ' alone , ' psychological distress",,,"disorder",,"59 %","%",1,"allChronicFatigue","2023-12-05"
,"10473312",,"prolonged fatigue syndrome",,,"fatigue",,"13 %","%",1,"allChronicFatigue","2023-12-05"
,"10473520",,"ECLIA",,,"schizophrenia patients",,"3.08 %","%",1,"allChronicFatigue","2023-12-05"
,"10473520",,"seropositive for BDV",,,"patients mood disorders",,"3.59 %","%",1,"allChronicFatigue","2023-12-05"
,"10473520",,"19",,,"patients various ocular diseases",,"1.36 %","%",1,"allChronicFatigue","2023-12-05"
,"10473520",,"10",,,"blood donors",,"1.09 %","%",1,"allChronicFatigue","2023-12-05"
,"10473520",,"seropositive for BDV-specific antigen",,,"multitransfused patients",,"4.55 %","%",1,"allChronicFatigue","2023-12-05"
,"10527290",,"random community-based sample",,,"completion rate telephone interviews",,"65.1 %","%",1,"allChronicFatigue","2023-12-05"
,"10527290",,"CFS",,,"random community based sample",,"0.42 %","%",1,"allChronicFatigue","2023-12-05"
,"10534298",,"women physicians with and without histories of DV or SA",,,"dv histories",,"3.7 %","%",1,"allChronicFatigue","2023-12-05"
,"10534298",,"homosexual or bisexual",,,"sa histories",,"4.7 %","%",1,"allChronicFatigue","2023-12-05"
,"10588401",,"U.5 % ( N = 808",,,"history depression",,"1.5 %","%",1,"allChronicFatigue","2023-12-05"
,"10588401",,"women physicians have attempted suicide , and 19.5 % ( N = 808",,,"depression",,"19.5 %","%",1,"allChronicFatigue","2023-12-05"
,"10625135",,"GPs",,,"a postal questionnaire",,"60 %","%",1,"allChronicFatigue","2023-12-05"
,"10625135",,"83",,,"one pfs patients practice",,"83 %","%",1,"allChronicFatigue","2023-12-05"
,"10647761",,"Lifetime rates of irritable bowel syndrome",,,"cfs",,"92 %","%",1,"allChronicFatigue","2023-12-05"
,"10647761",,"CFS , 92 % ; FM , 77 % ; TMD",,,"fm",,"77 %","%",1,"allChronicFatigue","2023-12-05"
,"10647761",,"FM , 77 %",,,"tmd",,"64 %","%",1,"allChronicFatigue","2023-12-05"
,"10647761",,"controls",,,"irritable bowel syndrome",,"18 %","%",1,"allChronicFatigue","2023-12-05"
,"10698813",,"lifetime prevalence",,,"dsm iii r depressive anxiety disorders",,"54 %","%",1,"allChronicFatigue","2023-12-05"
,"10698813",,"Centers for Disease Control criteria",,,"chronic fatigue syndrome",,"3 %","%",1,"allChronicFatigue","2023-12-05"
,"10698813",,"Chronic fatigue syndrome diagnosed according to the 1988 Centers for Disease Control criteria",,,"pains",,"36 %","%",1,"allChronicFatigue","2023-12-05"
,"10698813",,"Chronic fatigue",,,"insomnia",,"20 %","%",1,"allChronicFatigue","2023-12-05"
,"10698813",,"Chronic fatigue syndrome diagnosed according to the 1988 Centers for Disease Control criteria",,,"worries",,"13 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"HD",,,"healthy donors",,"15 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"OND",,,"patients neurological disorders",,"20 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"IgM antibody",,,"cfs patients",,"57.1 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"CFS patients",,,"hd  hd",,"16 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"HD",,,"cfs patients exhibited antibody hhv protein",,"54 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"CFS",,,"hd",,"8.0 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"Variant A",,,"hhv isolates variant b",,"87 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"CFS",,,"variant a",,"70 %","%",1,"allChronicFatigue","2023-12-05"
,"10738137",,"HD",,,"variant b",,"67 %","%",1,"allChronicFatigue","2023-12-05"
,"10782836",,"majority",,,"mentioned types causes",,"70 %","%",1,"allChronicFatigue","2023-12-05"
,"10782836",,"virus",,,"chemical imbalance body",,"61 %","%",1,"allChronicFatigue","2023-12-05"
,"10782836",,"51 %",,,"virus",,"51 %","%",1,"allChronicFatigue","2023-12-05"
,"10782836",,"stress",,,"emotional confusion",,"40 %","%",1,"allChronicFatigue","2023-12-05"
,"10882883",,"71 % of non-CFS twins had used at least 1 alternative treatment",,,"twins cfs",,"91 %","%",1,"allChronicFatigue","2023-12-05"
,"10882883",,"71 % of non-CFS twins had used at least 1 alternative treatment",,,"non cfs twins",,"71 %","%",1,"allChronicFatigue","2023-12-05"
,"10882883",,"23 %",,,"cfs",,"42 %","%",1,"allChronicFatigue","2023-12-05"
,"10882883",,"discussed their use of alternative medicine with a physician",,,"without cfs",,"23 %","%",1,"allChronicFatigue","2023-12-05"
,"10898251",,"SUN",,,"fluid intake equal exceeded six glasses per day",,"71 %","%",1,"allChronicFatigue","2023-12-05"
,"10964867",,"Fatigue",,,"participation rate",,"79.4 %","%",1,"allChronicFatigue","2023-12-05"
,"10964867",,"subjects",,,"unexplained chronic fatigue",,"9 %","%",1,"allChronicFatigue","2023-12-05"
,"11018367",,"case definition",,,"prior disorders",,"75 %","%",1,"allChronicFatigue","2023-12-05"
,"11018367",,"case",,,"illness",,"57 %","%",1,"allChronicFatigue","2023-12-05"
,"11028837",,"tropisetron",,,"one third patients",,"35 %","%",1,"allChronicFatigue","2023-12-05"
,"11195711",,"widespread pain",,,"general population",,"2 %","%",1,"allChronicFatigue","2023-12-05"
,"11196514",,"CFS",,,"mucosal dryness",,"52 %","%",1,"allChronicFatigue","2023-12-05"
,"11196514",,"CFS patients",,,"low schirmer values",,"40 %","%",1,"allChronicFatigue","2023-12-05"
,"11224736",,"severity of functional impairment",,,"chronic fatigue syndrome",,"0.42 %","%",1,"allChronicFatigue","2023-12-05"
,"11251747",,"nonfatigued co-twins",,,"fibromyalgia",,"10 %","%",1,"allChronicFatigue","2023-12-05"
,"11251747",,"> 50 % vs < 5 %",,,"irritable bowel syndrome",,"5 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"operational criteria",,,"mcs",,"1.3 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"operational criteria",,,"mcs gulf bosnia era cohorts",,"0.3 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"operational criteria",,,"mcs",,"0.2 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"CFS",,,"gulf cohort",,"2.1 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"CFS",,,"bosnia cohort",,"0.7 %","%",1,"allChronicFatigue","2023-12-05"
,"11257069",,"CFS",,,"era cohort",,"1.8 %","%",1,"allChronicFatigue","2023-12-05"
,"11286355",,"disease prevalence",,,"general population",,"0.1 %","%",1,"allChronicFatigue","2023-12-05"
,"11311347",,"Line blot",,,"primary infections",,"94 %","%",1,"allChronicFatigue","2023-12-05"
,"11311347",,"IFA",,,"blood donors cross reactive sera",,"58 %","%",1,"allChronicFatigue","2023-12-05"
,"11311347",,"ELISA",,,"indeterminate results",,"34 %","%",1,"allChronicFatigue","2023-12-05"
,"11382899",,"Sleep Apnea / Hypopnea Syndrome Index",,,"periodic limb movements syndrome",,"5 %","%",1,"allChronicFatigue","2023-12-05"
,"11382899",,"CFS",,,"sleepiness",,"69 %","%",1,"allChronicFatigue","2023-12-05"
,"11460087",,"CFS",,,"dental metal removal",,"76 %","%",1,"allChronicFatigue","2023-12-05"
,"11460087",,"CFS",,,"twenty four patients reported unchanged health",,"22 %","%",1,"allChronicFatigue","2023-12-05"
,"11460087",,"two",,,"symptoms",,"2 %","%",1,"allChronicFatigue","2023-12-05"
,"11502797",,"null heterozygotes",,,"globulin levels",,"50 %","%",1,"allChronicFatigue","2023-12-05"
