"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName"
,"10414620",,,,,"red cell distribution width",,"14.5 %","%",1,"ckdIron"
,"10414620",,,,,"transferrin saturation",,"10 %","%",1,"ckdIron"
,"10414620",,,,,"full blood count",,"73 %","%",1,"ckdIron"
,"10414620",,,,,"iron deficiency anaemia",,"29 %","%",1,"ckdIron"
,"10414620",,,,,"m e",,"14 %","%",1,"ckdIron"
,"10414620",,,,,"adverse dietary habits",,"69 %","%",1,"ckdIron"
,"10492273",,,,,"the bmi normal patients",,"47 %","%",1,"ckdIron"
,"10492273",,,,,"patients  normal bmi",,"53 %","%",1,"ckdIron"
,"10492273",,,,,"patients low bmi group required prolonged ventilatory support",,"26 %","%",1,"ckdIron"
,"10492273",,,,,"patients normal bmi days low bmi group",,"4 %","%",1,"ckdIron"
,"10492273",,,,,"lvrs emphysema deficient nutritional status",,"50 %","%",1,"ckdIron"
,"10655270",,,,,"quantifiable iron",,"10 %","%",1,"ckdIron"
,"10655270",,,,,"iron excess",,"77 %","%",1,"ckdIron"
,"10655270",,,,,"fatal infections",,"7 %","%",1,"ckdIron"
,"10841219",,,,,"new york heart association class iv",,"79.1 %","%",1,"ckdIron"
,"11190004",,,,,"mid age pcs =",,"45 %","%",1,"ckdIron"
,"11190004",,,,,"na",,"48 %","%",1,"ckdIron"
,"11206959",,,,,"transfused units red blood cells",,"62 %","%",1,"ckdIron"
,"11206959",,,,,"sat",,"64 %","%",1,"ckdIron"
,"11206959",,,,,"iron overload",,"71 %","%",1,"ckdIron"
,"11206959",,,,,"mortality",,"5 %","%",1,"ckdIron"
,"11237943",,,,,"id",,"2.7 %","%",1,"ckdIron"
,"11237943",,,,,"ida",,"1.2 %","%",1,"ckdIron"
,"11237943",,,,,"depleted iron stores",,"3 %","%",1,"ckdIron"
,"11237943",,,,,"elevated iron stores",,"12.9 %","%",1,"ckdIron"
,"11237943",,,,,"chronic disease",,"1 %","%",1,"ckdIron"
,"11273140",,,,,"serum iron",,"7.4 %","%",1,"ckdIron"
,"11273140",,,,,"transferrin saturation",,"6.2 %","%",1,"ckdIron"
,"11273874",,,,,"per doses died",,"0.000196 %","%",1,"ckdIron"
,"11273874",,,,,"forty three patients",,"26 %","%",1,"ckdIron"
,"11273874",,,,,"patients required hospitalization",,"11 %","%",1,"ckdIron"
,"11273874",,,,,"patient died",,"0.6 %","%",1,"ckdIron"
,"11273874",,,,,"dyspnea",,"43 %","%",1,"ckdIron"
,"11273874",,,,,"hypotension",,"23 %","%",1,"ckdIron"
,"11273874",,,,,"nausea",,"34 %","%",1,"ckdIron"
,"11273874",,,,,"pruritus",,"25 %","%",1,"ckdIron"
,"11771869",,,,,"oxygen saturation",,"82 %","%",1,"ckdIron"
,"11944728",,,,,"short stature",,"16.7 %","%",1,"ckdIron"
,"11967034",,,,,"drug intolerance",,"0.44 %","%",1,"ckdIron"
,"11967034",,,,,"drug intolerance",,"0.71 %","%",1,"ckdIron"
,"11967034",,,,,"iron dextran control",,"2.47 %","%",1,"ckdIron"
,"11967034",,,,,"na",,"0.1 %","%",1,"ckdIron"
,"11967034",,,,,"ci",,"0.04 %","%",1,"ckdIron"
,"11967034",,,,,"iron dextran",,"0.61 %","%",1,"ckdIron"
,"12153381",,,,,"serum transferrin saturation levels",,"1 %","%",1,"ckdIron"
,"12153381",,,,,"serum transferrin saturation levels",,"6 %","%",1,"ckdIron"
,"12153381",,,,,"serum transferrin saturation level",,"55 %","%",1,"ckdIron"
,"12153381",,,,,"elevated serum transferrin saturation levels",,"1.9 %to 0.6","%",1,"ckdIron"
,"12153381",,,,,"serum transferrin saturation level",,"0.65 %","%",1,"ckdIron"
,"12153381",,,,,"diagnosed hemochromatosis utilization",,"0.01 %to 0.0","%",1,"ckdIron"
,"12153381",,,,,"diagnosed hemochromatosis utilization",,"0.03 %","%",1,"ckdIron"
,"12214547",,,,,"prevalence anemia",,"34.44 %","%",1,"ckdIron"
,"12214547",,,,,"severe",,"1.8 %","%",1,"ckdIron"
,"12214547",,,,,"moderate",,"15.2 %","%",1,"ckdIron"
