"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","objective","studyPlan","fromCode","projectName","uploadDate"
,"16282178"," Obstructive sleep apnea as a risk factor for stroke and death. ","Yaggi H. et al.","BACKGROUND: Previous studies have suggested that the obstructive sleep apnea syndrome may be an important risk factor for stroke. It has not been determined, however, whether the syndrome is independently related to the risk of stroke or death from any cause after adjustment for other risk factors, including hypertension. METHODS: In this observational cohort study, consecutive patients underwent polysomnography, and subsequent events (strokes and deaths) were verified. The diagnosis of the obstructive sleep apnea syndrome was based on an apnea-hypopnea index of 5 or higher (five or more events per hour); patients with an apnea-hypopnea index of less than 5 served as the comparison group. Proportional-hazards analysis was used to determine the independent effect of the obstructive sleep apnea syndrome on the composite outcome of stroke or death from any cause. RESULTS: Among 1022 enrolled patients, 697 (68 percent) had the obstructive sleep apnea syndrome. At baseline, the mean apnea-hypopnea index in the patients with the syndrome was 35, as compared with a mean apnea-hypopnea index of 2 in the comparison group. In an unadjusted analysis, the obstructive sleep apnea syndrome was associated with stroke or death from any cause (hazard ratio, 2.24; 95 percent confidence interval, 1.30 to 3.86; P=0.004). After adjustment for age, sex, race, smoking status, alcohol-consumption status, body-mass index, and the presence or absence of diabetes mellitus, hyperlipidemia, atrial fibrillation, and hypertension, the obstructive sleep apnea syndrome retained a statistically significant association with stroke or death (hazard ratio, 1.97; 95 percent confidence interval, 1.12 to 3.48; P=0.01). In a trend analysis, increased severity of sleep apnea at baseline was associated with an increased risk of the development of the composite end point (P=0.005). CONCLUSIONS: The obstructive sleep apnea syndrome significantly increases the risk of stroke or death from any cause, and the increase is independent of other risk factors, including hypertension.","2005","The New England journal of medicine",,"Clinical trial",1,"stridorIahMortality","2023-11-13"
,"15298493"," Hydrogen peroxide poisoning. ","Watt B. et al.","Hydrogen peroxide is an oxidising agent that is used in a number of household products, including general-purpose disinfectants, chlorine-free bleaches, fabric stain removers, contact lens disinfectants and hair dyes, and it is a component of some tooth whitening products. In industry, the principal use of hydrogen peroxide is as a bleaching agent in the manufacture of paper and pulp. Hydrogen peroxide has been employed medicinally for wound irrigation and for the sterilisation of ophthalmic and endoscopic instruments. Hydrogen peroxide causes toxicity via three main mechanisms: corrosive damage, oxygen gas formation and lipid peroxidation. Concentrated hydrogen peroxide is caustic and exposure may result in local tissue damage. Ingestion of concentrated (>35%) hydrogen peroxide can also result in the generation of substantial volumes of oxygen. Where the amount of oxygen evolved exceeds its maximum solubility in blood, venous or arterial gas embolism may occur. The mechanism of CNS damage is thought to be arterial gas embolisation with subsequent brain infarction. Rapid generation of oxygen in closed body cavities can also cause mechanical distension and there is potential for the rupture of the hollow viscus secondary to oxygen liberation. In addition, intravascular foaming following absorption can seriously impede right ventricular output and produce complete loss of cardiac output. Hydrogen peroxide can also exert a direct cytotoxic effect via lipid peroxidation. Ingestion of hydrogen peroxide may cause irritation of the gastrointestinal tract with nausea, vomiting, haematemesis and foaming at the mouth; the foam may obstruct the respiratory tract or result in pulmonary aspiration. Painful gastric distension and belching may be caused by the liberation of large volumes of oxygen in the stomach. Blistering of the mucosae and oropharyngeal burns are common following ingestion of concentrated solutions, and laryngospasm and haemorrhagic gastritis have been reported. Sinus tachycardia, lethargy, confusion, coma, convulsions, stridor, sub-epiglottic narrowing, apnoea, cyanosis and cardiorespiratory arrest may ensue within minutes of ingestion. Oxygen gas embolism may produce multiple cerebral infarctions. Although most inhalational exposures cause little more than coughing and transient dyspnoea, inhalation of highly concentrated solutions of hydrogen peroxide can cause severe irritation and inflammation of mucous membranes, with coughing and dyspnoea. Shock, coma and convulsions may ensue and pulmonary oedema may occur up to 24-72 hours post exposure. Severe toxicity has resulted from the use of hydrogen peroxide solutions to irrigate wounds within closed body cavities or under pressure as oxygen gas embolism has resulted. Inflammation, blistering and severe skin damage may follow dermal contact. Ocular exposure to 3% solutions may cause immediate stinging, irritation, lacrimation and blurred vision, but severe injury is unlikely. Exposure to more concentrated hydrogen peroxide solutions (>10%) may result in ulceration or perforation of the cornea. Gut decontamination is not indicated following ingestion, due to the rapid decomposition of hydrogen peroxide by catalase to oxygen and water. If gastric distension is painful, a gastric tube should be passed to release gas. Early aggressive airway management is critical in patients who have ingested concentrated hydrogen peroxide, as respiratory failure and arrest appear to be the proximate cause of death. Endoscopy should be considered if there is persistent vomiting, haematemesis, significant oral burns, severe abdominal pain, dysphagia or stridor. Corticosteroids in high dosage have been recommended if laryngeal and pulmonary oedema supervene, but their value is unproven. Endotracheal intubation, or rarely, tracheostomy may be required for life-threatening laryngeal oedema. Contaminated skin should be washed with copious amounts of water. Skin lesions should be treated as thermal burns; surgery may be required for deep burns. In the case of eye exposure, the affected eye(s) shod eye(s) should be irrigated immediately and thoroughly with water or 0.9% saline for at least 10-15 minutes. Instillation of a local anaesthetic may reduce discomfort and assist more thorough decontamination.","2004","Toxicological reviews",,"other",1,"stridorIahMortality","2023-11-13"
,"8973516"," Stridor in neonates. ","Mancuso R.","Stridor in neonates and infants is a symptom that indicates partial obstruction of the large diameter airways. Its presence should prompt a thorough examination and workup. Steps in evaluating stridor include a careful history and physical examination and rapid assessment of the severity of the clinical situation. Infants with respiratory distress and severe stridor should be safely and urgently transported to a tertiary care center, and colleagues from the departments of otolaryngology and anesthesia-critical care should be alerted. An essential component of the physical examination is auscultation. The phase of respiration in which the stridor is heard best provides important clues to help localize its cause. Radiographs, including plain films, dynamic fluoroscopic airway films, contrast esophagography, CT, and MR imaging are useful in specific clinical situations, based on the likely differential diagnosis. The anatomic causes for stridor in infants and neonates are vast. Successful management depends on expert consultation, proper equipment, and a staff that is experienced in the management of pediatric airway problems. The trend over the past decade has been to significantly decrease morbidity and mortality and also to decrease the number of tracheotomies necessary to stabilize pediatric airways. The best treatment outcomes result when there is good cooperation and communication among pediatricians, otolaryngologists, pulmonologists, and anesthesiologists.","1996","Pediatric clinics of North America",,"other",1,"stridorIahMortality","2023-11-13"
,"23074483"," Polysomnography in patients with obstructive sleep apnea: an evidence-based analysis. ","NA. et al.",,"2006","Ontario health technology assessment series",,"other",1,"stridorIahMortality","2023-11-13"
,"12776412"," Bugged. ","Ayling J.","This was a great save. The crew could easily have missed the presentation of anaphylaxis and let the window for treatment with epinephrine slip away. This patient was in anaphylactic shock. There were no signs that supported a traumatic injury, and that, combined with diaphoresis, urticaria and tachycardic central pulse, contributed to the suspicion of anaphylaxis. Anaphylaxis is classified as distributive shock. This type of shock is caused by profound systemic vasodilation, and the heart is unable to increase output enough to maintain blood pressure. Other causes of distributive shock include sepsis and spinal cord injury. It is rare to have both hypotension and wheezing in such cases. In an anaphylactic reaction, an allergen, such as a food protein, medication, insect venom or latex, is introduced into the body. The mast cells of the immune system have a protein on their surface called IgE antibodies (Immunoglobulin E). The mast cells are filled with histamines [table: see text] and leukotrienes, which are chemical mediators. These are released when the allergen reacts with the IgE antibodies. When these mediators are released, they cause smooth-muscle constriction in the respiratory and gastrointestinal tracts, resulting in wheezing, stridor, nausea, vomiting and diarrhea. They also cause vascular dilation, leading to edema and urticaria. Most patients will present with either profound vascular effect (shock) or wheezing; this is a rather rare presentation of a patient having both. The medication best suited to counteract the effects of these medicators is epinephrine. Epinephrine is an alpha- and beta-agonist, acting to constrict the vasculature and dilate the smooth muscles in the bronchial tree. Antihistamines can alleviate symptoms of anaphylaxis, but should only be used in addition to epinephrine, not as a substitute. In life-threatening reactions, epinephrine must be given quickly and in a form that the body can distribute. Use of the subcutaneous route with a solution mixed at 1:1,000 dilution is appropriate in most patients, but if the patient is in profound shock and not perfusing the skin (pale, cold, clammy skin), then a more diluted concentration must be given i.v. at a slow rate (1 cc every minute of the 1:1,000 dilution) until the patient recovers. If i.v. access is delayed or not available, give the 1:1,000 dilution intramuscularly, in the tongue or down the endotracheal tube. Refer to your local protocols for dosage, but the usual dose of epinephrine is 0.3-0.5 mg, or 0.01 mg/kg in a child. There are more than 40 million people in the U.S. with allergic histories that place them at risk for developing anaphylaxis. Each year over 5,000 deaths are attributed to anaphylaxis. The risk of death from anaphylaxis increases with a more rapid onset of signs and symptoms. Up to 25% of patients will experience a biphasic reaction. This means there is a recurrence of symptoms several hours after the initial reaction, and it is prudent to observe patients for a period of time following their initial treatment.","2003","Emergency medical services",,"other",1,"stridorIahMortality","2023-11-13"
,"14717876"," Cardiovascular causes of airway compression. ","Kussman B. et al.","Compression of the paediatric airway is a relatively common and often unrecognized complication of congenital cardiac and aortic arch anomalies. Airway obstruction may be the result of an anomalous relationship between the tracheobronchial tree and vascular structures (producing a vascular ring) or the result of extrinsic compression caused by dilated pulmonary arteries, left atrial enlargement, massive cardiomegaly, or intraluminal bronchial obstruction. A high index of suspicion of mechanical airway compression should be maintained in infants and children with recurrent respiratory difficulties, stridor, wheezing, dysphagia, or apnoea unexplained by other causes. Prompt diagnosis is required to avoid death and minimize airway damage. In addition to plain chest radiography and echocardiography, diagnostic investigations may consist of barium oesophagography, magnetic resonance imaging (MRI), computed tomography, cardiac catheterization and bronchoscopy. The most important recent advance is MRI, which can produce high quality three-dimensional reconstruction of all anatomic elements allowing for precise anatomic delineation and improved surgical planning. Anaesthetic technique will depend on the type of vascular ring and the presence of any congenital heart disease or intrinsic lesions of the tracheobronchial tree. Vascular rings may be repaired through a conventional posterolateral thoracotomy, or utilizing video-assisted thoracoscopic surgery (VATS) or robotic endoscopic surgery. Persistent airway obstruction following surgical repair may be due to residual compression, secondary airway wall instability (malacia), or intrinsic lesions of the airway. Simultaneous repair of cardiac defects and vascular tracheobronchial compression carries a higher risk of morbidity and mortality.","2004","Paediatric anaesthesia",,"Clinical trial",1,"stridorIahMortality","2023-11-13"
,"14532320"," Obstructive sleep apnea: implications for cardiac and vascular disease. ","Shamsuzzaman A. et al.","CONTEXT: Obstructive sleep apnea (OSA) has been increasingly implicated in the initiation and progression of cardiovascular diseases. OBJECTIVE: To systematically review the interactions of OSA with cardiovascular pathophysiology and diseases. DATA SOURCES AND STUDY SELECTION: The MEDLINE database from January 1966 to March 2003 was searched using the Medical Subject Headings sleep, sleep apnea, obesity, hypertension, heart failure, cardiac arrhythmia, coronary artery disease, stroke, sympathetic activity, endothelium, inflammation, and continuous positive airway pressure (CPAP) to identify peer-reviewed studies of OSA. Priority was given to large prospective cohort studies and to randomized controlled trials. DATA EXTRACTION: We identified 154 original investigations and reviews of sleep-related breathing disorders. Data from these studies were examined for relevance and extracted by one of the authors. DATA SYNTHESIS: Approximately 1 in 5 adults has at least mild OSA (apnea-hypopnea index [ie, the number of apneic and hypopneic events per hour], 5-15), and 1 in 15 adults has at least moderate OSA (apnea-hypopnea index, 15-30). Repetitive apneic events disrupt the normal physiologic interactions between sleep and the cardiovascular system. Such sleep fragmentation, as well as abnormalities evident in patients with OSA (eg, increased sympathetic activation, vascular endothelial dysfunction, increased oxidative stress, inflammation, increased platelet aggregability, metabolic dysregulation), may be implicated in the initiation and progression of cardiac and vascular disease. Persuasive data implicate OSA in the development of hypertension, and OSA also may contribute to cardiac ischemia, congestive heart failure, cardiac arrhythmias, and perhaps also to cerebrovascular disease and stroke. CONCLUSIONS: Obstructive sleep apnea is common, readily diagnosed, and usually treatable. It frequently coexists undiagnosed in patients with cardiovascular disease, activates disease mechanisms known to elicit cardiac and vascular damage, and may be implicated in progression of cardiovascular disease and resistance to conventional therapeutic strategies. In the absence of definitive evidence from large-scale trials and a better understanding of potential cost-effectiveness, the likely benefits of diagnosis and treatment of OSA are presently best appraised on an individualized patient basis.","2003","JAMA"," OBJECTIVE : To systematically review the interactions of OSA with cardiovascular pathophysiology and diseases ","Clinical trial",1,"stridorIahMortality","2023-11-13"
,"18496162"," Recurrent respiratory papillomatosis: a review. ","Derkay C. and Wiatrak B.","Recurrent respiratory papillomatosis (RRP), which is caused by human papillomavirus types 6 and 11, is the most common benign neoplasm of the larynx among children and the second most frequent cause of childhood hoarseness. After changes in voice, stridor is the second most common symptom, first inspiratory and then biphasic. Less common presenting symptoms include chronic cough, recurrent pneumonia, failure to thrive, dyspnea, dysphagia, or acute respiratory distress, especially in infants with an upper respiratory tract infection. Differential diagnoses include asthma, croup, allergies, vocal nodules, or bronchitis. Reports estimate the incidence of RRP in the United States at 4.3 per 100,000 children and 1.8 per 100,000 adults. Infection in children has been associated with vertical transmission during vaginal delivery from an infected mother. Younger age at diagnosis is associated with more aggressive disease and the need for more frequent surgical procedures to decrease the airway burden. When surgical therapy is needed more frequently than four times in 12 months or there is evidence of RRP outside the larynx, adjuvant medical therapy should be considered. Adjuvant therapies that have been investigated include dietary supplements, control of extra-esophageal reflux disease, potent antiviral and chemotherapeutic agents, and photodynamic therapies; although several have shown promise, none to date has ""cured"" RRP, and some may have serious side effects. Because RRP, although histologically benign, is so difficult to control and can cause severe morbidity and death, better therapies are needed. The potential for a quadrivalent human papilloma vaccine is being explored to reduce the incidence of this disease.","2008","The Laryngoscope",,"Review",1,"stridorIahMortality","2023-11-13"
,"16888274"," Severe sleep apnea and risk of ischemic stroke in the elderly. ","Munoz R. et al.","BACKGROUND AND PURPOSE: Convincing evidence of a causal relationship between sleep apnea and stroke has been shown recently in several prospective, well-designed studies. However, these studies have focused on middle-aged people, excluding the elderly population from analysis. To investigate whether sleep apnea represents an independent risk factor in this population, we performed a prospective longitudinal study in a population-based cohort of subjects from 70 to 100 years old. METHODS: Within the context of the Vitoria Sleep Project, a population-based study designed to investigate the prevalence of sleep apnea in the population of Vitoria, Spain, we performed a 6-year longitudinal study in a subsample cohort of 394 noninstitutionalized, initially event-free subjects (70 to 100 years old, median 77.28 years, 57.1% males). Demographic and polysomnographic data and known confounding factors (age, sex, smoking and alcohol consumption status, body mass index, systolic and diastolic blood pressure, total serum cholesterol levels, and the presence or absence of diabetes mellitus, atrial fibrillation, and hypertension) were assessed at baseline. Hazard ratio for developing an ischemic stroke in relation to the apnea-hypopnea index at baseline was calculated. RESULTS: Over the 6-year follow-up period, 20 ischemic strokes were registered. After adjustment for confounding factors, subjects with severe obstructive sleep apnea hypopnea (defined as apnea-hypopnea index >or=30) at baseline had an increased risk of developing a stroke (hazard ratio=2.52, 95% CI=1.04 to 6.01, P=0.04). CONCLUSIONS: This study shows that severe obstructive sleep apnea hypopnea (defined as apnea-hypopnea index >or=30) increases the risk of ischemic stroke in the elderly population, independent of known confounding factors.","2006","Stroke","BACKGROUND AND PURPOSE : Convincing evidence of a causal relationship between sleep apnea and stroke has been shown recently in several prospective , well-designed studies ","Clinical trial",1,"stridorIahMortality","2023-11-13"
,"15289750"," Diagnosis of sleep apnea. ","Mattei A. et al.","Obstructive sleep apnea syndrome (OSAS) is characterized by repeated oropharyngeal occlusions occurring during sleep. The prevalence of moderate OSAS (with an apnea-hypopnea index = or >15/h) is 9% and 4% in male and female, respectively. It is associated with an abnormally high frequency of cardiovascular disease (hypertension, stroke, coronary heart disease) and excessive daytime sleepiness responsible for an increased frequency of work and road accidents. Because the treatment of OSAS provides many benefits to patients and society, it is very important to obtain an early diagnosis. The diagnosis of OSAS is based on the combination of characteristic clinical features plus compatible findings on instrumental tests in which multiple physiologic signals are monitored simultaneously during a night of sleep. A full night polysomnography, conducted by a technologist in a sleep laboratory, is the gold standard for the diagnosis of suspected OSAS, but the capacity for performing polysomnography is limited. On the basis of the high incidence and prevalence of OSAS, of the limited number of sleep laboratories, long waiting times and high costs recommendations have been formulated for the use of unattended portable systems in the assessment of OSAS. The main clinical aspects of of OSAS, the diagnostic approach with full night polysomnography and unattended portable systems, the differential diagnosis and some examples of cardiorespiratory portable monitoring are presented in this paper.","2004","Minerva medica",,"other",1,"stridorIahMortality","2023-11-13"
