"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName"
,"36008429",,,"",,,,,,,,,,,,"multiple system atrophy, rare neurodegenerative disease",,1,"MSA"
,"31779811",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36222769",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"25587949",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"36927875",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28984582",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"24095129",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"33673922",,,"",,,,,,,,,,,,"multiple system atrophy, constipation, erectile dysfunction",,1,"MSA"
,"24963676",,,"",,,,,,,,,,,,"multiple system atrophy, sleep apnea",,1,"MSA"
,"36008424",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"10331752",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9725081",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"18617848",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37426656",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"14747001",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11346023",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"11375450",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"12773886",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"26365777",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"27098666",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29058121",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"20739256",,,"united kingdom",,,,,,,,,,,,"multiple system atrophy, , disability",,1,"MSA"
,"28770651",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28860330",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"28496050",,,"japan",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"37085728",,,"",,,,,,,,,,,,"multiple system atrophy, disability",,1,"MSA"
,"28378233",,,"",,,,,,,,,,,,"multiple system atrophy, dementia",,1,"MSA"
,"36765380",,,"",,,,,,,,,,,,"multiple system atrophy, genes",,1,"MSA"
,"31570638",,,"mali",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31307618",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"31097298",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"9833397",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"32515315",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
,"29269241",,,"",,,,,,,,,,,,"multiple system atrophy, professionals",,1,"MSA"
,"35581488",,,"",,,,,,,,,,,,"multiple system atrophy, ",,1,"MSA"
