"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"30970355",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32041774",,,"united states",,,,,,,,,,,,"iron deficiency, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33123967",,,"",,,,,,,,,,,,"chronic kidney disease, cardiovascular disease, diabetes, genes",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29224999",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34758368",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33842503",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35838489",,,"united kingdom",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30150549",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29128260",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"28528999",,,"",,,,,,,,,,,,"iron deficiency, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"24392162",,,"united states",,,,,18,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32753256",,,"",,,,,,,,,,,,"iron deficiency, heart failure, chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17108343",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"36588451",,"120000000","china, mali",,,,,,,,,,,,"chronic kidney disease, iron deficiency","decreased synthesis of erythropoietin (EPO),",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34686069",,,"china, japan, south korea, chile",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35751858",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33051677",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34162484",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30798815",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34805628",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34514189",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31614529",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"28403561",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease, , constipation, anaphylaxis, cardiovascular disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31340090",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32701598",,,"",,,,,,,,,,,,"iron deficiency, heart failure, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31939536",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31596520",,,"mali",,,,,,,,,,,,"cancer, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27475656",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31477258",,,"united states",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30084153",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30675430",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35365559",,,"united states",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27236129",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"36831276",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"28306566",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"37415621",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease, rich",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27640913",,,"",,,,,,,,,,,,"cancer, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30022586",,"50","japan",,,,,,,,,,,,"chronic kidney disease, ","cardiovascular",1,"anemiaHbIronCkdLisa","2023-11-08"
,"31567284",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"26381503",,,"",,,,,,,,,,,,,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31477253",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"37445252",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35465313",,,"",,,,,,,,,,,,"cancer, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35703246",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"25025373",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"22540906",,,"",,,,,,,,,,,,"chronic kidney disease, cardiovascular disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"22642238",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18077779",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33777491",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"37374094",,,"",,,,,,,,,"5",,,"heart failure, chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"25463623",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"23911105",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30067604",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"22994536",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32762831",,,"",,,,,,,,,,,,"chronic kidney disease, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20126670",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20956992",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"36156567",,"366","",,,,"year",54.4,14.9,,,"49.5",,,"iron deficiency, chronic kidney disease","hypertension",1,"anemiaHbIronCkdLisa","2023-11-08"
,"35466719",,,"",,,,,,,,,,,,"diabetes, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30073615",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"24033253",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19221807",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30907175",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35145639",,"22720","",,,,"year",18,,,,"57.4",,,"chronic kidney disease, type 2 diabetes, heart failure","dyslipidemia",1,"anemiaHbIronCkdLisa","2023-11-08"
,"19762514",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease, thrombocytosis, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"37311154",,,"peru",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33913643",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35447144",,,"",,,,,,,,,,,,"chronic kidney disease, diabetes",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"22952731",,"10361","",,,,,1,,,,,,,"chronic kidney disease, , stroke","hemoglobin (Hb) levels and mortality in patients with chronic kidney disease",1,"anemiaHbIronCkdLisa","2023-11-08"
,"30041204",,,"",,,,,,,,,,,,"chronic kidney disease, , cardiovascular disease, atherosclerosis",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"24702529",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"26364946",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33628028",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34405206",,,"japan",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20630409",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17943141",,,"",,,,,,,,,,,,"chronic kidney disease, cardiovascular disease, cancer, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18941350",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19434048",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"11874582",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19211716",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17215586",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33062481",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32728779",,"36","",,,,,8,,,,,,,"chronic kidney disease, shortness of breath",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27505883",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18629385",,,"",,,,,,,,,,,,"chronic kidney disease, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20671741",,,"united states",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"32703669",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"21811070",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27137103",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"23343068",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30473062",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19708851",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17962140",,,"",,,,,,,,,,,,"chronic kidney disease, diabetes",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16949466",,,"",,,,,,,,,,,,"chronic kidney disease, diabetes",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29804918",,"580","",,,,,,,,,,,,"iron deficiency, chronic kidney disease","Iron deficiency",1,"anemiaHbIronCkdLisa","2023-11-08"
,"34802554",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency, nephrotic syndrome",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30991408",,,"",,,,,,,,,,,,"chronic kidney disease, , cardiovascular disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16949467",,,"mali",,,,,,,,,,,,"chronic kidney disease, cardiovascular disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31031367",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18542121",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20439567",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18401704",,,"",,,,,,,,,,,,"chronic kidney disease, , heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12596758",,,"",,,,,,,,,,,,"chronic kidney disease, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"35361722",,,"",,,,,,,,,,,,", ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16893402",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27726834",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29890958",,"109","",,,,,,,,,,,,"chronic kidney disease, diabetes, heart failure, cardiovascular disease, stroke","diabetes",1,"anemiaHbIronCkdLisa","2023-11-08"
,"20881381",,,"",,,,,,,,,,,,"chronic kidney disease, iron deficiency",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33777493",,,"",,,,,,,,,,,,"chronic kidney disease, type 2 diabetes, cancer",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17098633",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"21082943",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30991414",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"27551882",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"2648518",,,"",,,,,,,,,,,,,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29962667",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"26823182",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"24023516",,,"united states",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"25354060",,,"",,,,,,,,,,,,"chronic kidney disease, cancer",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"31375241",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30894885",,"125","",,,,,,,,,,,,"chronic kidney disease, iron deficiency","hydration status",1,"anemiaHbIronCkdLisa","2023-11-08"
,"32561312",,"1180","",,,,"year",8.6,4.2,,,,,,"chronic kidney disease, diabetes","diabetes",1,"anemiaHbIronCkdLisa","2023-11-08"
,"24175256",,,"",,,,,,,,,,,,"chronic kidney disease, sepsis",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16298261",,,"mali",,,,,,,,,,,,"heart failure, chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"34293738",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"30532572",,,"",,,,,,,,,,,,"chronic kidney disease, diabetes",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"28915563",,,"china",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29250136",,,"",,,,,,,,,,,,"chronic kidney disease, heart failure",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"33811979",,,"mali",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"28417130",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20232350",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"36136237",,,"",,,,,,,,,,,,"chronic kidney disease, ",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"36435741",,,"france",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
,"29357391",,,"lebanon",,,,"years",71,,,,,,,"iron deficiency, chronic kidney disease",,1,"anemiaHbIronCkdLisa","2023-11-08"
