"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName"
,"35788564",,,"",,,,,,,,,,,,"cardiovascular disease, atherosclerosis, heart failure, sepsis",,1,"ckdIron"
,"22632970",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"32575749",,,"mali",,,,,,,,,,,,"cancer, ",,1,"ckdIron"
,"33932115",,,"",,,,,,,,,,,,"iron deficiency, heart failure",,1,"ckdIron"
,"36347265",,"1137","united kingdom",,,,"year",18,,,,," elderly. or 18 years or older","mostly men","heart failure, iron deficiency","heart failure and cardiovascular death",1,"ckdIron"
,"33197395",,,"singapore",,,,"year",18,,,,," adult. or 18 years or older","information not available","iron deficiency, heart failure","iron deficiency",1,"ckdIron"
,"30553903",,,"",,,,,,,,,"50"," mixed.","mainly women","iron deficiency, heart failure","Iron deficiency",1,"ckdIron"
,"36282723",,,"",,,,,,,,,"40"," elderly.","mostly women","iron deficiency, cardiovascular disease, heart failure, hypertension , atrial fibrillation, atherosclerosis",,1,"ckdIron"
,"19920054",,,"",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"32739111",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"31229492",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"26725301",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"31109456",,,"",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"31296936",,"366","india",,,,,,,,,"89"," adult.","mostly women.","iron deficiency, ",,1,"ckdIron"
,"25176939",,"304","",,,,,,,,,," mixed. or 152","mostly women","heart failure, iron deficiency","iron deficiency",1,"ckdIron"
,"36730380",,,"mali",,,,,,,,,,,,"cardiovascular disease, iron deficiency, heart failure",,1,"ckdIron"
,"33526170",,,"",,,,,,,,,,,,"heart failure, dilated cardiomyopathy",,1,"ckdIron"
,"34917655",,,"",,,,,,,,,,,,"cardiovascular disease, iron deficiency, heart failure, pulmonary arterial hypertension, search",,1,"ckdIron"
,"32215351",,,"",,,,,,,,,,,,"heart failure, clinical trials, iron deficiency",,1,"ckdIron"
,"33143929",,"14826","",,,,"year",9.3,,,,," adult. or 9.3 years","mostly women","disorders of iron metabolism",,1,"ckdIron"
,"35086656",,"4422","",,,,"year",75,,,82,"40","75 years (range: 68-82 years). or 75 years [range: 68-82 years","60% men.
60% men","iron deficiency, heart failure",,1,"ckdIron"
,"29874997",,,"",,,,,,,,,,,,"cardiovascular disease, heart failure",,1,"ckdIron"
,"34461261",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"35956390",,,"",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"34244326",,,"brazil, france, united states, germany",,,,,,,,,,,,,,1,"ckdIron"
,"34080008",,,"",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"31883356",,,"switzerland",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"31585094",,,"",,,,,,,,,,,,"pelizaeus merzbacher disease, leukodystrophy",,1,"ckdIron"
,"34162484",,,"",,,,,,,,,,,,"iron deficiency, chronic kidney disease",,1,"ckdIron"
,"33611397",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"35947351",,"4","",,,,,,,,,," mixed. or 1529","mostly men","iron deficiency anemia",,1,"ckdIron"
,"28436136",,,"",,,,,,,,,,,,"heart failure, ",,1,"ckdIron"
,"37382961",,,"",,,,,,,,,,,,"heart failure, ",,1,"ckdIron"
,"31706564",,,"",,,,,,,,,,,,"heart failure, iron deficiency",,1,"ckdIron"
,"31106422",,,"mali",,,,,,,,,,,,,,1,"ckdIron"
,"34188903",,,"",,,,,,,,,,,,,,1,"ckdIron"
,"34003690",,"3014","",,,,"year",18,,,,," adult or ≥18 years","mostly women","heart failure, ",,1,"ckdIron"
