"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq"
NA,"35915417",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34003165",NA,NA,"norwegian, english",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34268642",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28939471",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"27834408",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31273078",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"32296942",NA,"2","iran, japan",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29789115",NA,"200","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31726975",NA,"2019","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31997136",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"28527058",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"31753152",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30926115",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30926118",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"29493566",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30346680",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34003151",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30157045",NA,NA,"united states",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"33896523",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26717946",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23939643",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"32727205",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"30874912",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"34048399",NA,"2021","",NA,NA,NA,NA,NA,NA,NA,NA,NA
