"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName","uploadDate"
,"12089390_1","12089390","anemia renal insufficiency",,"NULL","NULL",,,"anemia renal insufficiency",1.43,1.17,1.75,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12089390_3","12089390","hematocrit serum creatinine",,"NULL","NULL",,,"mortality",1.17,0.89,1.54,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12089390_4","12089390","anemia renal insufficiency",,"NULL","NULL",,,"death",1.6,1.19,2.16,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12846757_1","12846757","anemia",,"NULL","NULL",,,"stroke",1.81,1.26,2.02,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12846757_2","12846757","anemia",,"NULL","NULL",,,"stroke",5.43,2.04,14.41,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12846757_3","12846757","presence anemia",,"NULL","NULL",,,"stroke",1.41,0.93,2.14,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12969159_1","12969159","renal insufficiency anemia",,"NULL","NULL",,,"death",4,2.34,6.91,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12969159_2","12969159","hematocrit",,"NULL","NULL",,,"higher lower expected one year death rate",1.35,0.78,2.32,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12969159_3","12969159",,,"NULL","NULL",,,,1.94,1.12,3.34,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"12969159_4","12969159","renal insufficiency anemia",,"NULL","NULL",,,"death",3.16,1.35,7.4,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"15857925_1","15857925","left ventricular hypertrophy",,"NULL","NULL",,,"myocardial infarction , stroke, death",1.67,1.34,2.07,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"15857925_2","15857925","anemia",,"NULL","NULL",,,"fatal coronary heart disease",1.51,1.27,1.81,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"15857925_3","15857925","anemia",,"NULL","NULL",,,"cardiovascular disease",4.15,2.62,6.56,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_1","16754803","hemoglobin level 13.0 13.9 g/dl",,"NULL","NULL","g/dl",,"death",1.16,1.11,1.21,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_2","16754803","hemoglobin level 12.0 12.9 g/dl",,"NULL","NULL","g/dl",,"death",1.5,1.44,1.57,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_3","16754803","hemoglobin",,"NULL","NULL",,,"death",1.89,1.8,1.98,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_4","16754803","hemoglobin level","lower than","NULL","NULL","g/dl",,"death",2.31,2.18,2.45,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_5","16754803","hemoglobin level less 9 g / dl",,"NULL","NULL","g / dl",,"death",3.48,3.25,3.73,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_6","16754803","hemoglobin level","lower than","NULL","NULL","g/dl",,"death",1.42,1.24,1.63,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_7","16754803","reduced estimated glomerular filtration rate",,"NULL","NULL",,,"mortality",1.39,1.34,1.44,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_8","16754803",,,"NULL","NULL",,,,2.28,2.19,2.39,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_9","16754803",,,"NULL","NULL",,,,3.26,3.05,3.49,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"16754803_10","16754803","hemoglobin level",,"NULL","NULL",,,"hospitalization",2.44,2.28,2.61,"hazard ratio (HR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17486947_1","17486947","treatment  anemia",,"NULL","NULL",,,"emergency room visits",0.18,0.05,0.67,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17486947_2","17486947","enrollment  dedicated nurse-managed anemia clinic",,"NULL","NULL",,,"hospitalizations",0.2,0.06,0.67,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646_1","17727646","chronic kidney disease",,"NULL","NULL",,,"anemia",1.47,1.33,1.63,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646_2","17727646","age  range 65","between","NULL","NULL","years",,"anemia",2.07,1.53,2.8,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646_3","17727646","diagnostic factor",,"NULL","NULL",,,"disease medical condition",1.44,1.21,1.7,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646_4","17727646","age","no numeric treshold","NULL","NULL",,,"anemia",1.35,1.15,1.57,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17825703_1","17825703","medicare",,"NULL","NULL",,,"receiving anemia medication prescription",0.49,0.32,0.74,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"17825703_2","17825703",,,"NULL","NULL",,,,4.25,1.66,10.88,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408_1","18359408","kdoqi-defined anemia",,"NULL","NULL",,,"kdoqi defined anemia",1.3,1.23,1.37,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408_2","18359408","anemia",,"NULL","NULL",,,"anemia",0.68,0.64,0.72,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408_3","18359408","african american participants  higher odds anemia",,"NULL","NULL",,,"higher odds anemia",2.98,2.8,3.16,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408_4","18359408","kdoqi-defined anemia",,"NULL","NULL",,,"chronic kidney disease",3,2.81,3.2,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18397699_1","18397699","consistent anemia treatment predialysis patients chronic kidney disease",,"NULL","NULL",,,"anemia treatment predialysis patients chronic kidney diseasein",0.7,0.61,0.82,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18397699_2","18397699","acute myocardial infarction",,"NULL","NULL",,,"acute myocardial infarction",0.65,0.44,0.95,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18397699_3","18397699","diagnostic factor",,"NULL","NULL",,,"inpatient mortality",0.52,0.4,0.68,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"18397699_4","18397699","esa",,"NULL","NULL",,,"acute myocardial infarction inpatient mortality",0.61,0.48,0.76,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19218791_1","19218791","lower 25(oh)d level",,"NULL","NULL",,,"disease",1.17,1.03,1.32,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"19218791_2","19218791","higher log crp levels",,"NULL","NULL",,,"lower hemoglobin levels",3.63,2.4,5.48,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20798262_1","20798262","consistently low levels hb",,"NULL","NULL",,,"death",2.34,1.24,4.41,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20798262_2","20798262","fluctuating  target range","lower than","NULL","NULL","g/dl",,"death",1.74,1,3.04,"relative risk (RR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20866165_1","20866165","neither iv iron esa",,"NULL","NULL",,,"death",0.62,0.42,0.9,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
,"20866165_2","20866165",,,"NULL","NULL",,,,0.66,0.5,0.87,"odd ratio (OR)",,,1,"anemiaHbIronCkdLisa","2023-11-08"
