"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName","uploadDate"
,"19699072_1","19699072","obstructive sleep apnea",,"NULL","NULL",,,"coronary artery calcification",2.21,1.01,4.86,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"19777281_1","19777281","obstructive sleep apnea",,"NULL","NULL",,,"cardiovascular death",2.57,1.39,4.72,"hazard ratio (HR)",,,1,"stridorIah2010","2023-11-11"
,"19777281_2","19777281","body mass index hypertension",,"NULL","NULL",,,"death cardiovascular causes",2.06,1.1,3.86,"hazard ratio (HR)",,,1,"stridorIah2010","2023-11-11"
,"20237758_1","20237758","post-intubation laryngeal injuries",,"NULL","NULL",,,"post intubation laryngeal injuries",1.11,1.02,1.21,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20237758_2","20237758","lack myorelaxant use",,"NULL","NULL",,,"post intubation laryngeal injuries extubation failure",0.13,0.01,0.99,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20237758_3","20237758","height/endotracheal tube size ratio",,"NULL","NULL",,,"emergency intubation",1.05,1.01,1.09,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20237758_4","20237758","emergency intubation",,"NULL","NULL",,,"post intubation laryngeal injuries extubation failure",2.7,1.2,6.4,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20237758_5","20237758","height / endotracheal tube size ratio",,"NULL","NULL",,,"reintubation",0.97,0.95,0.99,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20519074_1","20519074","nc","no numeric treshold","NULL","NULL",,,"acute exacerbation",6.781,1.153,17.502,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20519074_2","20519074","bmi",,"NULL","NULL",,,"obstructive sleep apnea hypopnea syndrome",7.562,1.012,23.457,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20519074_3","20519074","msao",,"NULL","NULL",,,"elevated mpap",6.991,1.353,20.155,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20519074_4","20519074","ahi",,"NULL","NULL",,,"obstructive sleep apnea hypopnea syndrome",7.258,1.526,18.022,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
,"20519074_5","20519074","msao(2)","no numeric treshold","NULL","NULL",,,"acute exacerbation",6.488,1.562,26.878,"odd ratio (OR)",,,1,"stridorIah2010","2023-11-11"
