"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName","uploadDate"
,"12224371",,"anemia is common in patients with CKD",,,"hb levels g dl",,"26.3 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"12224371",,"46.7 %",,,"hb levels g dl",,"46.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"12224371",,"63.9 %",,,"hb levels g dl",,"63.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"12224371",,"31.3 %",,,"anemia",,"31.3 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"not on dialysis",,,"patients chronic kidney disease",,"47 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"baseline",,,"patients required transfusion",,"11.1 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"11.1 %",,,"patients required transfusion",,"3.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"27.9 mm",,,"mean lasa scores energy activity quality life",,"70.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"LASA",,,"mm",,"57.0 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15224803",,"22.6 mm",,,"mean lasa scores",,"47.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"females",,,"male",,"46.6 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"Primary etiologies of chronic kidney disease",,,"diabetes",,"49.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"diabetes",,,"hypertension",,"33.0 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"Glomerular filtration rate",,,"evaluable patients",,"97.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"SD",,,"hemoglobin < = g dl",,"47.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"75.5 %",,,"hemoglobin",,"8.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"glomerular filtration rate",,,"patients hemoglobin",,"26.7 %to 75.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"glomerular filtration rate",,,"patients hemoglobin",,"75.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"Prevalence",,,"hemoglobin",,"5.2 %to 27.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15383200",,"glomerular filtration rate",,,"hemoglobin",,"27.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15773434",,"GFR < 30 ml / min",,,"a decompensated metabolic acidosis",,"29.8 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15909591",,"95 % confidence interval ( CI ) = 71 % to 87 %",,,"darbepoetin alfa",,"79 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"15909591",,"95 % Cl = 78 % - 93 %",,,"patients",,"85 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"baseline characteristics",,,"diabetes",,"45.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"baseline characteristics",,,"hypertension",,"29.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"Q2W and Q4W groups",,,"baseline transferrin saturation",,"25.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"89.5 %",,,"patients",,"93.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"93.5 % , 89.5 % , 77.2 %",,,"patients",,"77.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"77.2 %",,,"patients",,"76.0 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"2.5 % of patients",,,"incidence thrombotic adverse events",,"2.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"Kidney Disease Outcomes Quality Initiative ( K / DOQI ) guidelines",,,"mortality",,"1.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"Kidney Disease Outcomes Quality Initiative ( K / DOQI ) guidelines",,,"patients dosed every two weeks",,"90 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"16114787",,"Kidney Disease Outcomes Quality Initiative ( K / DOQI ) guidelines",,,"patients dosed every three four weeks",,"75 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17002925",,"hemoglobin",,,"diabetes",,"60 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17002925",,"PAERI",,,"diabetes",,"52.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17002925",,"PAERI",,,"hb < = g dl",,"10.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"20 %",,,"iron deficiency ferritin < ng ml transferrin saturation",,"20 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"hemodialysis",,,"anemia",,"68 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"Iron deficiency",,,"erythropoietin",,"29 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"Iron deficiency",,,"erythropoietin",,"49 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"Iron deficiency",,,"patients without erythropoietin",,"26 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17106764",,"erythropoietin",,,"patients",,"51 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"MOH",,,"centers ministry health",,"73.6 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"12.2 %",,,"centers governmental non moh sector",,"12.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"private hospitals",,,"chronic dialysis patients",,"14.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"glomerular filtration rate",,,"dialysis centers",,"89.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"glomerular filtration rate",,,"dialysis centers",,"87.1 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"glomerular filtration rate",,,"dialysis patients",,"89.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"GFR",,,"glomerular filtration rate",,"75.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"glomerular filtration rate",,,"stage ckd",,"15 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"glomerular filtration rate",,,"stage ckd",,"19 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"29 %",,,"stages",,"29 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"different stages of CKD",,,"anemia",,"11 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"17 %",,,"anemia",,"17 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"38 %",,,"anemia",,"38 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"59 %",,,"anemia",,"59 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"78 %",,,"anemia",,"78 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"r-HuEPO irrespective of the CKD stage",,,"respondents",,"48 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"CKD stage",,,"believed patient hb < g l",,"50.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"CKD patients",,,"correction anemia",,"99.3 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17237894",,"short acting drug",,,"r huepo",,"66.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17289537",,"specified target range",,,"subjects aged < years",,"80 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17390739",,"ESA therapy",,,"anemia",,"38.8 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17461709",,"patients",,,"attained hemoglobin level",,"78 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17461709",,"reengineered clinic process",,,"comparable patients reached hemoglobin target",,"41 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17461709",,"erythropoietic-naïve",,,"darbepoetin alfa every week",,"82 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17461709",,"erythropoietic-naïve",,,"every weeks",,"14 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17461709",,"4 % every 4 weeks",,,"hemoglobin target",,"4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17542340",,"C.15",,,"dose",,"90 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"epoetin alfa dosing regimen",,,"hb maintenance",,"96.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"epoetin alfa dosing regimen",,,"hb maintenance",,"87.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"80.0 %",,,"qw",,"75.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"epoetin alfa dosing regimen",,,"hb maintenance",,"72.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"QW and Q2W groups",,,"patients without diabetes",,"90 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17599856",,"Q3W and Q4W groups",,,"mean hb levels > = g dl",,"70 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"64 % , 19 % , and 17 %",,,"patients treated darbepoetin alpha",,"64 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"19 %",,,"patients treated darbepoetin alpha",,"19 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"64 %",,,"patients treated darbepoetin alpha",,"17 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"darbepoetin alpha",,,"hb > g dl",,"79 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"hyporesponsive",,,"hyporesponse",,"14 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"hyporesponse",,,"hyporesponsive",,"9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17702511",,"iron deficiency",,,"hyporesponse events",,"39 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17703832",,"blinded phase",,,"ed dose equal  iv ed ea",,"77.5 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17703832",,"AEs",,,"adverse events",,"94.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17703832",,"adverse events",,,"ea group",,"92.1 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"Caucasian",,,"female",,"70 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"70 % female",,,"caucasian",,"85 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"CKD",,,"anemic",,"59.6 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"55.7 %",,,"ckd",,"43.1 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"64.9 % with vs 55.7 % without CKD",,,"ckd likely anemia",,"64.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"17727646",,"anemia",,,"without ckd",,"55.7 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"KEEP",,,"participants",,"68.3 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"WHO",,,"nhanes",,"52 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"KEEP",,,"african americans",,"33.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"African Americans",,,"nhanes cohorts",,"11.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"KEEP",,,"hispanics",,"12.4 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"Hispanics",,,"nhanes",,"13.2 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"KDOQI",,,"anemia",,"13.9 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
,"18359408",,"KDOQI",,,"anemia",,"6.3 %","%",1,"anemiaHbIronCkdLisa","2023-11-08"
