"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit"
NA,"10021962",NA,NA,NA,NA,"pdph",NA,"9.3 %","%"
NA,"10021962",NA,NA,NA,NA,"women",NA,"20.4 %","%"
NA,"10021962",NA,NA,NA,NA,"pdph",NA,"5.5 %","%"
NA,"10068175",NA,NA,NA,NA,"effectiveness productivity",NA,"50 %","%"
NA,"10093820",NA,NA,NA,NA,"frequency cts",NA,"12.5 %","%"
NA,"10234463",NA,NA,NA,NA,"psychosocial stress",NA,"84.8 %","%"
NA,"10234463",NA,NA,NA,NA,"anxiety",NA,"52.5 %","%"
NA,"10234463",NA,NA,NA,NA,"depression",NA,"36.4 %","%"
NA,"10234463",NA,NA,NA,NA,"headache delusion idea",NA,"21.7 %","%"
NA,"10234463",NA,NA,NA,NA,"psychiatric comorbidity",NA,"29.5 %","%"
NA,"10234463",NA,NA,NA,NA,"generalized anxiety disorder",NA,"83.3 %","%"
NA,"10234463",NA,NA,NA,NA,"dysthymia",NA,"45.6 %","%"
NA,"10234869",NA,NA,NA,NA,"helped treatments cured headache problems",NA,"81 %","%"
NA,"10447907",NA,NA,NA,NA,"response rate",NA,"97 %","%"
NA,"10447907",NA,NA,NA,NA,"pdph",NA,"15 %","%"
NA,"10447907",NA,NA,NA,NA,"pdph",NA,"9 %","%"
NA,"10448549",NA,NA,NA,NA,"tension type headache",NA,"78 %","%"
NA,"10448549",NA,NA,NA,NA,"chronically affected",NA,"3 %","%"
NA,"10448549",NA,NA,NA,NA,"patients",NA,"69 %","%"
NA,"10448549",NA,NA,NA,NA,"controls",NA,"17 %","%"
NA,"10490155",NA,NA,NA,NA,"headache",NA,"10 %","%"
NA,"10490155",NA,NA,NA,NA,"ebp",NA,"0 %","%"
NA,"10525978",NA,NA,NA,NA,"drug induced headache",NA,"8 %","%"
NA,"10525978",NA,NA,NA,NA,"female",NA,"81 %","%"
NA,"10525978",NA,NA,NA,NA,"migraine",NA,"35 %","%"
NA,"10525978",NA,NA,NA,NA,"acetaminophen",NA,"47.9 %","%"
NA,"10525978",NA,NA,NA,NA,"ergotamine tartrate",NA,"45 %","%"
NA,"10525978",NA,NA,NA,NA,"analgesics",NA,"56 %","%"
NA,"10525978",NA,NA,NA,NA,"drug induced headache",NA,"7 %","%"
NA,"10692618",NA,NA,NA,NA,"migraine",NA,"16.0 %","%"
NA,"10692618",NA,NA,NA,NA,"headache semiology tension type headache",NA,"45.8 %","%"
NA,"10692618",NA,NA,NA,NA,"in patients",NA,"20 %","%"
NA,"10692618",NA,NA,NA,NA,"hiv",NA,"50 %","%"
NA,"10759936",NA,NA,NA,NA,"tension type headache",NA,"59 %","%"
NA,"10759936",NA,NA,NA,NA,"needles",NA,"20 %","%"
NA,"10759936",NA,NA,NA,NA,"physical activity",NA,"41 %to 58 %","%"
NA,"10759936",NA,NA,NA,NA,"needles",NA,"11 %to 21 %","%"
NA,"10759936",NA,NA,NA,NA,"needles",NA,"12 %to 20 %","%"
NA,"11004048",NA,NA,NA,NA,"pdph",NA,"5 %","%"
NA,"11004048",NA,NA,NA,NA,"pdph",NA,"8.7 %","%"
NA,"11004048",NA,NA,NA,NA,"pdph",NA,"4 %","%"
NA,"11004048",NA,NA,NA,NA,"ebp",NA,"2.8 %","%"
NA,"11004048",NA,NA,NA,NA,"ebp",NA,"3.1 %","%"
NA,"11004048",NA,NA,NA,NA,"pdph",NA,"55 %","%"
NA,"11004048",NA,NA,NA,NA,"ebp",NA,"66 %","%"
NA,"11004048",NA,NA,NA,NA,"ebp",NA,"12.5 %","%"
NA,"11004048",NA,NA,NA,NA,"epidural blood patch",NA,"0 %","%"
NA,"11229216",NA,NA,NA,NA,"post lumbar puncture headache",NA,"17 %","%"
NA,"11229216",NA,NA,NA,NA,"bed rest group",NA,"18 %","%"
NA,"11229216",NA,NA,NA,NA,"severe headache",NA,"57 %","%"
NA,"11229216",NA,NA,NA,NA,"severe headache",NA,"12 %","%"
NA,"11234673",NA,NA,NA,NA,"general population",NA,"0.4 %","%"
NA,"11234673",NA,NA,NA,NA,"radiofrequency trigeminal rhizotomy treatment choice beneficial effects",NA,"70 %","%"
NA,"11251703",NA,NA,NA,NA,"headache frequency",NA,"45 %","%"
NA,"11251703",NA,NA,NA,NA,"trihexyphenidyl",NA,"28 %","%"
NA,"11279912",NA,NA,NA,NA,"guided imagery",NA,"21.7 %","%"
NA,"11279912",NA,NA,NA,NA,"controls",NA,"7.6 %","%"
NA,"11318882",NA,NA,NA,NA,"mean percentage improvement",NA,"49 %","%"
NA,"11318882",NA,NA,NA,NA,"weeks",NA,"65 %","%"
NA,"11318882",NA,NA,NA,NA,"weeks",NA,"64 %","%"
NA,"11318882",NA,NA,NA,NA,"adverse events",NA,"10 %","%"
NA,"11333382",NA,NA,NA,NA,"headache",NA,"39.5 %","%"
NA,"11333382",NA,NA,NA,NA,"tension type",NA,"20.9 %","%"
NA,"11333382",NA,NA,NA,NA,"migraine type",NA,"18.6 %","%"
NA,"11437888",NA,NA,NA,NA,"aspirin",NA,"56 %","%"
NA,"11437888",NA,NA,NA,NA,"oxygen saturation",NA,"86.1 %","%"
NA,"11437888",NA,NA,NA,NA,"placebo",NA,"85.7 %","%"
NA,"11437888",NA,NA,NA,NA,"+ placebo",NA,"2.8 %","%"
NA,"11437888",NA,NA,NA,NA,"headache",NA,"86 %","%"
NA,"11437888",NA,NA,NA,NA,"placebo",NA,"90 %","%"
NA,"11480258",NA,NA,NA,NA,"cbts migraine",NA,"50 %","%"
NA,"11506102",NA,NA,NA,NA,"disappearance symptoms",NA,"75 %","%"
NA,"11506102",NA,NA,NA,NA,"=",NA,"18 %","%"
NA,"11506102",NA,NA,NA,NA,"failure",NA,"7 %","%"
NA,"11595001",NA,NA,NA,NA,"type headache",NA,"89.9 %","%"
NA,"11595001",NA,NA,NA,NA,"consultation",NA,"63 %","%"
NA,"11595001",NA,NA,NA,NA,"tension type headache",NA,"39 %","%"
NA,"11676887",NA,NA,NA,NA,"cdh",NA,"40 %","%"
NA,"11676887",NA,NA,NA,NA,"overuse symptomatic medications",NA,"80 %","%"
NA,"11676887",NA,NA,NA,NA,"tm",NA,"60 %","%"
NA,"11676887",NA,NA,NA,NA,"ctth",NA,"20 %","%"
NA,"11676887",NA,NA,NA,NA,"cdh prevalence general population seems around",NA,"4 %","%"
NA,"11676887",NA,NA,NA,NA,"cdh",NA,"5 %","%"
NA,"11676887",NA,NA,NA,NA,"women",NA,"9 %","%"
NA,"11676887",NA,NA,NA,NA,"ndph",NA,"0.1 %","%"
NA,"11676887",NA,NA,NA,NA,"overuse analgesics",NA,"1.1 %to 1.9 %","%"
NA,"11676887",NA,NA,NA,NA,"overuse analgesics",NA,"1.9 %","%"
NA,"11781912",NA,NA,NA,NA,"patients wanted go home without rescue medication",NA,"80 %","%"
NA,"11781912",NA,NA,NA,NA,"patients  want rescue medication",NA,"57 %","%"
NA,"11781912",NA,NA,NA,NA,"sedation",NA,"14.3 %","%"
NA,"11781912",NA,NA,NA,NA,"akathisia",NA,"13.3 %","%"
NA,"11994030",NA,NA,NA,NA,"headache",NA,"8.8 %","%"
NA,"11994030",NA,NA,NA,NA,"headache",NA,"2.5 %","%"
NA,"12034799",NA,NA,NA,NA,"episodic tension type headache",NA,"30 %","%"
NA,"12034799",NA,NA,NA,NA,"migraine without aura",NA,"20 %","%"
NA,"12126338",NA,NA,NA,NA,"headache",NA,"24.4 %","%"
NA,"12221150",NA,NA,NA,NA,"chronic daily headache cdh affects approximately",NA,"5 %","%"
NA,"12221344",NA,NA,NA,NA,"loss follow evaluation",NA,"3.5 %","%"
NA,"12221344",NA,NA,NA,NA,"patients gained relief",NA,"10 %","%"
NA,"12386550",NA,NA,NA,NA,"overuse analgesic medications",NA,"20 %","%"
NA,"12390642",NA,NA,NA,NA,"prophylaxis",NA,"50 %","%"
NA,"12413406",NA,NA,NA,NA,"chronic daily headache",NA,"35 %to 40 %","%"
NA,"12425225",NA,NA,NA,NA,"t group",NA,"76 %","%"
NA,"12425225",NA,NA,NA,NA,"c group",NA,"83 %","%"
NA,"12482221",NA,NA,NA,NA,"bpd found almost general population",NA,"2 %","%"
NA,"12486273",NA,NA,NA,NA,"third occipital headache",NA,"88 %","%"
NA,"12492806",NA,NA,NA,NA,"post dural puncture headache",NA,"14 %","%"
NA,"12558762",NA,NA,NA,NA,"headache",NA,"70 %","%"
NA,"12558762",NA,NA,NA,NA,"hemodialysis",NA,"70.7 %","%"
NA,"12558762",NA,NA,NA,NA,"migraine",NA,"48 %","%"
NA,"12558762",NA,NA,NA,NA,"episodic tension type headache",NA,"19 %","%"
NA,"12558762",NA,NA,NA,NA,"episodic tension type headache",NA,"8 %","%"
NA,"12558762",NA,NA,NA,NA,"arterial hypertension",NA,"25.4 %","%"
NA,"12558762",NA,NA,NA,NA,"fifty",NA,"57.5 %","%"
NA,"12558762",NA,NA,NA,NA,"dramatic improvement headaches",NA,"27.6 %","%"
NA,"12583837",NA,NA,NA,NA,"migraine",NA,"8.4 %to 12.7 %","%"
NA,"12583837",NA,NA,NA,NA,"the sex specific migraine prevalence",NA,"11.3 %to 14.4 %","%"
NA,"12583837",NA,NA,NA,NA,"migraine prevalence",NA,"14.4 %","%"
NA,"12583837",NA,NA,NA,NA,"migraine prevalence",NA,"3.6 %to 6.7 %","%"
NA,"12583837",NA,NA,NA,NA,"men",NA,"6.7 %","%"
NA,"12583837",NA,NA,NA,NA,"ihs tension type headache",NA,"15.6 %to 25.7 %","%"
NA,"12583837",NA,NA,NA,NA,"ihs tension type headache",NA,"25.7 %","%"
NA,"12583837",NA,NA,NA,NA,"western countries",NA,"3.2 %to 3.9 %","%"
NA,"12583837",NA,NA,NA,NA,"western countries",NA,"3.9 %","%"
NA,"12583837",NA,NA,NA,NA,"western countries",NA,"3.0 %to 4.7 %","%"
NA,"12583837",NA,NA,NA,NA,"western countries",NA,"4.7 %","%"
NA,"12603366",NA,NA,NA,NA,"headache",NA,"88.9 %","%"
NA,"12603366",NA,NA,NA,NA,"migraine without aura",NA,"11.1 %","%"
NA,"12628057",NA,NA,NA,NA,"less  population",NA,"1 %","%"
NA,"12656701",NA,NA,NA,NA,"migraine headache",NA,"33.7 %","%"
NA,"12656709",NA,NA,NA,NA,"frovatriptan",NA,"17 %","%"
NA,"12656709",NA,NA,NA,NA,"rizatriptan",NA,"40 %","%"
