"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName","uploadDate"
,"19628429",,"apnea-hypopnea index greater than 5",,,"sleep apnea",,"27 %","%",1,"stridorIah2010","2023-11-11"
,"19628429",,"Sleep apnea",,,"mild",,"6 %","%",1,"stridorIah2010","2023-11-11"
,"19628429",,"Sleep apnea",,,"moderate",,"11 %","%",1,"stridorIah2010","2023-11-11"
,"19628429",,"apnea-hypopnea index greater than 5",,,"severe sleep apnea",,"10 %","%",1,"stridorIah2010","2023-11-11"
,"19628429",,"PD",,,"hospital controls",,"40 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,".7 % had mild OSA",,,"osa",,"77.2 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"77.2 %",,,"mild osa",,"30.7 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"mild OSA ; 19.3 %",,,"moderate osa",,"19.3 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"women",,,"severe osa",,"27.2 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"women",,,"osa",,"93.6 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"OSA",,,"women",,"73.5 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"AHI ≥ 5",,,"sleep apnea",,"75 %","%",1,"stridorIah2010","2023-11-11"
,"19669842",,"OSA symptoms , gender , menopausal status , age , or BMI",,,"prevalence osa",,"77 %","%",1,"stridorIah2010","2023-11-11"
,"19699146",,"narcolepsy",,,"apnea hypopnea index greater",,"24.8 %","%",1,"stridorIah2010","2023-11-11"
,"19714380",,"specificity 87.5 %",,,"sensitivity",,"91.1 %","%",1,"stridorIah2010","2023-11-11"
,"19714380",,"sensitivity",,,"specificity",,"87.5 %","%",1,"stridorIah2010","2023-11-11"
,"19714380",,"home",,,"sensitivity",,"80 %","%",1,"stridorIah2010","2023-11-11"
,"19714380",,"home",,,"specificity",,"85.5 %","%",1,"stridorIah2010","2023-11-11"
,"19858231",,"left ventricular systolic function",,,"ejection fraction +",,"53 %","%",1,"stridorIah2010","2023-11-11"
