"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit","fromCode","projectName","uploadDate"
,"10201066",,"AHI",,,"apnea hypopnea index",,"62.5 %","%",1,"stridorIahMortality","2023-11-13"
,"10201066",,"apnea-hypopnea index",,,"controls",,"12.5 %","%",1,"stridorIahMortality","2023-11-13"
,"10201066",,"p < 0.001",,,"na",,"5 %","%",1,"stridorIahMortality","2023-11-13"
,"10319824",,"Age-matched controls",,,"osas showed atheromas radiographs",,"22 %","%",1,"stridorIahMortality","2023-11-13"
,"10319824",,"OSAS",,,"atheromas",,"3.7 %","%",1,"stridorIahMortality","2023-11-13"
,"10319824",,"OSAS and atheroma formation",,,"diabetes mellitus",,"58 %","%",1,"stridorIahMortality","2023-11-13"
,"10319824",,"OSAS",,,"diabetes",,"24 %","%",1,"stridorIahMortality","2023-11-13"
,"10673174",,"AHI ) > 10 events / h",,,"apnea hypopnea index",,"71.4 %","%",1,"stridorIahMortality","2023-11-13"
,"10673174",,"apnea-hypopnea index",,,"ahi >",,"28 %","%",1,"stridorIahMortality","2023-11-13"
,"10702648",,"control subjects",,,"cad patients found osa",,"30.5 %","%",1,"stridorIahMortality","2023-11-13"
,"10702648",,"control subjects",,,"osa",,"19.7 %","%",1,"stridorIahMortality","2023-11-13"
,"10944939",,"obstructive SAS",,,"apnea hypopnea index",,"40 %","%",1,"stridorIahMortality","2023-11-13"
,"10944939",,"apnea-hypopnea index",,,"sas patients ihd",,"23.8 %","%",1,"stridorIahMortality","2023-11-13"
,"11214745",,"Sleep-disordered breathing",,,"coronary artery disease",,"42.1 %","%",1,"stridorIahMortality","2023-11-13"
,"11347781",,"Fifty-nine percent fulfilled the criteria",,,"first ever stroke sleep apnea",,"52 %","%",1,"stridorIahMortality","2023-11-13"
,"11914407",,"apnea-hypopnea index [ AHI",,,"subjects sa",,"62 %","%",1,"stridorIahMortality","2023-11-13"
,"11914407",,"apnea-hypopnea index",,,"ahi > =",,"46 %","%",1,"stridorIahMortality","2023-11-13"
,"11914407",,"21",,,"ahi > =",,"42 %","%",1,"stridorIahMortality","2023-11-13"
,"11914407",,"logistic regression analysis",,,"sleep related stroke",,"48 %","%",1,"stridorIahMortality","2023-11-13"
,"12226023",,"53 %",,,"twenty seven patients",,"53 %","%",1,"stridorIahMortality","2023-11-13"
,"12226023",,"snoring and severe daytime sleepiness",,,"patients",,"17.6 %","%",1,"stridorIahMortality","2023-11-13"
,"12226023",,"AHI ) of > or = 10 events per hour",,,"apnea hypopnea index",,"67 %","%",1,"stridorIahMortality","2023-11-13"
,"12226023",,"apnea-hypopnea index",,,"ahi > = events per hour",,"61 %","%",1,"stridorIahMortality","2023-11-13"
,"12226023",,"BMI",,,"ahi > = events per hour",,"49 %","%",1,"stridorIahMortality","2023-11-13"
