"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","pValue","exp2","adjustment","fromCode","projectName","uploadDate"
,"15382209_1_OR","15382209","occupational history of farming",,"NULL","NULL",," hospital controls;"," msa cases",2.52,1.25,5.07,"odd ratio (OR)",,,,1,"projTutoMSA","2024-02-05"
,"15382209_2_OR","15382209","occupational history of farming",,"NULL","NULL",," population controls)."," msa.",4.53,1.68,12.2,"odd ratio (OR)",,,,1,"projTutoMSA","2024-02-05"
,"15954131_2_OR","15954131","heat exposure",,"NULL","NULL",," answernotfound"," oh worsening.",5.4,1.28,22.68,"odd ratio (OR)",,,,1,"projTutoMSA","2024-02-05"
,"15954131_1_OR","15954131","heat exposure",,"NULL","NULL",," answernotfound"," oh worsening.",6.31,1.35,33.53,"odd ratio (OR)",,,,1,"projTutoMSA","2024-02-05"
,"17296842_4_OR","17296842","shorter survival",,"NULL","NULL",," answernotfound"," rapid disease progression",3.4,1.61,7.15,"hazard ratio (HR)",,,,1,"projTutoMSA","2024-02-05"
,"17296842_3_OR","17296842","being in a bedridden state",,"NULL","NULL",," answernotfound"," rapid disease progression and shorter survival",3.87,1.77,8.48,"hazard ratio (HR)",,,,1,"projTutoMSA","2024-02-05"
,"17296842_1_OR","17296842","early development of autonomic dysfunction",,"NULL","NULL",," answernotfound"," being in a wheelchair-bound state",4.32,2.04,9.15,"hazard ratio (HR)",,,,1,"projTutoMSA","2024-02-05"
,"17296842_5_OR","17296842","sudden death",,"NULL","NULL",," answernotfound"," rapid disease progression and shorter survival",7.22,1.49,35.07,"hazard ratio (HR)",,,,1,"projTutoMSA","2024-02-05"
,"18044727_1_OR","18044727","women",,"NULL","NULL",," answernotfound"," better survival",1.49,0.97,2.31,"hazard ratio (HR)",,,,1,"projTutoMSA","2024-02-05"
,"18307243_3_OR","18307243","aspirin intake",,"NULL","NULL",," answernotfound"," msa",0.5,0.2,1,"odd ratio (OR)",,,,1,"projTutoMSA","2024-02-05"
