"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName"
,"10534244_1","10534244","nat2 slow acetylators",,"NULL","NULL",,,"amyotrophic lateral sclerosis",2.33,1.03,5.3,"odd ratio (OR)",,,1,"MSA"
,"15382209_1","15382209","occupational history of farming",,"NULL","NULL",,,"multiple system atrophy",2.52,1.25,5.07,"odd ratio (OR)",,,1,"MSA"
,"15382209_2","15382209","occupational history of farming",,"NULL","NULL",,,"multiple system atrophy",4.53,1.68,12.2,"odd ratio (OR)",,,1,"MSA"
,"16781987_1","16781987","clinical follow up",,"NULL","NULL",,,"development of a neurological disorder",1.512,1.105,2.069,"odd ratio (OR)",,,1,"MSA"
,"17296842_1","17296842","autonomic dysfunction",,"NULL","NULL",,,"odds or risk for being in a wheelchair bound state",4.32,2.04,9.15,"hazard ratio (HR)",,,1,"MSA"
,"17296842_2","17296842",,,"NULL","NULL",,,,3.87,1.77,8.48,"hazard ratio (HR)",,,1,"MSA"
,"17296842_3","17296842","the early development of autonomic dysfunction",,"NULL","NULL",,,"bedridden state",3.4,1.61,7.15,"hazard ratio (HR)",,,1,"MSA"
,"17296842_4","17296842","the early development of autonomic dysfunction",,"NULL","NULL",,,"sudden death",7.22,1.49,35.07,"hazard ratio (HR)",,,1,"MSA"
,"19513320_1","19513320",,,"NULL","NULL",,,,0.31,0.11,0.64,"odd ratio (OR)",,,1,"MSA"
,"19771175_1","19771175",,,"NULL","NULL",,,,2.153,1.3,95,"odd ratio (OR)",,,1,"MSA"
,"19771175_2","19771175","multiple system atrophy",,"NULL","NULL",,,"multiple system atrophy",4.386,1.6,11.7,"odd ratio (OR)",,,1,"MSA"
,"20623770_1","20623770","use of antihypertensive medication",,"NULL","NULL",,,"multiple system atrophy",0.3,0.12,0.78,"odd ratio (OR)",,,1,"MSA"
,"21660918_1","21660918","hypertension",,"NULL","NULL",,,"orthostatic hypotension",2.6,0.9,7.6,"relative risk (RR)",,,1,"MSA"
,"22323210_2","22323210","serum uric acid levels",,"NULL","NULL",,,"death",0.61,0.39,0.96,"hazard ratio (HR)",,,1,"MSA"
,"22823161_1","22823161",,,"NULL","NULL",,,,1.48,1.15,1.91,"odd ratio (OR)",,,1,"MSA"
,"22823161_2","22823161","binge drinking",,"NULL","NULL",,,"binge drinking",1.41,1.01,1.95,"odd ratio (OR)",,,1,"MSA"
,"22823161_3","22823161","alcohol",,"NULL","NULL",,,"alcohol",1.02,1.01,1.04,"odd ratio (OR)",,,1,"MSA"
,"23391524_1","23391524",,,"NULL","NULL",,,,2.08,1.09,3.97,"hazard ratio (HR)",,,1,"MSA"
,"24606172_1","24606172",,,"NULL","NULL",,,,4.86,1.84,13.3,"odd ratio (OR)",,,1,"MSA"
,"25534084_1","25534084","multiple system atrophy",,"NULL","NULL",,,"voiding failure",1.9,1.26,2.73,"odd ratio (OR)",,,1,"MSA"
,"25613861_1","25613861","coq2",,"NULL","NULL",,,"amyotrophic lateral sclerosis",1.298,0.396,4.253,"odd ratio (OR)",,,1,"MSA"
,"25613861_2","25613861",,,"NULL","NULL",,,,1.314,0.403,4.286,"odd ratio (OR)",,,1,"MSA"
,"25909086_1","25909086","genetic predisposition to gaucher disease",,"NULL","NULL",,,"multiple system atrophy",2.44,1.14,5.21,"odd ratio (OR)",,,1,"MSA"
,"25909086_2","25909086","gaucher disease",,"NULL","NULL",,,"multiple system atrophy",2.43,1.15,5.37,"odd ratio (OR)",,,1,"MSA"
,"25977831_2","25977831","polymorphic variant v393a heterozygous",,"NULL","NULL",,,"dementia",0.7,0.29,1.72,"odd ratio (OR)",,,1,"MSA"
,"25977831_3","25977831",,,"NULL","NULL",,,,0.47,0.17,1.31,"odd ratio (OR)",,,1,"MSA"
,"26098829_1","26098829","coq2 v393a variant",,"NULL","NULL",,,"parkinson disease",2.22,1.02,4.82,"odd ratio (OR)",,,1,"MSA"
,"26098829_2","26098829","c allele",,"NULL","NULL",,,"early onset parkinson disease",3.71,1.51,9.15,"odd ratio (OR)",,,1,"MSA"
,"26098829_3","26098829","gender",,"NULL","NULL",,,"parkinson disease",1.65,0.69,3.95,"odd ratio (OR)",,,1,"MSA"
,"26208350_1","26208350","diagnostic factor",,"NULL","NULL",,,"frontal lobe dysfunction",2.53,1.55,4.15,"odd ratio (OR)",,,1,"MSA"
,"26254004_1","26254004","parkinsons disease vs. healthy controls",,"NULL","NULL",,,"parkinson disease",0.89,0.81,0.97,"odd ratio (OR)",,,1,"MSA"
,"26303052_1","26303052","minor allele",,"NULL","NULL",,,"odds or risk for parkinson disease",0.86,0.76,0.99,"odd ratio (OR)",,,1,"MSA"
,"26333800_1","26333800","parkinson disease cases compared to controls",,"NULL","NULL",,,"disease or medical condition",1.37,0.63,2.98,"odd ratio (OR)",,,1,"MSA"
,"26333800_2","26333800",,,"NULL","NULL",,,,5.76,1.62,20.51,"odd ratio (OR)",,,1,"MSA"
,"26333800_3","26333800","tau protein pa152t variant",,"NULL","NULL",,,"dementia with lewy bodies",3.55,1.04,12.17,"odd ratio (OR)",,,1,"MSA"
,"26333800_4","26333800","multiple system atrophy",,"NULL","NULL",,,"multiple system atrophy",4.68,0.85,25.72,"odd ratio (OR)",,,1,"MSA"
,"26431430_1","26431430","education level","lower than","NULL","NULL","years",,"abnormal ace r score",13.312,2.931,60.469,"odd ratio (OR)",,,1,"MSA"
,"26431430_2","26431430","education level","lower than","NULL","NULL","years",,"education level < 9 years",2.444,1.002,5.962,"odd ratio (OR)",,,1,"MSA"
,"26431430_3","26431430","multiple system atrophy c",,"NULL","NULL",,,"multiple system atrophy",4.326,1.631,11.477,"odd ratio (OR)",,,1,"MSA"
,"26431430_4","26431430","education level","lower than","NULL","NULL","years",,"40",2.809,1.06,7.444,"odd ratio (OR)",,,1,"MSA"
,"26431430_5","26431430","low education levels and severe motor symptoms",,"NULL","NULL",,,"low education levels and severe motor symptoms",5.396,2.103,13.846,"odd ratio (OR)",,,1,"MSA"
,"26590992_1","26590992","coq2 v393a variant",,"NULL","NULL",,,"multiple system atrophy",4.17,1.44,12.04,"odd ratio (OR)",,,1,"MSA"
,"26590992_2","26590992","the coq2 v393a variant",,"NULL","NULL",,,"multiple system atrophy involving cerebellar signs",4.59,1.36,15.48,"odd ratio (OR)",,,1,"MSA"
,"26590992_3","26590992","coq2 v393a variant",,"NULL","NULL",,,"multiple system atrophy",2.05,1.29,3.25,"odd ratio (OR)",,,1,"MSA"
,"26590992_4","26590992","coq2 v393a polymorphism",,"NULL","NULL",,,"multiple system atrophy",2.75,1.98,3.84,"odd ratio (OR)",,,1,"MSA"
,"26590992_5","26590992","coq2 v393a polymorphism",,"NULL","NULL",,,"multiple system atrophy parkinsonism",1.25,0.64,2.46,"odd ratio (OR)",,,1,"MSA"
,"27206883_1","27206883","slc1a2 rs3794087 and parkinson disease",,"NULL","NULL",,,"early onset parkinson disease",0.73,0.56,0.94,"odd ratio (OR)",,,1,"MSA"
,"27814994_1","27814994","dementia",,"NULL","NULL",,,"idiopathic rapid eye movement sleep behavior disorder",1.11,0.88,1.4,"odd ratio (OR)",,,1,"MSA"
,"28162177_1","28162177","the age of onset","greater than","55","NULL","years",,"inability to walk independently",1.969,1.095,3.542,"hazard ratio (HR)",,,1,"MSA"
,"28162177_2","28162177","the age of onset","greater than","55","NULL","years",,"not being able to walk independently",2.308,1.158,4.6,"hazard ratio (HR)",,,1,"MSA"
,"28207803_1","28207803","side effects induced by the acute levodopa challenge",,"NULL","NULL",,,"parkinsonisms",4.36,1.4,13.5,"odd ratio (OR)",,,1,"MSA"
,"28250027_1","28250027","phenotype",,"NULL","NULL",,,"mortality",2.53,1.69,3.78,"hazard ratio (HR)",,,1,"MSA"
,"28250027_2","28250027","severe dysautonomia",,"NULL","NULL",,,"multiple system atrophy",1.22,0.83,1.8,"hazard ratio (HR)",,,1,"MSA"
,"28250027_3","28250027","early falls",,"NULL","NULL",,,"early falls",2.32,1.94,2.77,"hazard ratio (HR)",,,1,"MSA"
,"28250027_4","28250027","sex",,"NULL","NULL",,,"gender is not a significant predictor of survival",0.93,0.67,1.28,"hazard ratio (HR)",,,1,"MSA"
,"28273785_1","28273785","cognitive impairment",,"NULL","NULL",,,"cognitive impairment",1.11,1.04,1.18,"odd ratio (OR)",,,1,"MSA"
,"28273785_2","28273785","odds ratio",,"NULL","NULL",,,"cognitive impairment",1.11,1.05,1.18,"odd ratio (OR)",,,1,"MSA"
,"28477711_1","28477711","polymorphisms in vmat2 and tmem106b genes",,"NULL","NULL",,,"odds or risk for sporadic amyotrophic lateral sclerosis (amyotrophic lateral sclerosis",0.49,0.36,0.67,"odd ratio (OR)",,,1,"MSA"
,"28647892_1","28647892","neurological diseases",,"NULL","NULL",,,"postprandial hypotension",5.23,2.9,9.45,"odd ratio (OR)",,,1,"MSA"
,"28647892_2","28647892","postprandial hypotension",,"NULL","NULL",,,"parkinson disease",3.49,2.09,5.83,"odd ratio (OR)",,,1,"MSA"
,"28647892_3","28647892","diagnostic factor",,"NULL","NULL",,,"postprandial hypotension",89.55,2.65,3030.33,"odd ratio (OR)",,,1,"MSA"
,"28647892_4","28647892","alzheimer disease",,"NULL","NULL",,,"postprandial hypotension",6.61,1.28,34.14,"odd ratio (OR)",,,1,"MSA"
,"28647892_5","28647892","higher in patients with neurological diseases",,"NULL","NULL",,,"postprandial hypotension",4.83,1.2,19.41,"odd ratio (OR)",,,1,"MSA"
,"28991688_1","28991688","postvoid residual","greater than","150","NULL",,,"multiple system atrophy",8.723,2.612,29.13,"odd ratio (OR)",,,1,"MSA"
,"28991688_2","28991688","weak detrusor",,"NULL","NULL",,,"multiple system atrophy",10.598,0.359,312.473,"odd ratio (OR)",,,1,"MSA"
,"29251119_1","29251119","tnf α rs1799964 polymorphism",,"NULL","NULL",,,"multiple system atrophy",1.245,1.066,1.455,"odd ratio (OR)",,,1,"MSA"
,"29251119_2","29251119","rs1799964 polymorphism of tnf α",,"NULL","NULL",,,"multiple system atrophy",1.887,1.303,2.733,"odd ratio (OR)",,,1,"MSA"
,"29564728_1","29564728","female patients carrying the rs34016896 minor allele",,"NULL","NULL",,,"multiple system atrophy",1.25,1.09,1.43,"odd ratio (OR)",,,1,"MSA"
,"29576439_1","29576439",,,"NULL","NULL",,,,0.66,0.44,0.98,"odd ratio (OR)",,,1,"MSA"
,"29576439_2","29576439","odd ratio of 1.28",,"NULL","NULL",,,"sleep behavior disorder",1.28,1.05,1.56,"odd ratio (OR)",,,1,"MSA"
,"29660838_1","29660838","advanced age",,"NULL","NULL",,,"advanced age",1.11,1.04,1.19,"odd ratio (OR)",,,1,"MSA"
,"29785965_1","29785965","inflammatory bowel disease",,"NULL","NULL",,,"parkinson disease",1.22,1.09,1.35,"hazard ratio (HR)",,,1,"MSA"
,"29785965_2","29785965","age at diagnosis, gender, or duration of follow up",,"NULL","NULL",,,"multiple system atrophy",1.41,0.82,2.44,"hazard ratio (HR)",,,1,"MSA"
,"29785965_3","29785965","ulcerative colitis",,"NULL","NULL",,,"ulcerative colitis",1.35,1.2,1.52,"hazard ratio (HR)",,,1,"MSA"
,"29785965_4","29785965","crohn disease",,"NULL","NULL",,,"parkinsonism",1.12,0.89,1.4,"hazard ratio (HR)",,,1,"MSA"
,"30598430_1","30598430","early development of constipation and urinary symptoms",,"NULL","NULL",,,"early development of constipation and urinary symptoms",0.88,0.83,0.92,"hazard ratio (HR)",,,1,"MSA"
,"30598430_2","30598430","autonomic symptoms",,"NULL","NULL",,,"decreased survival",0.8,0.75,0.86,"hazard ratio (HR)",,,1,"MSA"
,"30598430_3","30598430","earlier development of these symptoms",,"NULL","NULL",,,"earlier development of urinary symptoms and constipation",0.73,0.64,0.84,"hazard ratio (HR)",,,1,"MSA"
,"30598430_4","30598430","the first disease milestone",,"NULL","NULL",,,"urinary symptoms and constipation",0.88,0.8,0.96,"hazard ratio (HR)",,,1,"MSA"
,"30719874_1","30719874","early loss of skeletal muscle mass",,"NULL","NULL",,,"early loss of skeletal muscle mass",2.16,1.23,3.78,"hazard ratio (HR)",,,1,"MSA"
,"30719874_2","30719874","early loss of skeletal muscle mass",,"NULL","NULL",,,"loss of skeletal muscle mass",2.31,1.3,4.09,"hazard ratio (HR)",,,1,"MSA"
,"30798004_1","30798004","apoe ε4 carrier status",,"NULL","NULL",,,"developing alzheimer disease",4.13,3.23,5.26,"odd ratio (OR)",,,1,"MSA"
,"30798004_2","30798004",,,"NULL","NULL",,,,0.21,0.13,0.34,"odd ratio (OR)",,,1,"MSA"
,"30798004_3","30798004","apoe ε4",,"NULL","NULL",,,"lewy body dementia",2.94,2.34,3.71,"odd ratio (OR)",,,1,"MSA"
,"30798004_4","30798004",,,"NULL","NULL",,,,0.39,0.26,0.59,"odd ratio (OR)",,,1,"MSA"
,"30798004_5","30798004","apoe",,"NULL","NULL",,,"corticobasal degeneration",0.39,0.26,0.59,"odd ratio (OR)",,,1,"MSA"
,"30864043_1","30864043",,,"NULL","NULL",,,,2.54,1.15,5.65,"odd ratio (OR)",,,1,"MSA"
,"30864043_2","30864043","hypomimia",,"NULL","NULL",,,"drooling",3.18,1.32,7.68,"odd ratio (OR)",,,1,"MSA"
,"31070772_1","31070772","nf l",,"NULL","NULL",,,"mortality",3.698,2.196,6.2289,"hazard ratio (HR)",,,1,"MSA"
,"31070772_2","31070772","t tau",,"NULL","NULL",,,"parkinson disease",2.767,1.126,6.80295,"hazard ratio (HR)",,,1,"MSA"
,"31070772_3","31070772","cerebrospinal fluid neurofilament light and tau protein",,"NULL","NULL",,,"mortality",1.661,1.082,2.5595,"hazard ratio (HR)",,,1,"MSA"
,"31070772_4","31070772","t tau",,"NULL","NULL",,,"increased mortality",9.587,1.143,80.418,"hazard ratio (HR)",,,1,"MSA"
,"31070772_5","31070772","p tau",,"NULL","NULL",,,"decreased mortality",0.196,0.041,0.9299,"hazard ratio (HR)",,,1,"MSA"
,"31070772_6","31070772","atypical parkinsonian disorders",,"NULL","NULL",,,"mortality",8.798,4.516,17.149,"hazard ratio (HR)",,,1,"MSA"
,"31289815_1","31289815","orthostatic hypotension",,"NULL","NULL",,,"multiple system atrophy",2,1.1,3.7,"odd ratio (OR)",,,1,"MSA"
,"31289815_2","31289815","autonomic dysfunction",,"NULL","NULL",,,"multiple system atrophy versus progressive supranuclear palsy",11.2,3.2,39.2,"odd ratio (OR)",,,1,"MSA"
,"31289815_3","31289815","autonomic dysfunction",,"NULL","NULL",,,"multiple system atrophy",3.4,1.2,9.7,"odd ratio (OR)",,,1,"MSA"
,"31289815_4","31289815","parkinsonian signs",,"NULL","NULL",,,"multiple system atrophy",8.8,3.2,24.2,"odd ratio (OR)",,,1,"MSA"
,"31289815_5","31289815","predominant parkinsonian signs in multiple system atrophy patients",,"NULL","NULL",,,"predominant parkinsonian signs",4.8,1.7,13.6,"odd ratio (OR)",,,1,"MSA"
,"31289815_6","31289815","predominant cerebellar signs",,"NULL","NULL",,,"reaching use of urinary catheter and longer latency to residential care",7,2.5,19.5,"odd ratio (OR)",,,1,"MSA"
,"31289815_7","31289815","cerebellar signs",,"NULL","NULL",,,"using a urinary catheter",3.1,1.1,8.9,"odd ratio (OR)",,,1,"MSA"
,"31405749_1","31405749","hr is associated with the exposure of having a synucleinopathy diagnosis",,"NULL","NULL",,,"death",0.59,0.4,0.87,"hazard ratio (HR)",,,1,"MSA"
,"31405749_2","31405749","tremor",,"NULL","NULL",,,"death",1.75,1.23,2.51,"hazard ratio (HR)",,,1,"MSA"
,"31405749_3","31405749","tremor",,"NULL","NULL",,,"reduced survival",1.75,1.24,2.47,"hazard ratio (HR)",,,1,"MSA"
,"31661696_1","31661696","non aspirin nsaid use",,"NULL","NULL",,,"multiple system atrophy",0.72,0.49,1.06,"odd ratio (OR)",,,1,"MSA"
,"31661696_2","31661696","aspirin non nsaids",,"NULL","NULL",,,"multiple system atrophy",0.77,0.43,1.38,"odd ratio (OR)",,,1,"MSA"
,"31661696_3","31661696","non aspirin nsaid use",,"NULL","NULL",,,"multiple system atrophy",0.55,0.29,1.06,"odd ratio (OR)",,,1,"MSA"
,"31809947_1","31809947","burst like activation of the adductor thyroarytenoid muscle",,"NULL","NULL",,,"burst like activation of the adductor thyroarytenoid muscle",23.64,3.42,70.77,"odd ratio (OR)",,,1,"MSA"
,"31809947_2","31809947",,,"NULL","NULL",,,,17.21,4.17,74.92,"odd ratio (OR)",,,1,"MSA"
,"31957322_1","31957322","alcohol intake per  capita volume",,"NULL","NULL",,,"esophageal squamous cell carcinoma",0.34,0.25,0.47,"odd ratio (OR)",,,1,"MSA"
,"31992680_2","31992680","traumatic brain injury",,"NULL","NULL",,,"traumatic brain injury",0.9,0.54,1.52,"odd ratio (OR)",,,1,"MSA"
,"32166422_1","32166422","bladder contractility index",,"NULL","NULL",,,"survival",0.983,0.969,0.997,"hazard ratio (HR)",,,1,"MSA"
,"32166422_2","32166422","a high bladder contractility index value",,"NULL","NULL",,,"overall survival",0.982,0.966,0.999,"hazard ratio (HR)",,,1,"MSA"
,"32166422_3","32166422","urinary incontinence",,"NULL","NULL",,,"overall survival",3.007,0.993,9.22,"hazard ratio (HR)",,,1,"MSA"
,"32240236_3","32240236","suspected parkinsonism",,"NULL","NULL",,,"odds or risk for suspected parkinsonism",1,1,1,"hazard ratio (HR)",,,1,"MSA"
,"32320519_1","32320519","serum vitamin b12",,"NULL","NULL",,,"lower serum vitamin b12 levels",1.8,1.3,2.7,"hazard ratio (HR)",,,1,"MSA"
,"32320519_2","32320519","hazard ratio",,"NULL","NULL",,,"falls",1.6,1.1,2.3,"hazard ratio (HR)",,,1,"MSA"
,"32320519_3","32320519","1.6 [1;2.6]",,"NULL","NULL",,,"falls",1.6,1,2.6,"hazard ratio (HR)",,,1,"MSA"
,"32320519_4","32320519",,,"NULL","NULL",,,,1.7,1,2.8,"hazard ratio (HR)",,,1,"MSA"
,"32320519_5","32320519","hr of 1.4 in relationship to multiple system atrophy diagnosis",,"NULL","NULL",,,"poorer outcomes",1.4,1,2,"hazard ratio (HR)",,,1,"MSA"
,"32320519_6","32320519","multiple system atrophy p subtype",,"NULL","NULL",,,"shorter survival",1.5,1,2,"hazard ratio (HR)",,,1,"MSA"
,"33893230_1","33893230","orthostatic hypotension",,"NULL","NULL",,,"multiple system atrophy",6.04,1.58,23.12,"hazard ratio (HR)",,,1,"MSA"
,"33893230_2","33893230","stridor",,"NULL","NULL",,,"multiple system atrophy and/or mortality",3.41,1.31,8.87,"hazard ratio (HR)",,,1,"MSA"
,"33893230_3","33893230","glucose positron emission tomography hypometabolism",,"NULL","NULL",,,"multiple system atrophy",0.78,0.66,0.92,"hazard ratio (HR)",,,1,"MSA"
,"33893230_4","33893230","time to diagnosis",,"NULL","NULL",,,"survival",0.68,0.54,0.86,"hazard ratio (HR)",,,1,"MSA"
